"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Self-Organizing Roles on Agile Software Development Teams","R. Hoda; J. Noble; S. Marshall","The University of Auckland, Auckland; Victoria University of Wellington, Wellington; Victoria University of Wellington, Wellington","IEEE Transactions on Software Engineering","25 Feb 2013","2013","39","3","422","444","Self-organizing teams have been recognized and studied in various forms-as autonomous groups in socio-technical systems, enablers of organizational theories, agents of knowledge management, and as examples of complex-adaptive systems. Over the last decade, self-organizing teams have taken center stage in software engineering when they were incorporated as a hallmark of Agile methods. Despite the long and rich history of self-organizing teams and their recent popularity with Agile methods, there has been little research on the topic within software wngineering. Particularly, there is a dearth of research on how Agile teams organize themselves in practice. Through a Grounded Theory research involving 58 Agile practitioners from 23 software organizations in New Zealand and India over a period of four years, we identified informal, implicit, transient, and spontaneous roles that make Agile teams self-organizing. These roles-Mentor, Coordinator, Translator, Champion, Promoter, and Terminator-are focused toward providing initial guidance and encouraging continued adherence to Agile methods, effectively managing customer expectations and coordinating customer collaboration, securing and sustaining senior management support, and identifying and removing team members threatening the self-organizing ability of the team. Understanding these roles will help software development teams and their managers better comprehend and execute their roles and responsibilities as a self-organizing team.","1939-3520","","10.1109/TSE.2012.30","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6197202","Self-organizing;team roles;software engineering;Agile software development;grounded theory","Programming;Organizations;Collaboration;Software;Organizing;Software engineering","knowledge management;software management;software prototyping;team working","self-organizing roles;agile software development teams;self-organizing teams;autonomous groups;socio-technical systems;organizational theories enablers;knowledge management agents;complex-adaptive system examples;software engineering;grounded theory research;New Zealand;India;mentor role;coordinator role;translator role;champion role;promoter role;terminator role;customer expectation management;customer collaboration coordination;senior management support security;senior management support sustainability","","102","","115","","8 May 2012","","","IEEE","IEEE Journals"
"Two-dimensional specification of universal quantification in a graphical database query language","K. -. Whang; A. Malhotra; G. H. Sockut; L. Burns; K. -. Choi","Dept. of Comput. Sci., Korea Adv. Inst. of Sci. & Technol., Daejeon, South Korea; NA; NA; NA; NA","IEEE Transactions on Software Engineering","6 Aug 2002","1992","18","3","216","224","A technique is proposed for specifying universal quantification and existential quantification (combined with negation) in a two-dimensional (graphical) database query language. Unlike other approaches that provide set operators to simulate universal quantification, this technique allows a direct representation of universal quantification. Syntactic constructs for specifying universal and existential quantifications, two-dimensional translation of universal quantification to existential quantification (with negation), and translation of existentially quantified two-dimensional queries to relational queries are presented. The resulting relational queries can be processed directly by many existing database systems. The authors claim that this technique renders universal quantifications easy to understand. To substantiate this claim, they provide a simple, easy-to-follow guideline for constructing universally quantified queries.<<ETX>></ETX>","1939-3520","","10.1109/32.126770","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=126770","","Database languages;Relational databases;Calculus;Database systems;Programming profession;Senior members;Guidelines;Computer science;Data models","computer graphics;database theory;formal specification;query languages;relational databases","graphical database query language;universal quantification;existential quantification;direct representation;two-dimensional translation;existentially quantified two-dimensional queries;relational queries","","17","4","17","","6 Aug 2002","","","IEEE","IEEE Journals"
"Processing Implication on Queries","Xian-he Sun; N. N. Kamel; L. M. Ni",Departmcnt of Computer Science. Michigan State University. East Lansing. Ml; NA; NA,"IEEE Transactions on Software Engineering","6 Aug 2002","1989","15","10","1168","1175","","1939-3520","","10.1109/TSE.1989.559764","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=559764","","Database systems;Relational databases;Sun;Distributed databases;Costs;Polynomials;Senior members;Protocols;Query processing","","Database;Derivability Problem;Directed Graph;Implication Problem;Mathematical Logic;NP-hard;project-select-joint queries;satisfiability","","11","","18","","6 Aug 2002","","","IEEE","IEEE Journals"
"Design and specification of iterators using the swapping paradigm","B. W. Weide; S. H. Edwards; D. E. Harms; D. A. Lamb","Dept. of Comput. & Inf. Sci., Ohio State Univ., Columbus, OH, USA; Dept. of Comput. & Inf. Sci., Ohio State Univ., Columbus, OH, USA; NA; NA","IEEE Transactions on Software Engineering","6 Aug 2002","1994","20","8","631","643","How should iterators be abstracted and encapsulated in modern imperative languages? We consider the combined impact of several factors on this question: the need for a common interface model for user defined iterator abstractions, the importance of formal methods in specifying such a model, and problems involved in modular correctness proofs of iterator implementations and clients. A series of iterator designs illustrates the advantages of the swapping paradigm over the traditional copying paradigm. Specifically, swapping based designs admit more efficient implementations while offering relatively straightforward formal specifications and the potential for modular reasoning about program behavior. The final proposed design schema is a common interface model for an iterator for any generic collection.<<ETX>></ETX>","1939-3520","","10.1109/32.310672","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=310672","","Formal specifications;Reasoning about programs;Information science;Senior members;Forward contracts;Modems;Packaging;Proposals;Computerized monitoring;Military computing","formal specification;program verification;data encapsulation","iterators;swapping paradigm;imperative languages;common interface model;user defined iterator abstractions;formal methods;modular correctness proofs;iterator designs;formal specification;modular reasoning;program verification;proof of correctness;swapping","","4","","20","","6 Aug 2002","","","IEEE","IEEE Journals"
"Performance analysis of Time Warp with multiple homogeneous processors","A. Gupta; I. F. Akyildiz; R. M. Fujimoto","Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA; Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA; Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA","IEEE Transactions on Software Engineering","6 Aug 2002","1991","17","10","1013","1027","The behavior of n interacting processors synchronized by the Time Warp protocol is analyzed using a discrete-state, continuous-time Markov chain model. The performance and dynamics of the processes (or processors) are analyzed under the following assumptions: exponential task times and timestamp increments on messages, each event message generates one new message that is sent to a randomly selected process, negligible rollback, state saving, and communication delay, unbounded message buffers, and homogeneous processors. Several performance measures are determined, such as: the fraction of processed events that commit, speedup, rollback probability, expected length of rollback, the probability mass function for the number of uncommitted processed events, the probability distribution function for the virtual time of a process, and the fraction of time the processors remain idle. The analysis is approximate, thus the results have been validated through performance measurements of a Time Warp testbed executing on a shared-memory multiprocessor.<<ETX>></ETX>","1939-3520","","10.1109/32.99190","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=99190","","Performance analysis;Discrete event simulation;Time measurement;Time warp simulation;Synchronization;Senior members;Protocols;Delay;Length measurement;Velocity measurement","discrete event simulation;Markov processes;multiprocessing systems;performance evaluation;protocols","parallel simulation;interacting processors;Time Warp protocol;discrete-state;continuous-time Markov chain model;exponential task times;timestamp increments;event message;negligible rollback;state saving;communication delay;unbounded message buffers;homogeneous processors;performance measures;processed events;speedup;rollback probability;probability mass function;uncommitted processed events;probability distribution function;virtual time;Time Warp testbed;shared-memory multiprocessor","","29","","22","","6 Aug 2002","","","IEEE","IEEE Journals"
"Generalized stochastic Petri nets: a definition at the net level and its implications","G. Chiola; M. A. Marsan; G. Balbo; G. Conte","Dipartimento di Inf., Torino Univ., Italy; NA; NA; NA","IEEE Transactions on Software Engineering","6 Aug 2002","1993","19","2","89","107","The class of Petri nets obtained by eliminating timing from generalized stochastic Petri net (GSPN) models while preserving the qualitative behavior is identified. Structural results for those nets are derived, obtaining the first structural analysis of Petri nets with priority and inhibitor arcs. A revision of the GSPN definition based on the structural properties of the models is presented. It is shown that for a (wide) class of nets, the definition of firing probabilities of conflicting immediate transitions does not require the information on reachable markings. Identification of the class of models for which the net-level specification is possible is also based on the structural analysis results. The procedure for the model specification is illustrated by means of an example. It is also shown that a net-level specification of the model associated with efficient structural analysis techniques can have a substantial impact on model analysis.<<ETX>></ETX>","1939-3520","","10.1109/32.214828","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=214828","","Stochastic processes;Petri nets;Power system modeling;Computational modeling;Concurrent computing;Performance analysis;Switches;Distributed computing;Senior members;Proposals","formal specification;performance evaluation;Petri nets;stochastic processes","generalized stochastic Petri net;qualitative behavior;structural analysis;structural properties;firing probabilities;net-level specification;model specification","","150","","46","","6 Aug 2002","","","IEEE","IEEE Journals"
"In-process evaluation for software inspection and test","J. K. Chaar; M. J. Halliday; I. S. Bhandari; R. Chillarege","IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA; IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA; IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA; IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA","IEEE Transactions on Software Engineering","6 Aug 2002","1993","19","11","1055","1070","The goal of software inspection and test is to reduce the expected cost of software failure over the life of a product. The authors extend the use of defect triggers, the events that cause defects to be discovered, to help evaluate the effectiveness of inspections and test scenarios. In the case of inspections, the defect trigger is defined as a set of values that associate the skills of the inspector with the discovered defect. Similarly, for test scenarios, the defect trigger values embody the deferring strategies being used in creating these scenarios. The usefulness of triggers in evaluating the effectiveness of software inspections and tests is demonstrated by evaluating the inspection and test activities of some software products. These evaluations are used to point to deficiencies in inspection and test strategies, and to progress made in improving such strategies. The trigger distribution of the entire inspection or test series may then be used to highlight areas for further investigation, with the aim of improving the design, implementation, and test processes.<<ETX>></ETX>","1939-3520","","10.1109/32.256853","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=256853","","Inspection;Software testing;Software quality;Life testing;Costs;Programming;Senior members;Software reliability;Software development management;Software maintenance","program testing;software quality;software reliability","in-process evaluation;software inspection;software testing;expected cost;software failure;defect triggers;test scenarios","","37","1","37","","6 Aug 2002","","","IEEE","IEEE Journals"
"A pre-run-time scheduling algorithm for hard real-time systems","T. Shepard; J. A. M. Gagne","Dept. of Electr. & Comput. Eng., R. Mil. Coll. of Canada, Kingston, Ont., Canada; NA","IEEE Transactions on Software Engineering","6 Aug 2002","1991","17","7","669","677","Process scheduling, an important issue in the design and maintenance of hard real-time systems, is discussed. A pre-run-time scheduling algorithm that addresses the problem of process sequencing is presented. The algorithm is designed for multiprocessor applications with preemptable processes having release times, computation times, deadlines and arbitrary precedence and exclusion constraints. The algorithm uses a branch-and-bound implicit enumeration technique to generate a feasible schedule for each processor. The set of feasible schedules ensures that the timing specifications of the processes are observed and that all the precedence and exclusion constraints between pairs of processes are satisfied. the algorithm was tested using a model derived from the F-18 mission computer operational flight program.<<ETX>></ETX>","1939-3520","","10.1109/32.83903","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=83903","","Scheduling algorithm;Real time systems;Processor scheduling;Timing;Application software;Runtime;Software algorithms;Software maintenance;Senior members;Algorithm design and analysis","aerospace computing;multiprocessing systems;real-time systems;scheduling","hard real-time systems;pre-run-time scheduling algorithm;process sequencing;multiprocessor applications;preemptable processes;release times;computation times;deadlines;arbitrary precedence;exclusion constraints;branch-and-bound implicit enumeration technique;feasible schedule;timing specifications;F-18 mission computer operational flight program","","25","6","9","","6 Aug 2002","","","IEEE","IEEE Journals"
"Prediction of software reliability using connectionist models","N. Karunanithi; D. Whitley; Y. K. Malaiya","Dept. of Comput. Sci., Colorado State Univ., Fort Collins, CO, USA; Dept. of Comput. Sci., Colorado State Univ., Fort Collins, CO, USA; Dept. of Comput. Sci., Colorado State Univ., Fort Collins, CO, USA","IEEE Transactions on Software Engineering","6 Aug 2002","1992","18","7","563","574","The usefulness of connectionist models for software reliability growth prediction is illustrated. The applicability of the connectionist approach is explored using various network models, training regimes, and data representation methods. An empirical comparison is made between this approach and five well-known software reliability growth models using actual data sets from several different software projects. The results presented suggest that connectionist models may adapt well across different data sets and exhibit a better predictive accuracy. The analysis shows that the connectionist approach is capable of developing models of varying complexity.<<ETX>></ETX>","1939-3520","","10.1109/32.148475","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=148475","","Software reliability;Predictive models;Parametric statistics;Educational institutions;Artificial neural networks;Senior members;Analytical models;Testing;Accuracy;Application software","neural nets;software reliability","software reliability;connectionist models;network models;training regimes;data representation methods;complexity","","147","","37","","6 Aug 2002","","","IEEE","IEEE Journals"
"Test selection based on communicating nondeterministic finite-state machines using a generalized Wp-method","Gang Luo; G. von Bochmann; A. Petrenko","Dept. d'Inf. et de Recherche Oper., Montreal Univ., Que., Canada; Dept. d'Inf. et de Recherche Oper., Montreal Univ., Que., Canada; Dept. d'Inf. et de Recherche Oper., Montreal Univ., Que., Canada","IEEE Transactions on Software Engineering","6 Aug 2002","1994","20","2","149","162","Presents a method of generating test sequences for concurrent programs and communication protocols that are modeled as communicating nondeterministic finite-state machines (CNFSMs). A conformance relation, called trace-equivalence, is defined within this model, serving as a guide to test generation. A test generation method for a single nondeterministic finite-state machine (NFSM) is developed, which is an improved and generalized version of the Wp-method that generates test sequences only for deterministic finite-state machines. It is applicable to both nondeterministic and deterministic finite-state machines. When applied to deterministic finite-state machines, it yields usually smaller test suites with full fault coverage than the existing methods that also provide full fault coverage, provided that the number of states in implementation NFSMs are bounded by a known integer. For a system of CNFSMs, the test sequences are generated in the following manner: a system of CNFSMs is first reduced into a single NFSM by reachability analysis; then the test sequences are generated from the resulting NFSM using the generalized Wp-method.<<ETX>></ETX>","1939-3520","","10.1109/32.265636","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=265636","","Protocols;Software testing;System testing;Concurrent computing;Communication system software;Computer science;Senior members;Reachability analysis;Software engineering","program testing;multiprocessing programs;protocols;finite state machines;conformance testing;specification languages;software engineering;programming theory","test selection;communicating nondeterministic finite-state machines;generalized Wp-method;test sequence generation;concurrent programs;communication protocols;conformance relation;trace-equivalence;deterministic finite-state machines;test suites;fault coverage;reachability analysis;protocol conformance testing;protocol engineering;SDL;software engineering;software testing","","149","","42","","6 Aug 2002","","","IEEE","IEEE Journals"
