,Document Title,Publication Title,Publication Year,Start Page,End Page,DOI,PDF Link,Abstract,Author Keywords
0,An approach to measure software maintenance and support as a value added component of today's business,"20th IEEE International Conference on Software Maintenance, 2004. Proceedings.",2004,503,,10.1109/ICSM.2004.1357851,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1357851,"There has been considerable investment by Dofasco in existing manufacturing process software. Also, it has been shown that software must evolve to continue to be useful, and thus enhancement/perfective maintenance work is a common activity in an industrial environment. Since software maintenance can consume as much as 70 % of the lifecycle costs of a software system, there is constant pressure from our internal clients to reduce maintenance costs. This proposal describes an approach of reclassifying maintenance activities to provide a measurement tool for clients and senior management, to see a true picture of efforts spent on ""business support"", ""retain benefits"" and to obtain ""business benefits"".",
0,"Software Systems, Their Engineers and Their Testers","2018 IEEE 11th International Conference on Software Testing, Verification and Validation (ICST)",2018,426,427,10.1109/ICST.2018.00053,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8367073,"My overall research goal is to provide meaningful insights, methods and practical tools to help the work of stakeholders during various phases of software development to explore the human factor of IT. My current work mainly considers the analyses of package structure and its relation to the grouping of test cases. With this I aim to help senior developers to find problematic or hard to understand parts of software. During my research I introduced an elaborated test coverage based method to find and classify discrepancies between dynamic and static production and test code grouping. This technique helps both testers and developers to find stray test cases or code elements in Java package structure. In the second to last section I briefly introduce my other two research topics and their possible applications in the field of software testing.",test analyses;test coverage;testing;productivity;visualization;static analyses;dynamic analyses;process metric
1,A System Analysis Study Comparing Reverse Engineered Combinatorial Testing to Expert Judgment,"2012 IEEE Fifth International Conference on Software Testing, Verification and Validation",2012,630,635,10.1109/ICST.2012.151,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6200163,"The Lockheed Martin F-16 ventral fin redesign-combinatorial test study effort was to demonstrate how Combinatorial Testing (CT) could have been applied to system hardware design flaw analysis. The historic analysis was able to determine a set of combinations, which isolated the problem and tested a solution. However, the original effort was expensive, time consuming, and required highly specialized knowledge from the expert to be effective. The new study was an effort to understand if combinatorial test could be applied to similar situations using the original data but conducted by a less senior person without an expert's knowledgebase. The situation and CT approaches are detailed in this paper. In the study, a series of iterations created combinatorial test cases which could have ""replicated"" the original highly optimized and successful test program, without the expert.",Case-Study;Combinatorial Test;Design problem
2,JAT: A Test Automation Framework for Multi-Agent Systems,2007 IEEE International Conference on Software Maintenance,2007,425,434,10.1109/ICSM.2007.4362655,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4362655,"Automated tests have been widely used as a supporting mechanism during software development and maintenance activities. It improves the confidence on software releases as it seeks to uncover regression bugs, and serves as a live documentation which is very useful when evolving systems. Concerning multi agent systems (MASs), some characteristics such as agent autonomy and asynchronous message-based interaction bring a degree of non-determinism which presents new testing challenges. This paper proposes JAT, a framework for building and running MASs test scenarios, which relies on the use of aspect-oriented techniques to monitor the autonomous agents during tests and control the test input of asynchronous test cases. The tool has been developed on top of JADE, a widely used agent platform implemented in Java. We have used JAT on testing 3 different MASs. Our experience shows that JAT can be used to build test scenarios which can achieve high fault-detection effectiveness.",
3,Re-using software architecture in legacy transformation projects,"International Conference on Software Maintenance, 2003. ICSM 2003. Proceedings.",2003,462,,10.1109/ICSM.2003.1235456,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1235456,"Summary form only given, as follows. Software engineers sometimes have to take part in the legacy transformation projects, which are characterized by the complete absence of automated migration tools. In such cases, specialists usually aim at reproducing the original system using the new technologies, without adding any new features. It is common knowledge that it makes sense to keep the functionality as close to the original as possible, because in this case on could use the legacy system as an executable set of requirements. We argue that another, less obvious advantage of ""replicating"" the old system is re-use of architectural decisions that built in the original legacy system and usually represent an invaluable treasure, because they reflect an implemented understanding of the application domain.",
4,Digging deep: Software reengineering supported by database reverse engineering of a system with 30+ years of legacy,2009 IEEE International Conference on Software Maintenance,2009,407,410,10.1109/ICSM.2009.5306293,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5306293,"This paper describes the industrial experience in performing database reverse engineering on a large scale software reengineering project. The project in question deals with a highly heterogeneous in-house information system (IS) that has grown and evolved in numerous steps over the past three decades. This IS consists of a large number of loosely coupled single purpose systems with a database driven COBOL application at the centre, which has been adopted and enhanced to expose some functionality over the web. The software reengineering effort that provides the context for this paper deals with unifying these components and completely migrating the IS to an up-to-date and homogeneous platform. A database reverse engineering (DRE) process was tailored to suit the project environment consisting of almost 350 tables and 5600 columns. It aims at providing the developers of the software reengineering project with the necessary information about the more than thirty year old legacy databases to successfully perform the data migration. The application of the DRE process resulted in the development of a high-level categorization of the data model, a wiki based redocumentation structure and the essential data-access statistics.",
5,Reverse Engineering PL/SQL Legacy Code: An Experience Report,2014 IEEE International Conference on Software Maintenance and Evolution,2014,553,556,10.1109/ICSME.2014.93,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6976137,"The reengineering of legacy code is a tedious endeavor. Automatic transformation of legacy code from an old technology to a new one preserves potential problems in legacy code with respect to obsolete, changed, and new business cases. On the other hand, manual analysis of legacy code without assistance of original developers is time consuming and error-prone. For the purpose of reengineering PL/SQL legacy code in the steel making domain, we developed tool support for the reverse engineering of PL/SQL code into a more abstract and comprehensive representation. This representation then serves as input for stakeholders to manually analyze legacy code, to identify obsolete and missing business cases, and, finally, to support the re-implementation of a new system. In this paper we briefly introduce the tool and present results of reverse engineering PL/SQL legacy code in the steel making domain. We show how stakeholders are supported in analyzing legacy code by means of general-purpose analysis techniques combined with domain-specific representations and conclude with some of the lessons learned.",reverse engineering;program comprehension;source code analysis
6,Automated Refactoring of Legacy Java Software to Enumerated Types,2007 IEEE International Conference on Software Maintenance,2007,224,233,10.1109/ICSM.2007.4362635,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4362635,"Java 1.5 introduces several new features that offer significant improvements over older Java technology. In this paper we consider the new enum construct, which provides language support for enumerated types. Prior to Java 1.5, programmers needed to employ various patterns (e.g., the weak enum pattern) to compensate for the absence of enumerated types in Java. Unfortunately, these compensation patterns lack several highly-desirable properties of the enum construct, most notably, type safety. We present a novel fully-automated approach for transforming legacy Java code to use the new enumeration construct. This semantics-preserving approach increases type safety, produces code that is easier to comprehend, removes unnecessary complexity, and eliminates brittleness problems due to separate compilation. At the core of the proposed approach is an interprocedural type inferencing algorithm which tracks the flow of enumerated values. The algorithm was implemented as an Eclipse plug-in and evaluated experimentally on 17 large Java benchmarks. Our results indicate that analysis cost is practical and the algorithm can successfully refactor a substantial number of fields to enumerated types. This work is a significant step towards providing automated tool support for migrating legacy Java software to modern Java technologies.",
7,Software modularization operators,2010 IEEE International Conference on Software Maintenance,2010,1,10,10.1109/ICSM.2010.5609546,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5609546,"There exists a number of large business critical software systems written in newer languages such as C and Java that are fast becoming legacy and increasingly difficult to maintain. Unlike older monolithic systems, where modularization primarily involves splitting the monolithic code base into modules, for such newer systems which already have some basic modular structure, code decomposition is only one of the many possible activities. Even though the area of software modularization has received considerable attention over these past years, there are hardly any case studies documented in literature on modularizing large C and Java systems. We still do not fully comprehend the activities experienced developers perform when they have to modularize such newer systems. The goal of this paper is to learn from past software modularization projects and identify common recurring patterns. This paper formalizes 6 such patterns, which we term as modularization operators, that are likely to be the basic building blocks of any software modularization activity. The operators presented in this paper are validated using modularization case studies of open source software systems and a proprietary software system and several observations and insights are presented.",
8,Measuring the progress of projects using the time dependence of code changes,2009 IEEE International Conference on Software Maintenance,2009,329,338,10.1109/ICSM.2009.5306313,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5306313,"Tracking the progress of a project is often done through imprecise manually gathered information, like progress reports, or through automatic metrics such as Lines Of Code (LOC). Such metrics are too coarse-grained and too imprecise to capture all facets of a project. In this paper, we mine the code changes in the source code repository and study the concept of time dependence of code changes. Using this concept, we can track the progress of a software project as the progress of a building. We can examine how changes build on each other over time and determine the impact of these changes on the quality of a project. In particular, we study whether new changes are built just-in-time or if they build on older, stable code. Through a case study on two large open source projects (PostgreSQL and FreeBSD), we show that time dependence varies across projects and throughout the lifetime of each project. We also show that there is a high linear correlation between building on new code and the occurrence of bugs.",
