Src,Time,Rank,Val
华为,2021-09-28,5,工商银行手机银行太棒了，查询流水，境内汇款方便快捷。
华为,2021-09-28,5,工行也与时俱进了，通过APP能办的业务越来越多，节省了时间成本和路费，好评！
华为,2021-09-28,5,工商银行手机银行办理业务足不出门真方便。
华为,2021-09-28,5,功能丰富，个人信用报告都能查，操作简便，登录方式灵活多样👍
华为,2021-09-28,5,作为工商银行手机银行五六年的老用户，对手机银行的依赖逐年加深，手机银行真的特别方便，有太多的业务可以在手机银行实现，节省了时间和去营业大厅的精力，方便快捷实用性强，而且特别安全！
华为,2021-09-28,5,不用在去银行排队，在家中完成各种金融交易，提供优质金融线上服务
华为,2021-09-27,4,更新了新版本，怎么没有消息和其它提示APP也有个红点，怎么打开都去不掉，烦啊！
华为,2021-09-27,1,最近APP根本打不开，死机，闪退，无反应！
华为,2021-09-27,1,救命我都刷n次脸了还登录不上去
华为,2021-09-27,5,工商银行app挺好用的，界面清楚，好评.
华为,2021-09-27,5,工行服务态度好，软件实用流畅，不愧是宇宙第一行，使用感太棒了！！！
华为,2021-09-27,5,挺好用，跨行汇款不收费，经常用，方便快捷。
华为,2021-09-27,5,总体说还行 账户安全锁的功能非常强大 境外锁 夜间锁 异地锁 能够放心使用
华为,2021-09-27,5,"登录升级:新增声纹、短信刷脸等多重登录认证方式;
AR识别外币:“扫一扫""识别美元、英镑、欧元、日元和泰铢;
云保管升级:支持18种证照类型的线上 存储， 新增随手记功能;"
华为,2021-09-26,1,华为p40pro 鸿蒙系统，一转账就卡死
华为,2021-09-26,1,登录不上去，第一次使用就登录不上去 太差
华为,2021-09-26,5,好使，比以前省事多了，好多功能以前想要没有，现在有了。现在去银行不用带卡和身份证了方便。
华为,2021-09-26,5,非常好用，日常办业务都用
华为,2021-09-26,1,"产品升级后，打开账户余额，显示为0,我又刷新了好几次都是这样，差评"
