Src,Time,Rank,Val
华为,2021-09-28,1,不是在更新，就是在更新的路上，这怎么一天一升级了
华为,2021-09-28,3,27号才更新过，28号又更新了
华为,2021-09-28,3,5代的界面是真的难用
华为,2021-09-27,2,我就是换了台手机就说我没开通手机银行，那我之前登录一直扣贷款的是什么鬼？还要跑去网点开通，重置密码，可以换银行吗
华为,2021-09-27,2,“中国建设银行”这款产品的App做的很乱，有待升级，有待升级，有待升级，安全中心，账户安全锁不好用！
华为,2021-09-27,1,赶紧优化，登录不了
华为,2021-09-27,1,登录密码我可以确定输入是正确的，但是就是提示密码错误还被锁定了，也没办法用其他方式（验证码、人脸识别）登录，修改密码还必须要去柜台，不去柜台什么都做不了，那出这个手机银行app的意义是什么？
华为,2021-09-27,1,登录页面有问题呀！我今天刚激活一张卡，完事后在这应用准备登录，结果居然说我密码错误！？刚刚设的密码我没几个小时就忘了？好，就算是我忘了，那你好歹给我修改密码的机会吧！好家伙，居然让我去银行那里办理，拜托，我下载你这个应用就是为了省时间、方便，让我去银行那我要你这个应用干嘛？而且，最可气还是我在我刚激活的卡付款时密码无误！没错！密码没问题！支付的时候毛事都没有，登录的时候你就说密码错误！你们这是闹哪
华为,2021-09-27,1,说啥就打不开了，得重新下载
华为,2021-09-26,1,是我不配拥有这卡吧，短信收不到，客服不是人，清一色机器人，短信黑名单秀
华为,2021-09-26,1,什么鬼，版本越更新越不好用，现在简直登录不了
华为,2021-09-26,1,一直闪退是为什么？
华为,2021-09-26,1,卡的要死，还闪退，失望
华为,2021-09-25,2,闪退是什么情况，一点转账就闪退
华为,2021-09-25,1,用一次重新下一次，这是逼着换银行啊！
华为,2021-09-23,1,更新了鸿蒙系统以后就登不上了，和我讲是两台手机
华为,2021-09-23,3,今天突然登录不了了
华为,2021-09-23,1,太不满意了，还没有之前旧版本好用，我是更新个人信息非要我升级最新版本，升级了点进去还是更新不了信息
华为,2021-09-23,1,就你们银行麻烦，别的银行登录密码忘了发验证码重置，或者人脸识别，手持身份证拍照验证都可以，就是你们建行不行！还得去银行网点跑一趟？人性化吗？可恶
华为,2021-09-22,1,真的很差劲，新手机就是登录不了，而且还得去营业厅办
华为,2021-09-22,1,自从设置了指纹登录之后，连密码登录都登不上去了，不愧是官方网站，哎了哎了π_π
华为,2021-09-22,1,每次密码都输不全，没地方输入。每次要重新下载安装时才能把密码输全了。
华为,2021-09-21,1,每次登陆输进去的都是正确的密码，连试了两次都登不上去，说密码错误，密码明明是对的，有时候能登上去有时候不能
华为,2021-09-21,1,缴费一直不行，总是说“未能处理你的请求”
华为,2021-09-21,3,升级后没法用，闪退，为什么？
华为,2021-09-21,3,授权码还得发短信？发短信还被收费；就不能直接密码登入，每次清理全部内存都得发次授权码，软件还真大，都快赶上支付宝了
华为,2021-09-21,1,为什么密码对的一直登不上？难道我脑子进水了吗？
华为,2021-09-21,1,密码忘了就登不进去了人脸识别也没有身份证什么验证都没有！还要去银行弄。弄个APP一点都不方便可笑至极墙都不扶就服你们。
华为,2021-09-20,1,重置密码还得填原登录密码，要知道原密码还用重置吗！？这是zz操作啊
华为,2021-09-20,1,真不好用，，，，重要功能全部不明显，看个余额，交互层级太多了，太不方便了，今天倒好，直接晚上的交易记录全部没同步没记录。。。。。你们要数据智能化，也不是这么设计的啊，
