Src,Time,Rank,Val
华为,2021-09-28,3,总体不错 就是老是显示错误代码-7。
华为,2021-09-28,2,一到早上就打不开
华为,2021-09-28,5,感觉是针对客户 客户积分多了以后再有活动就不想让客户参加了 那搞活动还有什么意义呢  天天推广活动 天天推荐活动让客户多参与  顾客参与了又不想让顾客拿积分 这个是不是自相矛盾呢 在顾客没有违规的情况下 限制顾客的行为 对此表示非常的不满  希望在今后可以改掉这些不好的习惯 以观后效 如果长此以往下去 那么对不起 我和我的众多小伙伴们 只能选择别家了
华为,2021-09-28,1,打都打不开。大家下载这个app只是为了一些基础功能，搞得花里胡哨有什么用？还更新？还升级？把最基础的做好再来吧！
华为,2021-09-27,1,鬼程序，登都登不上去，不知道开发这个干嘛，又不好好经营
华为,2021-09-27,1,经常登录不上去，用的真坑
华为,2021-09-27,1,为什么突然登不上去了 账号登录登不上 手机验证码也登不上
华为,2021-09-27,1,你是真的一动不动啊，流量听个歌三秒一卡。
华为,2021-09-27,1,"真的差，使劲坑老用户！
套餐只能越换越贵，想换便宜的都没有，定阅的坑人套餐想退都退不掉，真的烦死了。
如果不是和好多东西绑定，都想销户了。"
华为,2021-09-27,1,为什么现在一直打不开
华为,2021-09-27,1,售后服务差的很，网线坏了打了几天电话还是没人来修
华为,2021-09-27,1,最近一直登不上，太差了吧！
华为,2021-09-27,1,登录不了怎么弄？我选择短信登录，验证码都发不过来
华为,2021-09-27,1,只能定业务，退业务的功能没有，坑
华为,2021-09-27,1,啥事都解决不了，话费进去变成专款，还查不到
华为,2021-09-27,1,网速老慢了，问了也不解决
华为,2021-09-27,1,真奇怪，流量订了，莫名其妙失效，骗钱的嘛
华为,2021-09-26,2,神马神操作？我领了优惠充值劵，让我用微信扫一扫，打开了小程序，居然卡包劵没有了？？？惊！被移动后台吃了么？！！！什么鬼程序？？？
华为,2021-09-26,1,为什么我一进去就无法打开网页，我的网络明明看别的都挺流畅的啊
华为,2021-09-26,2,一般般吧，流量查询不清楚。
华为,2021-09-26,5,这个可以，好多业务都不用跑营业厅了，自己在手机上就可以随时更换套餐，查话费查流量，积分兑换也方便，刚刚用5200积分兑换了10斤大米，很不错。
华为,2021-09-26,1,为什么“我的卡劵”网页点不开
华为,2021-09-26,1,天天只会推业务，买了流量包也用不了，找人工服务一直都是机器人，机器人一直推业务出来，问点简单的都回答不出来，差评差评差评
华为,2021-09-26,2,活动不多，动不动就退出登录。。。额😓
华为,2021-09-25,2,仅仅想为自己另一个号码充点话费，弹窗非得查看我的通讯录？还关闭不了
华为,2021-09-25,1,积分商城那个，换了好几个wifi，移动网也试了，都登陆不了。好家伙搁这搁这来了，不能兑换就直接去掉这个很难么！！！！
华为,2021-09-25,2,差个流量耗费，还需要密码，过分了
华为,2021-09-25,1,我的卡券好几天了都打不开，也兑换不了，太坑了
华为,2021-09-25,1,不能退订业务，还整天打电话叫我订什么业务，诈骗移动
华为,2021-09-25,1,莫名其妙网速贼差
华为,2021-09-25,1,APP上看到流量快用完了，就马上订了日流量包，两个小时后玩手机，没多久短信提醒我使用了套外流量，我去查看日流量只用了一点，难道这是网络延迟？这信息时代，延迟两个小时？
华为,2021-09-25,5,挺好的一款应用可以看许多流量信息套餐还有更多的优惠套装极力推荐一下
华为,2021-09-25,1,每次进APP都要短信验证码麻烦得我想不用了
华为,2021-09-24,1,积分兑换  老是闪退 老是提交不了订单 反复多少遍才可以
华为,2021-09-24,1,差评，积分兑换一直点不进去。点进去要兑现就被踢出去
华为,2021-09-24,1,积分系统改个地址不让改一直退出，不让兑换？
华为,2021-09-24,1,莫名其妙，怎么都登不上
华为,2021-09-24,1,发送验证码几次都没有登录成功，就这！体验太差了
华为,2021-09-23,1,我想问，积分兑换商品，凭什么不能填写地址？？？？不想让别人兑换。就直接设置成没有兑换功能不就行了？
华为,2021-09-23,1,手机卡没话费了登录都登不上去，坑人啊，
华为,2021-09-23,1,我就查看套餐 需要登录 你还一直登录不上 那你有个什么用
华为,2021-09-23,1,这APP要用的功能一个都没有，不用的一堆，这APP一点用也没有，想注销移动卡，也不能，非得去营业厅，么时间去不了就办不了，就扣钱，
华为,2021-09-23,1,1星都不想给，好端端的动不动自动退出，每次登录第三方应用的的时候跳出来的比谁都快。。。
华为,2021-09-23,1,我明明设置了登录密码了，登录还跟我要验证码欠费了停机了咋办，密码的意义在哪儿？
华为,2021-09-23,1,打开就是为了买流量包，结果让我重新下载一个，不能直接更新吗，非要浪费我最后的流量。
华为,2021-09-23,2,今天多次本机号码登录失败，短信登录也没有用，卸载安装还是失败
华为,2021-09-22,3,登不上去，，，，检查一遍又一遍验证码没有输错，就显示登录失败
华为,2021-09-22,1,app.都没法登陆还搞软件干嘛 下架了呗
华为,2021-09-22,1,速度慢，莫名其妙退出，无语了
华为,2021-09-22,1,总是恶心人，找个功能找半天不知道在哪儿
华为,2021-09-22,1,评论发了就不见了，呦，差还不让人说啊
华为,2021-09-22,3,就是卡的不行，需要用的时候掉链子
华为,2021-09-21,1,不知道怎么变成这样，打电话给人工客服态度真的不怎么行，讲话特别不耐烦就算了，老人用的卡那么多个套餐都不讲？只知道扣费？打电话让取消，说没有权限非得去营业厅，app上也弄不了。
华为,2021-09-21,1,验证码收不了为什么啊
华为,2021-09-21,1,一星都不想给，每次都要重新登录，那我欠了话费你别给我停机呀，想交话费都发不过验证码来，你让我重新登录，那把验证码发过来也行呀，要不是校园卡，我连用都不想用
华为,2021-09-21,1,什么时候能消费随意增降配呢
华为,2021-09-21,1,为什么这段时间天天领券经常打不开，明明其他功能很快就打开了
华为,2021-09-21,1,不行，你们推业务，打10086查话费都能让你们推业务，然后当是查话费，按确认然后你们给人家办理了，就你们移动能推销啥平台嘛
华为,2021-09-21,2,不在第一时间通知流量超了
华为,2021-09-21,1,每次隔一个时间段就会登不上去 太无语了
华为,2021-09-20,3,老是更新啥的，签到签的动不动就断开了，还得老登录。都没个提醒，好不容易好几天以后可以领了，功亏一篑，
华为,2021-09-20,5,还不错的可以查流量和话费。
华为,2021-09-20,1,差差差，网速慢得不行！！！
华为,2021-09-20,1,我已经登录了，可它却还显示我没登
华为,2021-09-20,2,其他的都还好，就是 墙裂 建议中国移动可以新增一个“在通知栏显示流量”的功能，手机自带的通知栏显示流量统计不全我手机卡里的各种流量（校园卡），校准流量还总显示“校准失败”，就只能在中国移动APP里能看到自己还有多少流量。
华为,2021-09-20,1,什么东西啊，有些功能点进去不给我显示，我用的流量都说我网络错误
华为,2021-09-20,3,无法查询流量使用情况。
华为,2021-09-20,1,每次进软件都要重新登录，只想看个话费，交话费很难吗，进软件卡的要命
华为,2021-09-20,1,为什么网页打不开
华为,2021-09-20,1,动不动卡退，登录不上
华为,2021-09-20,1,为什么一直不能登陆
华为,2021-09-20,1,为什么我登陆不上去呢？
华为,2021-09-20,1,验证码发两遍了还没有发过来，登都登不了，绝了，验证码不发了我怎么登，我凭空想象吗，
华为,2021-09-20,5,每天可以领流量挺好的
华为,2021-09-20,1,有些功能用着就找不到了，问客服也没有用
华为,2021-09-19,5,服务全全到位，客服态度好！
华为,2021-09-19,1,连续登录几次都是显示未登录，太坑了
华为,2021-09-19,1,我充的流量包为什么不能用，还是那么卡……
华为,2021-09-18,1,为什么无法登录啊？验证码登录又说网络有问题？不登上我怎么交费？
华为,2021-09-18,5,就是有一个bug，两个号的切换太麻烦
华为,2021-09-18,1,主要是办理的这个套餐48一个月的流量150季居然还是网卡，一个视频都看不了，我简直就服了，
华为,2021-09-18,1,开电子发票给我开一个“预存话费”，你猜我为什么要开发票？都预存了我还怎么报销，开个电信服务这么难吗？
华为,2021-09-18,1,流量钱包，付钱的时候从来不卡，一提流量就各种闪退卡顿，恶心人是吧
华为,2021-09-18,1,就很无语 套餐都糊弄人
华为,2021-09-18,1,"打电话给你推销的时候你感觉他们有几百万员工。
你打电话找他们客服的时候你怀疑他们是不是只有几个人。"
华为,2021-09-18,5,这个软件使用稳定，关键还有免费的流量可以。
华为,2021-09-17,1,办的营销活动抽到的流量总是不到账，差评
华为,2021-09-17,1,找了半天想找的找不到，而且流量越来越不划算
华为,2021-09-17,1,坑太多，不小心点了一个广告，通知我办了什么会员 五块钱一个月。。。。。
华为,2021-09-17,1,为什么app里面活动打不开，显示没网，但是点办理业务和查询业务又有网。
华为,2021-09-17,1,太差了，动不动就断网，一星期需要认证一次，体验太差了。
华为,2021-09-17,2,之前买了个移动卡，它乱扣费的，每天都扣一点，每天的扣费，总共加起来都大于月租费了，希望是每个月底再扣费好吗？
华为,2021-09-16,1,一大堆广告，打开加载半天
华为,2021-09-16,1,为什么验证码发不过来？一直登录不了
华为,2021-09-16,3,"广告多,开启速度慢,
套餐不合适，不能自由选套餐，不能降级"
华为,2021-09-16,1,业务优惠期不说明，现在自动扣费
华为,2021-09-16,5,我觉得挺好 每天签到都可以领流量 打卡也可以 还有每日福利
华为,2021-09-16,1,营销业务莫名扣费
华为,2021-09-16,1,业务退订不了，等着慢慢被抛弃
华为,2021-09-16,1,为什么自己突然就扣钱呢，有毛病吧，而且找不到人工客服，也不能打电话，只有交钱项，没有退钱项和投诉项。
华为,2021-09-15,1,里面各项功能都挺满意！唯独登录，这是最差劲的一个地方！为什么非要用验证码才能登录？我万一在一个没有信号的地方，接收不到验证码我怎么登录？以前支持的手机密码登录为什么没有了？？？另外，为啥不支持切换号码？现在很多人不只一个手机号吧，我想登录我另外一个手机号还得重新退出来，再输入另外一个移动号再接收验证码，还不够麻烦的呢！况且我需要登录家里老人的手机号，看看移动有没有乱给他们开业务，还得打电话问老人要验证码！联通电信都支持密码登录也都可以不需要验证码就能切换其他号码，为啥中国移动就不行？下面一些省的移动APP都能切换号码，到了总公司的APP反而不行了？
华为,2021-09-15,2,定向流量介绍的太笼统了，而且自己还查不到，必须要打电话问客服才可以
华为,2021-09-15,5,特别好用，优惠挺多的，很方便！👍👍
华为,2021-09-15,2,更新不明确，打不开
华为,2021-09-15,1,每次趁我不注意疯狂扣费，问就是流量超了有延迟，相扣几位数就几位数，你真是差我那些钱就活不下去。
华为,2021-09-14,2,业务退了为什么还收钱？短信验证码无法登陆你倒是解决啊
华为,2021-09-14,5,支持中国移动！很方便实惠，就是打电话有点小贵
华为,2021-09-14,1,搜索栏搜索不了，点击就自动后退一步
华为,2021-09-14,2,有些便宜的套餐都不给显示啊
华为,2021-09-13,1,网络过几年太差，让我想起了以前的天线
华为,2021-09-13,1,为什么我退订不了
