Src,Time,Rank,Val
华为,2021-09-28,1,我对这个软件真的是无语，刚开始的时候可以点开剩余流量查询，用了一段时间就点不开了，官方说系统维护暂时无法查询，结果过了一年还是不让查询，他签到可以领一些流量日包，结果有时候官方耍心眼让你点不开我的礼包去使用，这个软件最大的问题就是官方会人为的让你点不开一些选项。
华为,2021-09-28,1,什么流量包都办理失败，客服也找不到联系的位置，反应又慢，功能又不能用，你做这个软件给我们看着好看是吗
华为,2021-09-28,1,"联通客服最差没有之一，软件也找不到明细在哪
扣话费第一名"
华为,2021-09-28,1,找了一晚上没找到IPTV退订的入口，而且总是提示我授权失败请退出账号重新登陆一晚上我登录了无数次始终不行，一家网络公司却连自己的服务系统都做的这么卡顿，无语了
华为,2021-09-27,1,网络信号差、销户后话费退不了
华为,2021-09-27,1,为什么没有限流的情况下还是那么卡，看个小说都能卡，人工客服每次都是，人太多
华为,2021-09-27,1,不满意，不是我要安装，去联通营业厅销户，必须下载安装APP取号，强制行为，为了办理业务取号浪费我一百多兆流量，取了号就卸载了，有什么意义。
华为,2021-09-27,1,个人基本信息套餐都打不开，想退订个东西都不行！！
华为,2021-09-27,2,只能查看流量和话费，在这个软件上没有什么优惠流量券和话费券。
华为,2021-09-27,1,广告太多，乱七八糟的。都不像个正版软件，一颗星都不想给
华为,2021-09-27,3,希望联通越来越实惠，越来越强大
华为,2021-09-27,1,服了呀！之前明明登过然后要重新登陆，关键是我也没卸载啊，还要验证码，我就是因为停机要在这软件上面交话费，然后不能交，没验证码登不进去，那我下你干啥，要说我第一次用那我能理解，关键是明明都登录过了也没卸载也没换号也没换手机，就要重登，那有啥用
华为,2021-09-26,1,我办理了一张主卡，并没有办理副卡，系统却给我的主卡挂上了一张副卡，我还取消不了，乱给我办理套餐，乱扣费，骗子！就不能好好办实事吗？让人瞧不起！！！
华为,2021-09-26,1,合约包不支持退订，感觉被骗了。。气死了
华为,2021-09-26,2,跟多页面刷新不出来，如果不是软件有问题就是侧面反映联通网络质量不行
华为,2021-09-26,1,充不了话费，笑死了
华为,2021-09-26,2,除了看流量和话费没别的用了，所有的福利我是没有一个能点进去的，说是网络卡爆了，一天二十四小时进不去那还弄个啥福利，不如不弄，就不能好好做做这个软件么，整天都想些啥呢
华为,2021-09-26,1,"一个月话费给我涨了25，我什么时候买套餐了？😊(▼皿▼#)
界面找了半天，兜兜转转，大半夜找客服，愣是找不出一个退款(ノ=Д=)ノ┻━┻"
华为,2021-09-26,1,什么都不能打开，一直出小差，干什么用
华为,2021-09-25,1,买个日包，买完后发现下月自动续费，找了半天也找不到在哪里取消，这不是骗钱吗
华为,2021-09-25,1,用积分缴费，跳转失败直接扣了，客服也不理人……
华为,2021-09-25,1,中国联通服务很差劲，APP很多功能无法使用，广告一大堆，诱导消费者花钱，服务功能设置比较差
华为,2021-09-25,1,查询服务大部分不能正常打开，不能查账单，不能查话费，
华为,2021-09-24,1,网络信号差    经常卡  乱安排套餐  手机上又不能取消
华为,2021-09-24,3,系统检测到您的账号绑定关系失效是什么鬼登了几遍出了几次。
华为,2021-09-24,1,你中国联通什么意思？现在连账号都登录不上去什么软件这是？什么玩意儿，联通给个说法！
华为,2021-09-23,2,广告！广告！广告！一打开就是广告霸屏！过分了
