Src,Time,Rank,Val
华为,2021-09-28,4,为什么版本升级不能直接进行？或者在手机安全应用市场里升级？应用宝我从来不用，为什么一定要经过应用宝才能升级？
华为,2021-09-26,1,根本登陆不上！登陆完输入密码后还显示未登录，让你重新登陆！重复了好几次了都没登上，我真吐了
华为,2021-09-26,1,别的手机银行都可以更新证件信息，这个点进去刷了脸才弹出来只能线下店面更新   无语死了
华为,2021-09-26,1,没有指纹登录了是几个意思
华为,2021-09-25,2,不知道搞那么多验证码干嘛，就算短信登录也要输入密码才能进去，还是乱序的键盘。这还没完，之后还得再发短信验证一回才能登录，烦死了
华为,2021-09-25,1,手机话费都充不了。。
华为,2021-09-23,1,闪退，重装了还是闪退🙂
华为,2021-09-22,1,校园卡充值都充不了
华为,2021-09-21,4,希望银行程序员能把理财板块在优化一下 把已经买了的理财产品模块化 分类明细化 例如稳健型 进阶行 然后再细分 偏债型 偏股型 混合型 等 最后再在下面给个资金优化建议 那就完美了
华为,2021-09-20,1,这个软件太菜了，一滑出去呢，就要重新登录，要验证码，扫脸也不让通过。
华为,2021-09-20,1,真卡啊，我吐了，登录一下就是加载加载，我寻思我网一点问题没有，咋就你这么特殊？
华为,2021-09-20,1,之前登录的时候指纹验证一直加载时间很长然后说网络连接有问题，这个问题还没解决现在人脸识别又过不了了😅
华为,2021-09-19,3,手机银行客户端登录不了啦，大概有2个月时间了。银行说华为应用市场没有更新到最新版本。谢谢。
华为,2021-09-19,1,为什么第一次登陆进去就让我转账给别人？这也不能附图。
华为,2021-09-19,1,次次都说网络不行，可我看视频都不带卡的，怎么就不行，现在都登陆不了了
华为,2021-09-19,1,怎么回事，进不去的卸载重新进也进不去
华为,2021-09-19,1,登入不上啊，新下载的验证码都不显示了。真是无语
华为,2021-09-19,1,什么意思啊！！每次登录都是网络连接有问题！我网络好的不行好吧！登录其他软件很轻松，怎么就这个这么难！技术人员出来一下可以吗，解决一下bug可以吗谢谢您！
华为,2021-09-19,1,太差劲，打都打不开，无法登录？啥情况！
华为,2021-09-18,1,登不上去，老显示网络异常
华为,2021-09-18,1,不知道这个APP存在的意义上什么，都要到线下重新搞一遍，网上预约什么都没有用。
华为,2021-09-16,3,更新证件有效期，人脸识别死活过不了，咋了我今年换的才几个月就人变啦
华为,2021-09-16,5,"1.增加工商银行的安全备忘功能，很实用哦。

2.设置了手势密码，动账通知为何不用密码就能查看呢？"
华为,2021-09-15,1,每次登录都说手机号码无效
华为,2021-09-15,5,我的手机银行app咋打不开了？麻烦您回复一下！谢谢！
华为,2021-09-14,1,为什么登录不了了？还需要什么t1环境
华为,2021-09-13,1,吃个饭不能直接支付 转个账还要预约时间 绝了 想饿死我吗
华为,2021-09-13,1,我想知道你一个银行软件哪儿来这么多更新？更新了之后的意义又在哪里？安安静静躺手机里就好了好吗；
华为,2021-09-13,1,现在进去App要选择环境，是什么意思？怎么选
华为,2021-09-13,1,国内网银最差的app！占用网络太多，手机信号差一点点就打不开！这么大的国企做出来的app竟是这样子的！真是无语！
华为,2021-09-13,1,选择运行环境什么意思
华为,2021-09-13,1,这个选择运行环境T1T2什么意思？
华为,2021-09-13,3,把调试版本发出来了？首页还要选择编译环境。根本不能用，作为一个银行app，这合适吗
华为,2021-09-13,3,更新了，打开app出现选择运行的环境。鸿蒙系统上个版本没这个问题。上架华为不测试吗？
华为,2021-09-13,1,"更新以后，登录总说网络异常，登不上去
基本废了。其他软件都能正常登录"
华为,2021-09-13,3,打开后要选择运行环境是啥意思？
华为,2021-09-09,3,手机系统更新后，进入就闪退
华为,2021-09-09,1,很难见到这么无语的软件，之前要更新，现在说我系统环境不安全。我怀疑根本就是软件不能用随便整个提示出来糊弄人，顺便收取验证码费用和人流量罢了
华为,2021-09-08,1,您的身份信息已注册……这啥意思啊？一直登不了
华为,2021-09-08,1,信息延续严重，许多操作没法进行，非常不好用
华为,2021-09-08,2,人脸识别一直失败我真滴服了
华为,2021-09-08,2,指纹一直转圈，也不自动结束更换其他登录方式，无语了
华为,2021-09-08,1,一直在人脸识别和短信验证中无限循环。。。
华为,2021-09-07,4,怎么不出鸿蒙系统应用
华为,2021-09-07,1,手机号登录，要你输入短信验证码，点在验证码输入框那里，没有验证码的显示，跳出APP去收件箱看了，再打开APP，就是广告，要在在登录框输入，然后过期！
华为,2021-09-07,3,为什么现在进不去了啊？
华为,2021-09-07,5,为什么我一进就闪退
华为,2021-09-06,1,拿着银行卡对着卡号重复确认卡号无误都登录认证不了显示卡号有误
华为,2021-09-06,1,真的很np，交学费忘记截图，然后再点进去查看根本查看不了，我就很无语了，查看缴费记录要你的钱？🙏🙏希望能改善一下，班级要交截图，笑死根本不知道在哪截
华为,2021-09-06,3,开启手机交易码选择安全工具都没有选项，就无语😓
华为,2021-09-06,3,之前是可以交话费的呀，最近两三天我试了有七八次，每次都说”运营商维护中”，请问这是怎么回事呀，维护了好多天还没ok吗😓
华为,2021-09-05,1,关联账户后六位一直有误，照着卡号输入也能错？
华为,2021-09-05,1,图形验证显示不出来，点刷新没反应
华为,2021-09-05,1,我甚至一直在卡登录界面，5g网速也跟不上您的时代了是么
华为,2021-09-04,1,下架算了根本就没用
华为,2021-09-02,2,虽说银行的app都不指望能多好用，但是这么不好用也真是服了，想激活一下信用卡反反复复半天也没搞定…
华为,2021-09-02,1,关联卡号后6位一直有误，卡号拿出来对着输会错？
华为,2021-09-02,1,每次重新登陆手机验证码都过了，还要登陆密码，一年都用不了几次还登陆，重设密码还要银行卡号
华为,2021-09-01,2,什么功能基本都要人脸识别才能打开，人脸识别又经常错误，取消一个消息提醒还要那么多事情，真的太繁琐了
华为,2021-08-29,1,为什么需要我更新信息，然后说“至少要填写一个联系方式”，但是却没有“联系方式”这个栏目给我填写，我填哪里？不填又登录不了，现在就是完全登录不了了，这不是有bug吗？这该怎么处理？
华为,2021-08-29,1,希望贵行办卡能够省掉一些手续，当还是学生去办卡说要工作证明。当学校扣学费的卡是中行，又说要居住证明！？要不是工作需要我懒得办你们的卡
华为,2021-08-27,2,指纹登录是咋了，突然就不能用了，要密码登录，忘了找回密码还要输入卡号，又记不住，好麻烦呀
华为,2021-08-26,1,无语死了，一直显示手机号或密码无效，注销了从设密码，登录还这样显示，真的无语了
华为,2021-08-26,1,人脸识别一直识别不成功
华为,2021-08-26,3,为什么预约转转只能选择六个月呢，设置长期有效不好啊？建设，工商app这一块就做的很好，而且查询这一块做的实在不好，查询只能三个月，希望改进一下
华为,2021-08-26,1,每次打开都要麦克风权限，干啥，想录音
华为,2021-08-25,3,为啥总更新呢？？？
华为,2021-08-22,1,为什么老是登录不了，显示检查网络。网络没问题啊
华为,2021-08-18,1,图标太难看了，没原来的好看
华为,2021-08-18,1,通知更新个人信息，更新了怎么一直不匹配？
华为,2021-08-14,3,每一次进去是都要输一遍登入密码吗？我只要在后台划掉，再进入，就显示登入页面了。
华为,2021-08-13,3,预约转账为什么不能长期
华为,2021-08-11,3,身份证有效期不能提前更新吗，有效期功能打不开
华为,2021-08-10,1,登录个app真就麻烦，手机验证码输入完了还需登录密码，密码忘了想找回还需要银行卡号，好多信息，真就是繁琐的不能再繁琐
华为,2021-08-06,1,一直闪退，打电话去柜台都解决不了，不知道怎么用了
华为,2021-08-05,1,人脸识别一直不通过就进不去
华为,2021-08-05,1,太难用了，登录界面，就一直进不去，以为app卡顿，卸载了重新安装，重新登录需要电话短信验证，验证了几次，都没收到一条验证码，想查询下自己账户怎么就这么费劲
华为,2021-08-05,1,去换一个头像就闪退了i了
华为,2021-08-04,1,一直闪退，不修复一下吗？
华为,2021-08-03,1,为什么注册必须要绑定一张本人的银行卡？我就是因为要绑卡才来注册😡
华为,2021-08-02,1,人工客服形同虚设
华为,2021-07-29,3,"1：希望贵行能取消转账附言10个字的限制。
2：希望贵行可以将，转账记录查询和收支记录查询的时间范围，提升至5年内。"
华为,2021-07-28,3,为什么没有指纹登录或者刷脸登录功能，要输密码好麻烦，时间一长就忘了……
华为,2021-07-27,2,太难用了，身份证到期更新，光线充足，来来回回搞了几十遍，各个地方都试过了，就是扫描不上。
华为,2021-07-27,1,我要登录他让我更新最新版本，我点设置版本准备更新，他让我登录？？？？
华为,2021-07-26,1,银行app为什么打不开了闪退
华为,2021-07-21,1,在线申请开具电子流水回单到底什么时候能有？用户最需要的功能不上，更新再频繁有什么用！
华为,2021-07-20,1,真的服了，说身份信息更新，从我换了身份证就一直更新，更新到现在都没更新上，人脸识别完就验证码，验证码完了又人脸，一直重复，能不能更新一下，真的服了
华为,2021-07-18,5,升级后支持读屏软件了，这下盲人也可以使用了，感谢中国银行，以后的生活会越来越方便。
华为,2021-07-17,1,明明刚下载，一直登录不进去，要我下载最新版本
华为,2021-07-17,4,以前一直用的挺好。今天一直闪退，希望快点处理。
华为,2021-07-15,1,一直说我绑定卡的后六位不一样！
华为,2021-07-15,5,7.0真的好用，投顾一键配置
华为,2021-07-15,5,非常喜欢手机银行的扫码存取款功能，出门忘带卡也可以自助存取现金，非常好！
华为,2021-07-15,3,建议开发无障碍板，便于盲人使用。
华为,2021-07-10,1,一直登录不进去 不停喊你人脸识别 就是不让你登录不进去 差评
华为,2021-07-09,1,支持鸿蒙版，希望你们中国银行维修升级
华为,2021-07-06,1,登录都登不进，一直说要更新最新版本，我刚下的我去哪里更新最新版本
华为,2021-07-06,1,登录不上去。。。
华为,2021-07-04,1,什么时候出鸿蒙版本，什么时候改评价
华为,2021-07-04,3,版本更新了，为什么登不进去，还要叫更新版本但已经更新了呀。
华为,2021-07-04,2,更新后闪退了，那里有旧版的啊？
华为,2021-07-03,3,啥时候支持鸿蒙版啊
华为,2021-07-01,2,闪退啊？什么情况？？
华为,2021-07-01,1,想登录先升级，想升级先登录，死循环，怎么用啊！窝疯了！
华为,2021-06-30,1,为什么不能进去，一直闪退
华为,2021-06-30,3,鸿蒙系统为什么一直让我更新至最高版本使用，我刚下载的也看了不用更新，反正就是用不了，怎么回事？
华为,2021-06-30,2,密码输入键盘的数字英文符号，不是每次变换更新的，每次一个样，很不安全。
华为,2021-06-29,2,登不上去 说要更新
华为,2021-06-28,1,这个版本闪退，试了几次都不行，快点解决吧
华为,2021-06-28,1,登录不上去啊。。一直说我不是最新版本。。
华为,2021-06-27,3,添加过的银行卡，不打算再用了，为何不能删除？希望多多改进！
华为,2021-06-27,3,添加过的银行卡，不打算再用了，为何不能删除？希望多多改进！
华为,2021-06-27,2,为什么每次进首页都要使用麦克风
华为,2021-06-27,2,为什么每次进首页都要使用麦克风
华为,2021-06-25,1,这个版本鸿蒙系统闪退！请尽快修复！
华为,2021-06-25,1,这个版本鸿蒙系统闪退！请尽快修复！
华为,2021-06-24,4,重装之后怎么不能用指纹呢？
华为,2021-06-24,4,重装之后怎么不能用指纹呢？
华为,2021-06-23,3,升级了，现在可以看到持仓收益率，那我就在中行多买基金吧，就这样不断升级，中行加油！比建行那个老古董强。👍
华为,2021-06-23,3,升级了，现在可以看到持仓收益率，那我就在中行多买基金吧，就这样不断升级，中行加油！比建行那个老古董强。👍
华为,2021-06-23,1,这软件简直了这么卡怎么用？！还无响应。。。无语。。。验证码半天收不到登不上。。废了。。。
华为,2021-06-23,1,这软件简直了这么卡怎么用？！还无响应。。。无语。。。验证码半天收不到登不上。。废了。。。
华为,2021-06-23,5,鸿蒙版本啥时候出
华为,2021-06-23,5,鸿蒙版本啥时候出
