Src,Time,Rank,Val
华为,2021-09-27,1,"1.卸载交通银行5.5.2
    2.在浏览器搜索，豌豆荚官网，下载豌豆荚，打开豌豆荚，在软件中-搜索交通银行，找历史版本5.4.0，安装。
    3.交通银行5.5.0-5.5.2都会闪退"
华为,2021-09-26,1,闪退，影响使用，一直不解决，店大欺客么
华为,2021-09-26,1,下载5.4.0版本吧，这个版本不闪退。要记得关闭应用市场自动更新哦！
华为,2021-09-25,1,一直闪退，怎么解决
华为,2021-09-23,1,闪退，无法使用，退回到5.4.0版本可以正常使用
华为,2021-09-22,1,上一个版本和之前不闪退，更新这也一个月了，每次用不到30秒就会闪退！卸载重装也没用！
华为,2021-09-22,1,最近一段时间总是闪退，卸载重装完全不好使，到底有没有人处理啊，还是华为手机不支持？醉了！
华为,2021-09-22,1,我的也一直闪退，没几秒就退出去了
华为,2021-09-21,1,怎么就登录不上了？
华为,2021-09-21,1,一直闪退什么时候能解决
华为,2021-09-21,1,什么破应用，一直强制更新！要不就打不开，打开之后显示账户交易余额都是错误的
华为,2021-09-19,1,好多天 都登录不了  不知出什么问题  客服说是兼容性问题  不知是否不兼容华为鸿蒙系统  因为别的应用都没出问题  只有这个交通银行APP有问题
华为,2021-09-18,1,上一个版本和之前从不会闪退，更新这也一个月了，每次用不到30秒就会闪退！卸载重装也没用！
华为,2021-09-18,1,为什么一登录就闪退
华为,2021-09-17,1,赶紧把闪退解决下
华为,2021-09-16,1,一直闪退能处理么
华为,2021-09-15,1,更新了就一直闪退。客服啥都不知道。差评啊
华为,2021-09-14,1,登录巨慢，吐了，有时候还登不上，真吐了，耽误交党费
华为,2021-09-14,1,从前闪退段时间开始，一直出现闪退，怎么不解决？
华为,2021-09-14,1,一直闪退！登录都没进去就一直闪退！什么情况，急着转账，都转不成！
华为,2021-09-13,2,服务器繁忙是什么意思，一直登录不上
华为,2021-09-11,1,什么情况，闪退沒人管，我3个亿的生意都给我整黄了
华为,2021-09-11,1,强制性要求下载就无语
华为,2021-09-11,1,怎么回事啊。之前还好好的，最近老闪退。是不是要搞事情了。这样子根本没法用啊。想着钱直接还信用卡。结果一直闪退，只能又重新装网商银行再还卡。气人
华为,2021-09-11,1,一直闪退，也不修复。差评
华为,2021-09-10,1,为什么一直闪退啊
华为,2021-09-08,1,一直闪退，也不修复，程序猿呢出来挨打
华为,2021-09-07,1,一直闪退，用不成
华为,2021-09-07,1,啥玩意，一直闪退，怎么搞啊，都要不了，进去十几秒就闪退出来
华为,2021-09-05,1,一直闪退，咋回事呀
华为,2021-09-04,1,闪退问题反馈给客服都解决不了。。。很是失望啊！
华为,2021-09-03,1,手机格式化后重新登录  要验证码  登了四五次了  验证码就是不发  你验证什么啊？
华为,2021-09-03,1,一直闪退，登录都要好几次
华为,2021-09-03,1,一只闪退怎么回事儿？
华为,2021-09-02,2,最近一直闪退，也不知道是咋回事，都有一个多月了，也没人管管
华为,2021-09-02,1,一直闪退，用不成
华为,2021-09-01,2,经常闪退，转个帐都不能做到，只能绑定了支付宝或者微信把钱转到另一个银行再办
华为,2021-08-25,4,不好用呀，验证码一半天都收不到，能不能好好的优化一下
华为,2021-08-24,1,最近一直闪退，办个业务吃力的要死，能不能完善一下
华为,2021-08-24,3,最近根本用不了，一直闪退！
华为,2021-08-22,1,什么情况   咋老是闪退    在iPad的登录到不闪退
华为,2021-08-11,1,最近老是闪退，什么情况
华为,2021-08-05,1,两三天了，登录不了，重新下载后也不行。按客服怕，连页面都出不来，说是网络问题。这应用都重下载了网络有什么问题呢？
华为,2021-08-01,2,平时没问题，着急用的时候打不开
华为,2021-07-29,1,现在登陆也登不上，就网页无法打开
华为,2021-07-28,1,为什么最近一直闪退？
华为,2021-07-06,3,每次打开都得重新登录个人信息  有点麻烦
华为,2021-06-30,5,非常好的软件，交通银行真是太棒了，值得拥有
华为,2021-06-30,5,方便好用，界面清晰
华为,2021-06-29,5,好用，服务好，交互友好！
华为,2021-06-29,5,不错，好用，转账很方便，限额设置再大一点就更好了！
华为,2021-06-28,5,继续优化主页使用体验，特别是账户信息查询，特约取款，无卡取款，开户行查询等
华为,2021-06-28,5,银行服务也很好，软件用起来也较为方便。
华为,2021-06-28,5,转账方便 ，买理财方便，无手续费。服务周到
