Src,Time,Rank,Val
华为,2021-09-28,1,京东现在天天出问题了，每天必须重新登录一次，重装，换苹果手机等都没有用，客服反映更是鬼打墙，plus会员等于零，看来是准备退出市场了
华为,2021-09-28,1,客服太差，处理方式慢，好敷衍的客服
华为,2021-09-28,1,使用感太差，不好退东西
华为,2021-09-27,1,新人根本买不了新人专享的东西，第一次用京东，真服了
华为,2021-09-27,1,明明能正常使用，为什么要我强制更新？
华为,2021-09-26,1,干嘛不能用支付宝付款啊，好不方便啊，唉，转来转去太不方便了😰😥
华为,2021-09-26,1,用得好好的为什么停止老版本维护？
华为,2021-09-26,1,网络很好，但是页面打不开，一直转圈圈
华为,2021-09-26,3,中秋节买的电脑，5天才来。。。。。
华为,2021-09-26,5,想问一下京东怎么学生认证？
华为,2021-09-26,2,退个款退半天，钱没退货照样给你发过来
华为,2021-09-26,1,现在的版本种水果还打不开网页了，太bug了，两天了不解决，强行要求更新的节奏？至少也要提示更新吧，啥提示都没有，进去直接打不开。新旧版本兼容性太差了。。。
华为,2021-09-26,1,真的专门来应用商店打差评，京东广告真的太太太太太多了，用其他的软件看视频，看网课每次一打开软件就会莫名其妙打开京东，无数次了！！！！！！
华为,2021-09-25,1,安卓都更新到10.1.16了，怎么这边还没动静？
华为,2021-09-25,1,更新新版本之后卡的要死，圈圈转半天也反应不过来😳应该是越更新越快捷才对，这弄的啥玩意？？？
华为,2021-09-25,3,大表情发不了了 什么时候开始修好呀！！！！！！！
华为,2021-09-25,1,京东客服不作为，没收到货，就确认收货，快递丢了也不负责！
华为,2021-09-25,2,怎么总是闪退打不开？提示更新也没有更新选项 只有“打开”？
华为,2021-09-25,1,这个软件很厉害，一般人玩不懂，老百姓特别是贫民更玩不懂，里面的水比太平洋还深。本不想安装的，原因就是用过而且是亲身体验：（1）京东自营万还不如其他商家，乱发货说什么可以用。（2）退款说什么银行卡付款要十天半月，找客服居然是机器人程序回复，结果不了了之。货退了，钱呢……………
华为,2021-09-25,1,一颗星都不想给，说什么新人福利，可以用很少的钱买东西，结果呐，一直显示订单异常，我真的第一次用京东，感觉很不好，以后都不会使用这个ap了
华为,2021-09-24,1,最好不要下载，捆绑了好几个软件的进界面的广告，手机稍微晃动就跳转打开了
华为,2021-09-24,5,我对京东购物的软件非常满意。
华为,2021-09-23,2,上一个验证码功能多好，还要用电话号码，麻烦
华为,2021-09-23,1,举报处理方式极差
华为,2021-09-23,2,应用市场里面京东APP现有版本过低，在更新至10.1.6版本时，提示安装包和现在的系统不兼容，希望尽快加以优化。
华为,2021-09-23,3,为什么打开后要重新闪一下？
华为,2021-09-23,5,非常好用，可是京东自营仓库发货怎么越来越慢 ？@北京 京东世纪贸易有限公司 希望你们能改进一下京东自营仓库发货问题
华为,2021-09-23,1,以前没觉得这个应用有啥不好！今天才发现，居然还暗地自动消费，给我用白条开了年卡，说是点了试用会员 我都不记得自己用过，不知道咋就开会员了，莫名其妙白条还款，我真是无语！
