Src,Time,Rank,Val
华为,2021-09-27,5,很不错，经常在上面买东西，就是附近的超市，比较放心😊
华为,2021-09-27,5,种类丰富，送货快。
华为,2021-09-27,5,方便快捷，优惠多多
华为,2021-09-27,5,很方便，就是运费贵！🤭
华为,2021-09-26,5,叠加优惠券便宜不少。
华为,2021-09-25,5,很棒，优惠活动多
华为,2021-09-25,5,京东到家送货上门很方便，
华为,2021-09-24,5,很不错。优惠很大。
华为,2021-09-24,5,好评，货品放心，送货快。方便，快捷。
华为,2021-09-24,4,用户体验还行，希望越做越好！
华为,2021-09-22,5,好用，优惠力度大，方便
华为,2021-09-21,4,整体不错，方便实惠，就是提供满额免运费就完美了
华为,2021-09-21,5,越来越好，便宜实惠，送货特别快
华为,2021-09-20,1,一点都不满意，超市经常买不了东西
华为,2021-09-20,5,不错，经常有优惠券，比如超市还方便
华为,2021-09-20,5,真的太好用了，简直不要太方便，送东西也很快，而且态度也很好，每次购物都很愉快
华为,2021-09-20,5,太棒了非常好用，很方便
华为,2021-09-20,5,还用，好用，优惠
华为,2021-09-19,5,优惠力度大，还方便。希望里面卖的东西更齐全，越来越好！
华为,2021-09-19,5,可以，日常买菜买东西比快递便宜还快
华为,2021-09-19,5,可以啊，经常拿来撸羊毛，买东西便宜，质量又有保证。
华为,2021-09-19,5,非常好，速度快，优惠还多
华为,2021-09-19,5,药品很全 送货很快
华为,2021-09-19,5,京东到家非常便利的购物平台！
华为,2021-09-18,5,非常方便，货源丰富。快递小哥辛苦了。
华为,2021-09-17,5,实惠划算，非常方便啊，不用到超市大包小包了
华为,2021-09-17,5,挺好的，就是经常系统拥挤，希望改进
华为,2021-09-16,5,方便 每次不想出门买菜果断选择京东到家 每次买的商品都完好无损
华为,2021-09-16,5,挺好用的经常会有卷，很优惠
华为,2021-09-16,5,非常方便好用，送货很快
华为,2021-09-15,1,这款app看似聚合了很多商家，购买物品更丰富，很方便。实际是类似淘宝提供一个上架平台，但是不同淘宝或者京东本身，监管服务可以说是没有，我买的自提商品过时，直接就订单完成，提货码也给关了，钱退不了，并且无法联系商家，后续服务也是商家来决定，商家一个不确定有没有提到货物，直接驳回退款请求，难道我没去提供提货码就直接完成订单，这就很有问题么？难道我没核销提货码，京东到家和商家都不清楚么？并且线上价格上跟商家本地商品价格相差很多，甚至一些商品价格达到了商店价格的一倍。贵点我能理解，你直接一倍多有点过分了吧。
华为,2021-09-15,5,挺好的，很方便。页面简单点就好。
华为,2021-09-14,5,已经用了很多次了，还是不错的，可惜没有支付宝支付。
华为,2021-09-14,5,很满意，特别棒！
