Src,Time,Rank,Val
华为,2021-09-18,1,大字板的字为啥不大？？？
华为,2021-09-09,5,字并不大呀？那位高手教一下如何放大呀？
华为,2021-08-03,2,只有看广告，才有金币。看文章和视频，根本没有金币领取。
华为,2021-07-19,2,鸿蒙系统看文章／视频没有金币收益！
华为,2021-07-03,5,我下载这个版本是因为它比较简单化，没有那么多的广告，也没有那么多复杂的程序，爱了
华为,2021-07-03,5,我下载这个版本是因为它比较简单化，没有那么多的广告，也没有那么多复杂的程序，爱了
华为,2021-06-26,5,很实用，适合家中长辈使用。
华为,2021-06-26,5,很实用，适合家中长辈使用。
华为,2021-05-10,3,看视频怎么没有金币
华为,2021-05-10,3,看视频怎么没有金币
华为,2021-09-27,1,为啥子我登录了都不能评论？
华为,2021-09-27,1,"今日头条里面有个小说有些可以听，可是为什么听着听着就是听不起了。它都会现一个播放异常，请稍后重试。我看到这几个字就🤮。
希望你们把这个问题解决一下可以吗？不然今日头条对我们喜欢听小说的来说真的一点用都没有。
真的"
华为,2021-09-27,2,能开发个暗黑模式吗？
华为,2021-09-27,1,特别讨厌自动连续播放视频！！！
华为,2021-09-26,1,动不动就封号，一星都不想给！
华为,2021-09-26,1,不能按发布时间搜索排序文章 一点不人性化
华为,2021-09-26,1,没有适配深色模式，没有鸿蒙版本，差评差评。
华为,2021-09-26,1,开屏广告越来越烦人，以前是图片还好点，现在是视频广告了！
华为,2021-09-25,1,能不能不要自动连续播放视频！
华为,2021-09-25,2,直播关都关不掉，实在是太烦人了
华为,2021-09-25,1,这该死的自动播放就不能关闭吗
华为,2021-09-24,2,视频连续播放，能不能不读3秒！
华为,2021-09-24,4,呼唤与系统适配的暗黑模式
华为,2021-09-24,2,就不能给个黑暗模式吗？
华为,2021-09-24,1,"老师强制安装…
能发验证码却说系统维护中不能注册😓"
华为,2021-09-24,1,每次第一次搜索时卡死
华为,2021-09-24,5,非常好用的手机应用
华为,2021-09-23,5,"信息量大 且广告没有
棒棒的"
华为,2021-09-23,5,牛，内容积极向上，很好的新闻平台
华为,2021-09-23,5,有正事，信息及时权威。可以屏蔽虚假宣传。是我重要的信息来源。
华为,2021-09-23,5,接地气！我喜欢！我希望头条解除我的关注限制。谢谢了！
华为,2021-09-23,4,新闻质量有待提高，广告越来越多
华为,2021-09-23,4,更新之后手机屏幕跳屏……
华为,2021-09-23,5,现在什么东西直接在头条里搜，真的太方便了。比如想搜做一道菜，头条里能给出一堆堆的美食博主做法视频，而不是各种网页链接。我现在不管查什么都在头条里搜 ，别的网页APP全卸了。
华为,2021-09-22,1,视频结束换广告放。。。。。
华为,2021-09-21,1,改版以后以后可以看视频赚钱是好事，毕竟平时都看，但是看视频赚金币越来越少，差评
华为,2021-09-21,5,看视频屏幕反转不行了？？
华为,2021-09-21,1,我喜欢在头条上评论，得到点赞几千次，和许多关注，不知为何封了我的账号，投诉不顶用，登录不了。
华为,2021-09-20,1,mate30系列现在支持深色模式了吗？
华为,2021-09-20,4,赶紧适配鸿蒙为什么不添加深夜模式！添加以后就完美了，现在还不是我最喜欢的软件
华为,2021-09-20,3,没有全运会。没有全运会。没有全运会！连各省代表队参赛名单都没有。求更新。
华为,2021-09-20,1,评论区全水军，干脆改名BUG头条
华为,2021-09-19,2,越改越完蛋，没自己特色。用头条多年，左右滑动看小视频非改成上下滑动。看评论也没以前方便。老用户体验最重要，不是迎合市场。
华为,2021-09-19,2,"差评！

浏览过程中，
经常跳出推荐下载，如下载西瓜视频，如wF已连接，。。跳出的卡顿无法正常浏览正常的内容！
投诉反馈形同虚设。。。"
华为,2021-09-19,3,今天早上直接把放映厅给整没了，说是移到了视频那里，结果我翻了半天都没有找到
华为,2021-09-19,1,净化网络，关闭打赏功能，前几天你们还整嘉年华会呢，可真会玩
华为,2021-09-19,1,不知道怎么就自动下载安装了，最讨厌这种软件了。恶心，第二次了。怎么关闭他的权限啊，恶心死了
华为,2021-09-18,1,广告太多很卡，不真实，
华为,2021-09-18,1,广告太多 无聊的东西
华为,2021-09-18,5,真心不错的APP 丰富视野
华为,2021-09-18,1,请问头条为什么要强制录取音频和视频，这个功能为何关不了？
华为,2021-09-18,1,推送新闻太多，没用新闻太多占用手机
华为,2021-09-18,1,根本没办法评论 根本没办法注册账号 也不支持微信登录 要你何用？
华为,2021-09-18,1,老是推送广告。卡的不行。老是推送广告。卡的不行。
华为,2021-09-17,1,虚假内容满天飞，各种搬运内容，请问原创在哪里
华为,2021-09-17,1,怎么回到老版本？ 非要学抖音是吧，还自动播放？ 看头条主要是看评论了，这看着看着就自动播放了恶心
华为,2021-09-17,1,好多广告链接，一不小心就点进去了
华为,2021-09-17,2,啥时候上线鸿蒙版？
华为,2021-09-17,5,今日头条随意封禁用户账号 还不给解封
华为,2021-09-17,1,"看小视频的时候，以前是左右滑动，而且看评论的时候，也可以左右滑动，
现在改成上下滑动很不方便，能不能改回去啊？麻
烦你了，谢谢。"
华为,2021-09-17,1,零蛋差评！暗黑模式都没有！！！零蛋！
华为,2021-09-17,5,越来越差什么应用啊太差劲了有抄袭的内容啊为什么那么多重复的啊新版本花里胡哨了登录不进去良莠不齐
华为,2021-09-17,1,不好，全是假消息满天飞
华为,2021-09-16,1,新版无法关闭自动播放设置选项，每次点击关闭后退出都会自动恢复
华为,2021-09-16,1,老是偷偷后台自动启动，而且优化不掉，耗电快
华为,2021-09-16,3,点开视频看评论还会自动跳下一条视频
华为,2021-09-16,2,怎么更新下就总是闪退啊什么鬼
华为,2021-09-16,5,什么时间适配暗夜模式？！！！！
华为,2021-09-16,1,什么时候出鸿蒙版？
华为,2021-09-16,1,卡死，闪退什么情况？
华为,2021-09-16,4,看电视剧手机发热  头条软件是不是比较占内存
华为,2021-09-15,2,一天到晚动不动就更新还有那个抖音也是，这是好烦啊！
华为,2021-09-15,2,优化不考虑用户习惯，以前小视频左右滑动上滑看评论很方便，现在迎合抖音用户改成上下滑动切换视频，看评论还要点击评论区，做产品不是给用户下规定动作，而是要切合实际，满足大众！
华为,2021-09-15,5,啥时候 上线鸿蒙版
华为,2021-09-14,3,其他都挺满意的 就是看里面小视频的时候那个“不感兴趣”的按钮 希望点了不感兴趣当前视频就能马上消失 你这点过之后虽然提示以后会减少类似视频推荐但是当前视频还在 恶心还在 所以就不是很喜欢 一个视频不喜欢点了不感兴趣就是希望这个视频马上消失 而且以后尽量不想看到类似的
华为,2021-09-14,5,没什么可说的，是这几年我用的时间最长的软件
华为,2021-09-14,1,太差了，客服都是机器人！！！
华为,2021-09-14,5,信息量大，一个APP解决很多问题。希望优化用户分类收藏、分类关注，更方便用户操作和调用。谢谢！
华为,2021-09-14,4,总体不错，但虚假的内容、标题党也不少，良莠不齐，需要加强管理。
