Src,Time,Rank,Val
华为,2021-09-28,5,鸿蒙系统的优酷无法音频听电视，当手机息屏之后就听不了了
华为,2021-09-27,1,就最近这优酷怎么了，为什么打不开，
华为,2021-09-27,1,开了会员才发应，好的电视都看不了，白开了个会员，可笑
华为,2021-09-27,5,前三个月会员6元 还有优酷可以看别人上传的电影 这点很棒
华为,2021-09-26,1,不会正常更新，不会看日历，不会数数吗？？？
华为,2021-09-26,3,什么鬼啊？怎么换不了绑定号码？
华为,2021-09-26,1,我看完广告就给我卡退了，，，无语
华为,2021-09-26,2,呵呵，充钱了还有一堆广告，动不动就跳转到其它页面，我也是醉了
华为,2021-09-25,3,怎么升级后打不开呢？
华为,2021-09-25,1,自动续费什么鬼？一星都不想给 这不就是抢钱吗？建议大家不要下载我被扣了八十几元😪
华为,2021-09-25,2,软件太卡了，使用其他软件都没事
华为,2021-09-25,1,没有把影视剧单独抽出创建在桌面上的功能，是怕耽误做广告吗？
华为,2021-09-25,2,广告一堆.画面也不好看
华为,2021-09-24,1,看个视频一卡一卡的   画质调到最低   还一直加载   观看五分钟  加载半小时
华为,2021-09-24,1,没下载还给我自动续费
华为,2021-09-22,3,手机版有鸿蒙服务，这怎么没有啊！
华为,2021-09-22,3,讨厌优酷的10秒钟，自己想快进麻烦的很
华为,2021-09-22,1,老是闪退！！！！
华为,2021-09-22,3,太卡了吧……我手机和网络都没问题，其他软件不会卡唯独这个卡得半死，对于我这种性格真的会气死
华为,2021-09-21,1,为什么不修复下卡顿的问题，这么多年了啊！
华为,2021-09-21,1,欺骗消费者，买的会员，说好的啥时候更新，总是放鸽子。期间有人投诉，更新时间改了也还是不遵守，就算作品再好也会被这优酷拉低档次。
华为,2021-09-21,1,好多版权老是被别人抢，看到一半突然没版权了，你是没钱了吗？那我充会员有何用？
华为,2021-09-21,1,卡的要命  是怎么老搞笑的吗 破软件
华为,2021-09-21,1,什么软件！广告一大堆。
华为,2021-09-20,1,优酷会员自动续费就是抢钱，大家不要下，建议哔哩哔哩
华为,2021-09-20,1,根本播放不了，电影电视剧哪个都播放不了，也是醉了，一直在加载，用腾讯视频秒开，这个死活打不开视频，等会员到期再也不续费优酷会员了
华为,2021-09-20,2,用流量观看切换视频清晰度会卡死，好久没遇到这种情况了！！！体验不佳
华为,2021-09-20,2,用流量观看切换视频清晰度会卡死，好久没遇到这种情况了！！！体验不佳
华为,2021-09-20,1,给我无语住了，看完广告直接就给我退出去
华为,2021-09-20,1,每次打开都有一个节目，不听都不行
华为,2021-09-19,1,真逗越更新广告越多，现在连观看记录面叶都要在顶部放个广告
华为,2021-09-19,1,挺无语的会员也看广告，弹幕设置了屏蔽词下次再看直接没有一堆刷没有用的，无语死了，别问我为什么不关闭弹幕，我就是想看别的想法，而且就刷别人的名字，屏蔽还给我关闭了无语死了删了
华为,2021-09-19,1,千万别开自动续费会员服务不然像我一样，最好别下载这个软件，一点也不好，我现在后怕，这个软件，你一旦开启自动续费会员，他就可以随便的把你手机里的钱弄走，千万不要下载这个软件，千万不要，千万不要😱，太恐怖了
华为,2021-09-19,5,优酷挺好的，不过当初下载就是为了岭，岭没了优酷也没啥用了
华为,2021-09-19,1,VIP他给我吞了
华为,2021-09-18,1,最近总是闪退什么鬼？搞得最近都不想看优酷的剧，好烦耶
华为,2021-09-18,1,这都更新个什么鬼？登录都点不了
华为,2021-09-18,1,我六月份申请了一次会员，为了防止续费专门去取消了自动续费，七月八月都没事，九月今天凌晨突然扣我的费用，说我开通了自动续费，这不是抢钱是什么，这真的就是抢钱啊救命，自从我换了新手机，我连优酷都没打开过，我续什么费？太恶心了真的，还不可以退钱，真的太恶心了，这种事真的不能告上法庭吗，而且要真的续费了，我中间怎么空了两个月？真的太恶心了简直了，我把这个VIP的号送朋友了，以后永远都不会再用优酷，抢劫犯。
华为,2021-09-17,3,刚安装完，发现占用空间3.13G，这是想干嘛？其他同类app最多2G
华为,2021-09-17,2,为啥不能登录无语住了
华为,2021-09-17,2,断网看缓存的视频有音画不同步的现象，出现这种现象退出app还容易卡顿
华为,2021-09-17,5,为什么看过的电视剧再次打开会从前面几集开始播放，应该是继续接着播放才对呀，这几次更新都没有解决此问题
华为,2021-09-17,1,真的一分不想给！！看一分多钟的广告，还推荐什么叭叭叭一堆，我刚登录啥也没干，你给我弄个高清，息屏、广告多，手机都卡顿死了。。。
华为,2021-09-17,1,请你把吞掉我的会员的劵还给我，大可爱软件
华为,2021-09-17,3,电视有vip却卡得很，还不如投屏
华为,2021-09-17,1,为何全屏这方面不能调合理一些
华为,2021-09-17,1,想看电视电影你没有 不想看的你全有 一搜索就在别的平台 一点开 又叫开会员  是不是要所有的平台都开会员了 才是真会员 变着法的割散户呢
华为,2021-09-17,1,不开会员，有三个广告，而且广告还自己循环不播正片，体验感极差
华为,2021-09-16,5,為什麽我的優酷看不了？
华为,2021-09-16,2,优酷广告真的久 真的多 真的服了
华为,2021-09-16,2,更新了居然不能登录账号，第一次遇到这种事情，点击登录没有一点反应，能不能走点心
华为,2021-09-15,1,大部分影视都没有，画质还低，续费按月一次续三个月，真会。。。祝愿早点凉
华为,2021-09-15,1,不会再充优酷会员了，被阿里并购后，就成为广告酷了。vip会员依旧要看推荐剧集，下面会不断跳出推荐你办全年vip。首页广告一大堆，只要退出就有，一天不限次数。
华为,2021-09-15,1,登不上，充会员都充不了，一颗星我都不想给。🌚
华为,2021-09-15,1,不能转码，你变了
华为,2021-09-15,1,经常卡，开会员就是为了没广告，开了会员还有最少五秒的广告，那最少五秒的广告还不能关闭，强制性观看。
华为,2021-09-15,1,为什么无法登录啊
华为,2021-09-15,1,一起看功能呢？！？？？
华为,2021-09-15,1,登录不了是什么鬼？？？？？？？？？？？。
华为,2021-09-15,1,看个欧冠卡死了 这能力浪费版权
华为,2021-09-15,1,体育栏目太差了，信号源极其不稳定，视频卡顿，甚至还有倒放！！！！
华为,2021-09-14,5,什么时候出一起看功能？
华为,2021-09-14,2,为什么拉进度条上面的画面跟不上？？
华为,2021-09-14,1,为什么我的手机登录总闪退，试了很长时间都登录不上，谁能给我个解释？而且我还有会员，客服出来管管，气死我了！😡😡
华为,2021-09-14,1,那广告看了一半就不走了。还很卡。差评
华为,2021-09-14,2,为什么老是访问被拒绝？？？？？？
华为,2021-09-14,1,根本不让登录，就算充会员，你倒是让我登上去才能充啊
华为,2021-09-14,1,就很离谱，我登陆不了，登不了账号，好无语啊
华为,2021-09-14,1,会员在视频中插广告，弹幕不能默认关，真有你的倒闭算了
华为,2021-09-14,1,看个视频缺斤少两，很多动漫缺集，而且充钱不能去广告，nice看来优酷将要去找虾米了
华为,2021-09-14,2,怎么不能挺剧了呢
华为,2021-09-13,1,广告重复从二十多秒跳到四十多秒，换集也换不了，用过最差的app，没有之一。
华为,2021-09-13,1,广告多就不说了，广告还中途停顿，卡广告！！！！！！！
华为,2021-09-12,1,为什么登陆不了会员
华为,2021-09-12,1,为什么广告卡在那里不动了？
华为,2021-09-12,1,加载半天无反应！越来越差！
华为,2021-09-12,1,广告太多太长了，不管看什么视频都是先看90秒广告才能看，一个视频看了十秒钟，你换个视频看又要看60秒或者90秒钟，太坑了
华为,2021-09-12,1,买电视VIP送的手机VIP，电视VIP取消了，手机送的VIP还自动续费，而且通都没有通知用户……真的很无语，不是看消费记录都发现不了
华为,2021-09-12,5,希望出一个一起看功能
