Src,Time,Rank,Val
华为,2021-09-27,3,不知道你们的评分标准是什么🙃
华为,2021-09-27,5,为什么我唱完歌想点击一下智能vⅠp的来听一下效果！才发现没了这页面！如何找回？
华为,2021-09-26,2,发现录视频没有美颜了，不好，😬😬😬😬
华为,2021-09-26,1,为什么蓝牙耳机不让唱歌啊！录了一首，效果挺好的，然后就不能唱了什么情况啊！！
华为,2021-09-26,2,反馈的问题就没有给过回应。人工客服雇不起吗？反馈根本就没有用。也没有人工客服。很多问题完全无法得到解决。根本没有回馈给我们如何解决。就一句“提的意见会很快处理”，我真的无语了
华为,2021-09-25,2,最近，不管是录歌还是开歌房，总会莫名其妙卡出来，本来唱好的歌，还没保存直接一个白屏卡出去，白干🙂
华为,2021-09-24,1,为啥禁止通知了，它还显示红点😡😡😡
华为,2021-09-23,3,为什么第一句总是录不上？
华为,2021-09-23,3,让我填喜欢的歌手不让我打字，让我一批批找
华为,2021-09-23,5,能不能别他么放京东广告了，难道我不会自己去买嘛
华为,2021-09-23,5,把没收到的那个提示图片换一下可以吗？
华为,2021-09-22,5,为什么升级后合唱总是唱的A，没有S。
华为,2021-09-21,1,为什么很多歌曲录完后自己的人声小到听不见
华为,2021-09-21,5,"很好，觉得可以欣赏别人的作品，我感觉非常满意，可以评价自己，看自己与别人的
差别，然后再提升，我非常满意﻿(≧∇≦)/"
华为,2021-09-21,1,真太差了现在，什么歌也没有。。。
华为,2021-09-20,5,就是出现两个选择器，讨厌
华为,2021-09-20,2,平分标准实在是一言难尽，多次拿原唱和自己唱的录音做对比，没有什么太大的差别，但是那里显示的就是唱不准。我把音高调到了他们认为的标准，反而觉得特别跑调，不知道有没有人跟我想的一样
华为,2021-09-20,5,emmm…用了一年了，觉得还可以吧，就是这修音感觉没什么变化啊。
华为,2021-09-19,3,心动对唱怎么伴奏的歌曲这么少    希望可以多些伴奏音乐
华为,2021-09-19,4,"下了很多次了，都没点进去，还说要修复，修复完了还是那个样子，以前不是这样的啊…



------------
之前软件出问题也没有提示为什么，不过今天突然又可以用了。"
华为,2021-09-18,1,内存太大了，净整些花里胡哨的，一点也不实用。要不是之前录过太多歌，早就换个APP了。
华为,2021-09-18,1,搞不懂歌房那里为什么一直有个红点，刷新几遍都有，其他的也是花里胡哨的，简直服了
华为,2021-09-18,5,为你点赞！真的是一首比一首精彩！望继续努力加油！
华为,2021-09-17,1,咋那么秀呢？我唱好几遍声音都一毛一样的，修的跟原唱一样，最后都变原唱了还唱个啥?
华为,2021-09-17,2,这几天都闪退，难了
华为,2021-09-16,3,今天打开就闪退，有bug么？麻烦修理下吧。
华为,2021-09-16,5,缺少一键修音功能，希望能改进
华为,2021-09-16,3,"已经无法打开了，一直闪退！
无语了！"
华为,2021-09-16,3,为什么一打开就闪退？
华为,2021-09-16,2,开始还行，现在要什么录音
华为,2021-09-16,1,为什么更新完了，打开总是闪退，根本登录不了
华为,2021-09-16,1,闪退了还，越来越不行了
华为,2021-09-15,1,为什么一打开全民K歌就出现那个推荐页面，还有返回的时候也是不喜欢
华为,2021-09-15,1,今天为什么总闪退？
华为,2021-09-15,2,功能是越来越臃肿体验是越来越差，能不能别搞花里胡哨的用点心搞好软件
华为,2021-09-15,1,为什么换了荣耀之后就没有耳返控制台了呢，为什么之前用华为就有
华为,2021-09-14,3,录视频的那些东西全没了！！！！！！！！！气死了！！！！！
华为,2021-09-14,1,告诉我为什么mate30打开会闪退？
华为,2021-09-13,3,哪里可以关原音？
华为,2021-09-13,2,这个评分...真的标准吗....
华为,2021-09-13,1,更新完录歌一堆杂音
华为,2021-09-12,1,希望广告少一点，每次都会不小心点到，烦死了
华为,2021-09-12,1,返听根本听不到，而且就算开最大也和没有开一样，录歌中的音效也用不了
华为,2021-09-12,3,嗯？我为什么突然出现闪退的情况
华为,2021-09-12,1,为什么全民K歌下载上打不开进不去。
华为,2021-09-11,1,使用感太差，那个评分根本就离谱，唱跑调的都能加分，本人调没跑都唱不到白条上，还扣分，就算全唱到白条上也不加分，服
华为,2021-09-11,3,打不开，修复也没用，重下也没用
华为,2021-09-11,1,开屏广告越来越恶心了
华为,2021-09-11,1,下了很多次了，都没点进去，还说要修复，修复完了还是那个样子，以前不是这样的啊…
华为,2021-09-10,2,"人不唱都会涨分数，鬼在唱？
以前没有QQ可以直接会账号密码登，现在还必需有QQ才可以登，体谅下内存不够的人吗？！"
华为,2021-09-10,2,不如以前的好用，很多功能都没有了。
华为,2021-09-09,1,这个软件真的不行，唱个歌还要充会员，不然不让发歌.
