Src,Time,Rank,Val
华为,2021-09-28,1,不知道怎么形容，体验感极差
华为,2021-09-27,2,不兼容，无法进行指纹识别
华为,2021-09-27,1,笑死，根本登录不上去，又不停给我发信息说为了确保银行卡能继续使用需要我下载app验证身份，这闹哪样？耍猴呢这是
华为,2021-09-27,1,短信提醒我登录掌上银行核对个人信息，登上去告诉我要去柜台处理，搁着刷APP下载量呢？
华为,2021-09-27,1,一直登录一直激活，死活登录不上
华为,2021-09-27,1,一直激活一直登录不上，真的太浪费时间了
华为,2021-09-27,1,纪念币莫名其妙延期
华为,2021-09-27,1,给我说照片超出范围？一直都在那个范围好吧！！！无语了，明明不需要到线下网点操作的事非得去线下网点不可了是不？
华为,2021-09-26,1,广告真的很让人满意呢～
华为,2021-09-26,1,超级差评，登录不进去
华为,2021-09-26,1,说是短信激活，发三遍短信了还登不上去，咋滴，发短信不要钱啊，搁着靠这冲业绩呢啊
华为,2021-09-26,3,啥时候出个专门针对鸿蒙的版本啊？安卓的占用空间太大了
华为,2021-09-26,1,为什么小豆一直点不了？签不了到
华为,2021-09-26,1,APP卡顿，无法登录
华为,2021-09-25,1,9月十几号后就用不了了，之前一直在用。点登录就是空白，随便点哪里都是空白，什么原因  有人遇到吗  跪求告知
华为,2021-09-25,1,差评，一直登录一直激活，就是登不上
华为,2021-09-25,1,升级鸿蒙就登不上了，晕
华为,2021-09-25,1,一直闪退一直闪退真的无语一直都不修复，其他掌上银行都不会闪退，真的无语，太差了太差了一星评价太高了，真不配
华为,2021-09-25,1,能打开，但是无法登录
华为,2021-09-24,1,一直激活一直登不上
华为,2021-09-24,1,一点登录就卡，广告打得开，就是登录不上去，不弄点有用的
华为,2021-09-24,1,登不进去。一直要发信息激活。。。
华为,2021-09-23,1,同样银行卡网络软件，你这个软件差的连一颗星我都不想给。
华为,2021-09-23,2,收到短信说我近一月没登录了，为免影响帐户使用要求月底前登录。想问下，这是营销短信骗用户活跃用APP，还是我要是不登录就真的影响帐户使用？？？！
华为,2021-09-23,1,闪退，为什么?出来解释一下
华为,2021-09-23,1,啥玩意儿，经常登录不上去，版本一更新就登录不上，里面应用也难找，食堂什么一直在用，版本一更新又进不去，饭卡钱白充了
华为,2021-09-22,1,为何一直闪退能不能修复一下，修不了就下架，别浪费大家手机的内存
华为,2021-09-22,1,6.6.1新版本，闪退！
华为,2021-09-22,2,一直闪退，能处理下吗
华为,2021-09-20,1,真次，老是卡，学校充饭卡都充不了
华为,2021-09-20,1,为什么打不开了！都还没打开就退了
华为,2021-09-20,3,闪退啊啊啊啊啊啊啊
华为,2021-09-20,1,激活快十次了，还登录不了。一颗星都不给
华为,2021-09-19,5,为什么转账不到微信？？？
华为,2021-09-19,1,今天新更新的，一直闪退，后台清理了也是这样真是气死了。无语子。
华为,2021-09-19,5,用不了的都去银行激活就好
华为,2021-09-19,1,登录不上，更新了也登不上，重装还是登录不上，就不能稍微维护一下吗？！？
华为,2021-09-19,3,为什么登录不进去？
华为,2021-09-18,1,登入不上，一直就是白板，这让人怎么看
华为,2021-09-18,1,无语，登一次说密码🔒了找回。你还找不回，找多了直接给你锁了。这还登什么？无语
华为,2021-09-18,1,一直登录不进去，打客服也没人接，线上客服也没人会，搞什么烦死了。
华为,2021-09-18,1,一直让激活，一直激活成功，一直登录不了。
华为,2021-09-17,1,两个手机登录这个APP的手机号在新手机不想在新手机上下载这个APP一直识别SIM卡
华为,2021-09-17,1,体验感极差，老是登录不了
华为,2021-09-17,1,闪退怎么用😅😅😅
华为,2021-09-17,1,山东的需要回发卡行补，要不APP都不让登录！
华为,2021-09-17,1,一点也不好用，总是闪退，这么小的一个软件弄成这样！
华为,2021-09-17,1,超级麻烦，也不好用
华为,2021-09-17,1,登不进去，打开直接闪退
华为,2021-09-17,1,一直闪退进不去 啥子意思嘛！😤😤
华为,2021-09-16,1,APP老是卡，也不弄好一点
华为,2021-09-16,1,支付的问题就不能优化一下吗？
华为,2021-09-16,1,明明在银行注册卡的时候就是用的这个手机号  现在想改密码都不让改了  都登不进去了
华为,2021-09-16,1,更新完就登不上了一直需要激活，激活五六次了还是登不上
华为,2021-09-15,3,前几天一直显示我密码错误，后来我重新激活了，可是这几天就不知道为什么一直登录不进去
华为,2021-09-15,1,一直没有办法使用，也不说优化优化
华为,2021-09-15,1,一直提示要激活，激活后还是登录不上
华为,2021-09-15,1,为什么登陆不上去，马上都锁定了
华为,2021-09-15,1,农业银行没啥用，登录等不上，钱放里面想转也不好转
华为,2021-09-15,3,就是一退出到桌面的时候再重新进去，就要重新登录
华为,2021-09-15,1,一直闪退，怎么回事！！！
华为,2021-09-15,1,没法e支付，一直说要发消息去开通，短信显示？开通了，但是还是不能用，学费都没法交
华为,2021-09-15,1,我也是打开了好久，连登录的界面都进不去，简直是一片空白，无语了。
