Src,Time,Rank,Val
华为,2021-09-22,1,不能登录，显示注册用户过多
华为,2021-09-22,1,打开一次就有语音，恶心
华为,2021-09-20,5,请问客服，新版本老是显示消息小红点数字怎么回事？消息清空了还下不去，是不是BUG？
华为,2021-08-14,5,完了，新版本打不开了
华为,2021-08-13,2,没看到可以用医保卡的页面，而且药品不全
华为,2021-08-11,1,配送时间太随意了，承诺28分钟，都快两个小时了，也没有来。
华为,2021-06-27,1,根本就打不开，一直停留在封面
华为,2021-06-21,1,设备注册用户过多？
华为,2021-06-21,1,设备注册用户过多？
华为,2021-06-21,1,设备注册用户过多？
华为,2021-06-15,1,一直登录不了，说是设备注册用户过多，不能登录也不能注册，这个手机我只用过一个号码
华为,2021-06-15,1,一直登录不了，说是设备注册用户过多，不能登录也不能注册，这个手机我只用过一个号码
华为,2021-04-15,5,叮当快药很人性化，分类很细，药品很全，在上面买药很方便，值得推荐
华为,2021-04-15,5,叮当快药很人性化，分类很细，药品很全，在上面买药很方便，值得推荐
华为,2021-04-04,5,每天看看叮当快药里的头条号，学习一些专业知识，提前做了预防，给力
华为,2021-04-04,5,每天看看叮当快药里的头条号，学习一些专业知识，提前做了预防，给力
华为,2021-04-03,5,路上买药下单，比我到家都快，快递送药小哥一直耐心等着我，感谢
华为,2021-04-03,5,特别好的网上药店，买药方便，医生专业，不像某些产品还收钱
华为,2021-04-03,5,特别好的网上药店，买药方便，医生专业，不像某些产品还收钱
华为,2021-04-02,5,春天犯了鼻炎，免费咨询医师推荐了过敏药，及时用药带上口罩现在好多了
华为,2021-03-31,5,每月28号会员日，买药还能打折，还可参加换购活动，实惠给力
华为,2021-03-31,5,手机买药就上叮当快药，这话没毛病，送药特快，感谢
华为,2021-03-31,5,上班没时间去看病，了解病情直接下单送到公司，方便！~
华为,2021-03-26,5,328大促太超值了，口罩太便宜了，买了很多囤着，配送特别快，特别省心
华为,2021-03-26,5,非常好用的买药软件，送货很快，比去药店买还便宜。
华为,2021-03-26,5,非常好用的买药软件，送货很快，比去药店买还便宜。
华为,2021-03-24,5,这个平台真的特别好，一直在叮当买，既便宜又方便，今天买还有328活动，满68减28，还能一元抢购口罩啥的，真的是太实惠了。
华为,2021-03-24,5,这个平台真的特别好，一直在叮当买，既便宜又方便，今天买还有328活动，满68减28，还能一元抢购口罩啥的，真的是太实惠了。
华为,2021-03-22,1,第一次下载，不能注册，不能注册就下架！
华为,2021-03-22,1,第一次下载，不能注册，不能注册就下架！
华为,2021-03-20,5,良心app，真心为患者着想
