Src,Time,Rank,Val
华为,2021-09-26,1,笑死我了，根本打不开
华为,2021-09-26,1,笑死，安卓版的没有补录，好不容易觉得唱好了，有些瑕疵的地方想补录一下都不行，全毁了
华为,2021-09-21,4,"为什么我唱歌的时候，唱的好听就不给我分，唱的不好听却给我分，这什么意思？
我觉得整体来说都可以。"
华为,2021-09-19,1,手机购买了电视登录却说不是会员，没有客服电话，微信客服没有人工（机器人说回复人工即是客服，回复后毛都没一个）全是机器人说话，根本解决不了问题，微信支付的有退款选项，但是也要扯几天，支付宝支付后，支付宝让你找厂家，找厂家电话又要开始扯了。
华为,2021-09-13,3,不能后台播放，一点别的就听不了了，很不方便
华为,2021-09-12,1,为什么不能登录，这个有问题
华为,2021-09-11,1,天哪 我真无语 我wx才30多自动续费我不知道直接扣了我15块钱关键这会员我还用不着 得 本来是想捐款的 我这都没钱了还是算了 我去找客服说看看能不能退人家说退不了 刚开始是1块钱开通会员我就弄了 结果这自动续费没人跟我说还得我自己取消 无语死了 也不是为了这15 就是觉得太不值了。真的是
华为,2021-09-10,1,下载了两次 始终登陆不了 说我网络有问题
华为,2021-09-04,1,抢歌，就算别人乱唱系统能给通过我好好唱第二都一样，因为那首歌我听过哎系统就不给过无语
华为,2021-08-27,1,我真谢谢您这款APP了，我已经登录了，还不能进去！不仅进不去还占内存！！！还以为有多好，就这啊！！只能是差评(*｀Ω´*)v
华为,2021-08-23,1,一个音乐app不能后台播放，可以不用做了
华为,2021-08-12,1,不知道重新下载多少次了，一直登录不上去？？别的软件最基本的你都做不到。。我还一度以为自己手机的问题，换手机登录，还是没用，连个验证码都收不到😬问了官方微博，也没有给我实际解决方法，你这软件还干不干了？
华为,2021-08-08,1,太糟心了唉，下载十几次来回删，就是登录不上，啥权限都开了，流量也有，就是显示网络问题
华为,2021-08-08,1,抢歌环节怎么唱都抢不上，重新登录也抢不上，朋友跑调也能抢得上，我不跑调也抢不上，不知道你们在搞什么鬼😊
华为,2021-08-06,1,好家伙登录都登录不了还是不行 你们登录是要钱嘛。？。。
华为,2021-08-02,4,为什么以前存的歌曲都没了头像也没了
华为,2021-08-01,1,为什么登录不上去啊，都重新下载好几遍了
华为,2021-08-01,1,为什么登录不上去啊，都重新下载好几遍了
华为,2021-08-01,1,太烂了，动不动就卡，看不见歌词，听不见伴奏
华为,2021-08-01,5,更新的这个版本自带的修音效果太牛了，声音细节处理的非常好，降噪非常强大，忍不住来评论了。开发太牛了，成品率都提升了。爱了👍
华为,2021-07-31,1,严重差评，点进去正在点击K歌里面搜索歌曲自己就退出来了，差评差评差评，重要的事情说三遍
华为,2021-07-30,5,"第一颗星:可以和其他小伙伴在社交方面有提升。
第二颗星:可以选择听或唱自己喜欢的歌。
第三颗星:有实时强麦和合唱，提升情商
第四颗星:会推荐最近较火的歌，跟上潮流
第五颗星:每首歌都有唱的最好的人，可以学习
PS:在玩实时抢麦的时候，第一首歌字幕可能会闪退或者出现不了，这是小问题，希望官方可以解决。"
华为,2021-07-28,1,重新下载登录不上怎么回事
华为,2021-07-28,2,打不开，怎么回事，无法登陆
华为,2021-07-28,1,没有耳返，重新下载就打不开了，赶紧处理一下吧
华为,2021-07-28,1,我就想问问你们官方 没事下架我的伴奏干什么
华为,2021-07-28,2,我的打不开是怎么回事。麻烦给我处理
华为,2021-07-28,5,可以休闲时间用来娱乐
华为,2021-07-27,5,想要的歌都有，也不卡，也不怎么占内存
华为,2021-07-27,1,为什么登录不了？？拜拜了您嘞，什么权限都开了，但就是登录不了，说网络连接有问题，那其它软件都可以啊，唉算了不下载了
华为,2021-07-24,4,抢唱又更新没了？咋回事
华为,2021-07-12,1,听他们说是用来传音乐的🤣
华为,2021-07-08,5,这个效果真的很好，里面的各种，修音
华为,2021-07-08,3,弹唱功能没有了么？
华为,2021-07-05,1,唱歌还要打开各种权限 不然用不了  这不是套信息吗？
华为,2021-07-04,4,体验还不错，就是想唱的歌没有，那个智能修音修的调都跑了，其他的都还可以
华为,2021-07-03,1,刚下载上就直接登不进去，显示网络请检查网络连接状态，我抖音能涮、这个APP都下载下来了，权限也开通的了，为什么就是登录不进去了为什么😣
华为,2021-07-02,1,太差劲了，没声音
华为,2021-07-02,2,这次表现不错，内存比上次占的稍微少了一点，这次多给你们一颗星。
华为,2021-07-02,5,太好用了，我每次唱歌都用它
华为,2021-06-22,3,为什么不管选什么歌都是 暂不支持智能混音，这个功能是个摆设吗？！
华为,2021-06-22,3,为什么不管选什么歌都是 暂不支持智能混音，这个功能是个摆设吗？！
华为,2021-06-22,1,为什么随便封别人账号?小白账号啥也没干过，简直莫名其妙。提交申诉承诺48小时处理。半个月了也没人回复！真的是互联网产品吗?
华为,2021-06-22,1,为什么随便封别人账号?小白账号啥也没干过，简直莫名其妙。提交申诉承诺48小时处理。半个月了也没人回复！真的是互联网产品吗?
华为,2021-06-20,1,为什么更新后在文件管理里面找不到录音文件了？
华为,2021-06-20,1,为什么更新后在文件管理里面找不到录音文件了？
华为,2021-06-19,2,越更新，录歌音质越差希望改进下
华为,2021-06-19,2,越更新，录歌音质越差希望改进下
华为,2021-06-17,1,连登录都登不上去😂
华为,2021-06-17,1,连登录都登不上去😂
华为,2021-06-14,1,唱吧挺好，有人工修音服务，最便宜99一首，会给你展示修音品，效果挺好的，然后59元试修，效果也挺好的，后面99付钱后修的。。。。反正同一首歌59第一次好，但是我只唱了两句，所以又付款99修整首，挺差，还不让退款，又花了99修，，最后不过是浪费了两百多块钱，反正不好也不退，我们顾客就是爱咋地咋地，钱都在人家包里了！
华为,2021-06-14,1,唱吧挺好，有人工修音服务，最便宜99一首，会给你展示修音品，效果挺好的，然后59元试修，效果也挺好的，后面99付钱后修的。。。。反正同一首歌59第一次好，但是我只唱了两句，所以又付款99修整首，挺差，还不让退款，又花了99修，，最后不过是浪费了两百多块钱，反正不好也不退，我们顾客就是爱咋地咋地，钱都在人家包里了！
华为,2021-06-11,2,"更新1,62版本后为什不能查看消息了"
华为,2021-06-11,2,"更新1,62版本后为什不能查看消息了"
华为,2021-06-10,2,怎么手机链接不上？
华为,2021-06-10,2,怎么手机链接不上？
华为,2021-06-09,3,我想取消自动续费找不到入口无从下手，真是莫名其妙的被扣费，只是这点十分不满意
华为,2021-06-09,3,我想取消自动续费找不到入口无从下手，真是莫名其妙的被扣费，只是这点十分不满意
华为,2021-06-08,2,对华为的适配性太差了，唱了两三首歌，人声跟伴奏完全对不齐并且调不好。
华为,2021-06-08,2,对华为的适配性太差了，唱了两三首歌，人声跟伴奏完全对不齐并且调不好。
华为,2021-06-02,3,有网络，连接的也不错，但不为什么唱吧外面发来的消息，评论区不能显示。
华为,2021-06-02,3,有网络，连接的也不错，但不为什么唱吧外面发来的消息，评论区不能显示。
华为,2021-06-01,1,为什么还不改正，求求你换以前的版本可以吗，人声永远飘飘忽忽的，ktv压根就唱不成，换个耳机录也是一样，伴奏调一半都还听不到人声，嘴巴怼着麦唱都特喵感觉你隔了一米唱的，更新的什么鬼，越更新越差劲，您可别更新了行吗！！！
华为,2021-06-01,1,为什么还不改正，求求你换以前的版本可以吗，人声永远飘飘忽忽的，ktv压根就唱不成，换个耳机录也是一样，伴奏调一半都还听不到人声，嘴巴怼着麦唱都特喵感觉你隔了一米唱的，更新的什么鬼，越更新越差劲，您可别更新了行吗！！！
华为,2021-05-28,3,为什么你这更新之后录音人声就特别小，我试了半天，跟我耳机手机没关系，同样的设备跟音量，我之前录的就是正常，更新后人声就变小了，我伴奏只开了三分之二都不行，必须要放大至少一半音量才能听清人声
华为,2021-05-28,3,为什么你这更新之后录音人声就特别小，我试了半天，跟我耳机手机没关系，同样的设备跟音量，我之前录的就是正常，更新后人声就变小了，我伴奏只开了三分之二都不行，必须要放大至少一半音量才能听清人声
华为,2021-05-24,2,咋回事 不能后台打开了！！
华为,2021-05-24,2,咋回事 不能后台打开了！！
华为,2021-05-20,1,天天连不上网络，维护一下运行可好？
华为,2021-05-20,1,天天连不上网络，维护一下运行可好？
华为,2021-05-19,1,怎么注销账号这么难？
华为,2021-05-19,1,怎么注销账号这么难？
华为,2021-05-14,1,网络连接失败？？？
华为,2021-05-14,1,网络连接失败？？？
华为,2021-05-07,1,啥玩意儿，登录不了了，流量wifi都不行，还怎么玩？
华为,2021-05-07,1,啥玩意儿，登录不了了，流量wifi都不行，还怎么玩？
华为,2021-05-05,2,用了四五年，一步步走向衰败，音质没有之前的好不说，现在录歌，完成后基本的伴奏都合不上，不要说是唱功问题，小姐姐学过音乐   ，
华为,2021-05-05,2,用了四五年，一步步走向衰败，音质没有之前的好不说，现在录歌，完成后基本的伴奏都合不上，不要说是唱功问题，小姐姐学过音乐   ，
华为,2021-05-03,1,华为配唱吧官方麦克风，噩梦，双重耳返，让你不相信自己的耳朵
华为,2021-05-03,1,华为配唱吧官方麦克风，噩梦，双重耳返，让你不相信自己的耳朵
华为,2021-05-03,1,没有耳返了，停止续费！
华为,2021-04-28,1,从刚开始玩这个到现在已经6 7年了吧 好久没玩了 今天登上打算玩一玩唱一唱 然后？？？人声和伴奏永远不在一个调上？？？永远慢半拍？？逗呢？？唯一觉得唱歌好的一个软件 现在根本玩不了。。。。？华为不配吗？？？
华为,2021-04-28,1,从刚开始玩这个到现在已经6 7年了吧 好久没玩了 今天登上打算玩一玩唱一唱 然后？？？人声和伴奏永远不在一个调上？？？永远慢半拍？？逗呢？？唯一觉得唱歌好的一个软件 现在根本玩不了。。。。？华为不配吗？？？
华为,2021-04-27,1,下载后还不能登录的，总说我网络连接失败？？？
华为,2021-04-27,1,下载后还不能登录的，总说我网络连接失败？？？
华为,2021-04-26,2,我也觉得更新了好难用，求变回旧版。。。！！！唯一觉得好用的唱歌软件，现在居然也变了，哎！
华为,2021-04-26,2,我也觉得更新了好难用，求变回旧版。。。！！！唯一觉得好用的唱歌软件，现在居然也变了，哎！
华为,2021-04-26,3,更新了以后跟全民K歌差不多了，好难用！
华为,2021-04-26,3,更新了以后跟全民K歌差不多了，好难用！
华为,2021-04-21,3,最近唱吧是怎么了？我以前上传的歌曲都是公开上传的，但是最近打开全部都加锁了，我又把它解开之后再重新进入还是加锁了，无论如何就是解不开？？如何向唱吧客服反应啊？
华为,2021-04-21,4,感觉挺好玩的，自娱自乐，爽
华为,2021-04-21,3,版本10.5.6耳返开关去哪儿呀？有专人人事解答一下吗？
华为,2021-04-15,2,这个软件是变成了苹果专用软件吗？玩唱吧几年了，现在用华为录歌简直没法录，人声和伴奏什么时候能没有时滞？苹果和华为录的歌也差太多了吧，不要求太多能不能把华为的录歌时滞解决下？真是越用体验感越差。
华为,2021-04-15,2,更新后音效反而变差了，没有混响，也不扩音了
华为,2021-04-12,3,不推荐升级，旧版本唱吧比较好
华为,2021-04-12,1,登录都登录不上，还怎么玩？下载了很多次了  显示网络失败？
华为,2021-04-12,1,下载下来为什么连接不到网络。
华为,2021-04-10,3,今天升级后怎么录歌一会有声音一会没声音
华为,2021-04-10,2,漏洞太大，录好的录音刚开始播放时还好好的，直接划到中间后怎么也无法播放了
华为,2021-04-08,1,没法玩了录出来声音小的可怜
华为,2021-04-05,3,新版本唱的时候监听混响怎么调  只能无混响吗
华为,2021-04-04,1,为什么现在发布作品都发布不了了，试了好几遍都不行，烦死了😔
华为,2021-04-03,1,一颗星都不想给，正常下载没法登录使用app，看评论区已经有朋友提出来，作为一个应用软件下载了却不能使用这是常态？
华为,2021-04-01,1,记不清是一几年玩的唱吧了，一直玩了好些年，也是第一个唱歌软件，上段时间带着情怀回来看看，发现这个软件变成了苹果专用的软件。。。。。。。
华为,2021-04-01,1,这个版本真的太不好了啊啊啊
华为,2021-03-29,2,新版的唱起来太累了，不好，改回去吧
华为,2021-03-28,1,这个软件被苹果买了吗？体验天差地别。
华为,2021-03-27,1,升级之后 调节悬浮窗没了 唱歌效果简直惨不忍睹
华为,2021-03-27,2,试听的时候好好的，一保存声音就忽大忽小！以前不会，自从更新了唱吧，都没办法唱了！晕死！
华为,2021-03-25,1,为什么现在录好后声音变得低不可闻？录的时候耳返里明明很大声的，搞么子？还有，明明我把伴奏调的几乎到最低，人声调到几乎满了，为什么录好后伴奏还是大的要命？人声都听不到。。
华为,2021-03-25,1,现在唱吧变成苹果专用了吗？录歌保存前保存后都不是一个效果，调整好保存完节奏都不对了，声音一会左耳一会右耳绕的人脑袋疼，变回旧版吧，太闹心了
华为,2021-03-25,1,最新版本怎么回事，流行、R＆B混响有时候有些歌曲只要保存，就会变成双耳分开的混响效果。能不能恢复之前的情况。
华为,2021-03-24,4,希望有在线客服，找不到耳返键怎么调音？
华为,2021-03-24,3,更新后大不如从前，没有智能伴唱功能了，话筒输出和伴奏速度不一致😭，怀念旧版
华为,2021-03-23,4,抢唱最近不知道是怎么回事，一唱准失败，虽然说没有经常玩抢唱，但陆陆续续也抢了2000多次，一共失败了十次，从年前开始就不对劲了，只要一玩抢唱，唱完铁定是失败，这个真的不是我水平问题啊
华为,2021-03-23,1,唱吧对华为也太不友好了！
华为,2021-03-23,2,能不能把歌曲版权方面多下些功夫，合唱里面想唱歌来回就那几首
华为,2021-03-23,3,唱吧是为数不多越改越难用的app，以前的唱吧界面好用多了
华为,2021-03-23,5,请问如何升降调？
华为,2021-03-21,1,新用户不能注销吗？老是提示什么背包东西，优惠券的，我能有什么东西
华为,2021-03-20,3,新版本怎么不能领唱可
华为,2021-03-20,1,更新不能后台播放了
华为,2021-03-15,3,最新版什么情况？真难用
华为,2021-03-15,1,你说气人不气人，不管怎么安装，就是无法打开，卸载了重新安装也不行！！！！
华为,2021-03-14,1,刚录完一首歌提示充会员，冲完会员录的都没了。
华为,2021-03-14,5,"爱死小唱了，快出来接受，小心心
mua~"
华为,2021-03-12,1,为什么现在一切换界面就暂停，锁屏也暂停，我服了，是要我盯着屏幕听歌吗？？？
华为,2021-03-12,1,苹果才能一键修音，安卓手机就不可以，华为手机加原装耳机 就显示不支持 ，咋的跟苹果签合同了啊
华为,2021-03-11,5,功能很强大，太惊喜了，免费的都做的这么好，如果付费修音，那更棒了！赞👍，厉害了，程序员！
华为,2021-03-10,1,最新版的app华为用户体验很差，抢唱没有耳返了，不知道唱得怎么样。
华为,2021-03-10,1,我的用WLAN为啥登陆不上，还有什么CD卡才能使用
华为,2021-03-10,1,三四年前一直用的是贴吧，那个时候的贴吧很单纯，什么都没有，没有什么视频，大家都是唱着自己喜欢的歌，现在功能越来越多，眼睛越来越花，还有很多歌没有伴奏都不全，你基础都没有打好，就想着搞着业务拓展，真的，你迟早要凉凉。好走。不送。
华为,2021-03-05,3,为什么登录不了呢，啥情况啊？麻烦官方看到回个信息！
华为,2021-03-04,2,新疆能不能用了？
华为,2021-03-04,2,只能说你们是苹果的亲戚，华为用户不是受限制就是功能不齐全。最开始玩的时候都不受影响，反而越更新体验就越差，我是华为的用户，不可能因为你一个软件就换手机。你能体会麦上唱歌突然就没耳返那种感觉吗，还有唱着唱着人声突然消失只剩伴奏……一直在等更新后的修复，这一次的更新似乎来的太晚了。最开始的体验总是不错的，但是包房这块的体验反而没那么好了。
华为,2021-03-03,1,唱吧创作者计划是怎么回事?永远没有播放量记录，咋的这软件里没有真实用户了?听歌记录都是软件自己随机加上的???评论也都是机器人???希望解释清楚。搞这么个计划又不好好维护相关功能，还自己搞僵尸号骗用户玩，有意思么？越做越差越来越没意思了
华为,2021-03-03,5,讲真的，又是一个被腾讯搞死的软件
华为,2021-03-03,1,真的被气到了，好不容易录了一次满意的，唱了一个多小时，结果，在保存的时候卡了，没了😭😭😭一个多小时气死了
华为,2021-02-28,5,我很喜欢这个唱歌软件，每天到点吼两嗓子很开心，很释放！程序员同志太优秀了！感谢😊爱你们哦
华为,2021-02-27,1,耳返开关哪里去了？
华为,2021-02-24,1,太差了，无法注销账号
华为,2021-02-24,1,申请很多权限，不给就根本登不进去。
华为,2021-02-24,2,为什么登录不进去呢
华为,2021-02-24,5,人间烟火气，最抚凡人心
华为,2021-02-24,5,人间烟火气，最抚凡人心
华为,2021-02-23,1,耳返没声音，怎么回事？
华为,2021-02-21,1,都不能登录气死我了
华为,2021-02-21,2,真的无语(//∇//)，好不容易唱完了改个封面还卡顿，能不能做个“软件”啊，让我上传成功吧，就会卡机然后歌也保存失败，全部白唱，无语了这个功能请修复一下吧，真是的。
华为,2021-02-16,5,玩箫平时用唱吧录伴奏，感觉挺好用
华为,2021-02-14,1,安卓手机为何不能片段补录？为何上传时不能显示击败了百分之多少的人？另外，为何不能显示微信使用该软件的人？
华为,2021-02-13,1,申请很多权限，不给就根本登不进去。
华为,2021-02-12,5,为什么安装不起啦？
华为,2021-02-11,4,"我就莫名其妙被房主踢过一次,那个房主素质也不怎么好,别人没唱完就让他下了，各种骂,准备到我了我还没唱就被踢了？?？当然这是人的行为我就不怪软件,但是希望有改进谢谢"
华为,2021-02-10,1,为什么登录不了？？拜拜了您嘞
华为,2021-02-07,2,说一下抢唱功能吧，匹配能有好多好多人机，不知道是不是这个软件没人玩，只有你一个人在唱独角戏，很无语，就算有人，他们一进房间就退出了，没有一点体验感。而且抢唱的歌曲从来没有更新过！来来去去那几首歌曲！整体感觉不好
华为,2021-02-07,1,我为啥连登都登不进去，各种登录途径都不行
华为,2021-02-07,2,耳返功能总是突然没有，重新下载才有，不知道怎么回事？
华为,2021-02-07,4,非常好用，不过要是能把充值这个方面去掉的话就更完美了。
华为,2021-02-07,4,"我华为P40
耳麦设置那个浮窗不见了，弄了几次有开又关都不行。没有耳返了！"
华为,2021-02-06,5,这些人对我特别好
华为,2021-02-06,1,好友在哪？反人类的设置，总是在加载中，几年不见唱吧沦落成这样了吗
华为,2021-02-06,4,目前还可以，唱歌社区，练歌好地方
华为,2021-02-05,4,送礼物时怎么没反应？
华为,2021-02-04,5,很不错，还能把作品保存到相册
华为,2021-02-02,3,感觉玩法变少了，之前还有那个弹唱的，现在一更新就没有了，好像越来越无聊了
华为,2021-02-01,1,手机号被别人绑定了 登进去是别人的账号 我居然还不能注销？重新开个号绑定下手机号还提醒我说手机号已被绑定？既然这样，那我不玩了
华为,2021-02-01,5,就是不知道耳返在哪能打开？
华为,2021-01-31,1,抢麦在哪？怎么都找不着昨天还找得到，今天一下就没了，注销了
华为,2021-01-31,1,破软件还屏蔽乌鲁木齐用户 你这是要搞地域歧视吗？！
华为,2021-01-30,1,我想知道为什么更新了几个版本抢唱功能一直没有耳返？华为p40pro
华为,2021-01-28,5,挺好的，希望自己唱歌越来越好（好歹让自己多一门才艺），哈哈。
华为,2021-01-28,5,很好啊，玩玩挺好的！
