Src,Time,Rank,Val
华为,2021-09-17,1,每次开药信息是一致的7月份还可以开，九月就不行，每次都通不过，说什么信息不全，信息都是一致的怎么不全了，难到非要病人再去你们平台挂个医生号，差评
华为,2021-08-08,1,点进去想预约手外伤，一个医生都没有，说什么没有找到合适的，烦，一颗星都不想给
华为,2021-07-11,4,对于了解学习医学知识很有帮助。
华为,2021-07-10,2,升级鸿蒙之后不能用了
华为,2021-07-10,3,为什么升级之后打不开了呢？华为的手机
华为,2021-07-06,5,这个软件刚开始用，非常不错，但更新了在微信上看不到医生的回复内容是什么，希望软件官方这边可以改回来。
华为,2021-06-25,3,升级鸿蒙系统后该应用打不开了
华为,2021-06-25,3,升级鸿蒙系统后该应用打不开了
华为,2021-02-16,1,给医生发信息，过了很久才回，而且医生根本就没有发信息的时候，这个软件还一直不停的给我发短信，说什么有一条新信息让我去查看。，我点进去查看根本就没给我发
华为,2021-02-16,1,给医生发信息，过了很久才回，而且医生根本就没有发信息的时候，这个软件还一直不停的给我发短信，说什么有一条新信息让我去查看。，我点进去查看根本就没给我发
华为,2021-02-16,4,其实挺不错的  至少很多在线问诊案例能让其他病患可以参考
华为,2021-02-16,4,其实挺不错的  至少很多在线问诊案例能让其他病患可以参考
华为,2021-02-16,4,其实挺不错的  至少很多在线问诊案例能让其他病患可以参考
华为,2021-02-16,4,其实挺不错的  至少很多在线问诊案例能让其他病患可以参考
华为,2021-02-14,3,还行吧，有点帮助，但是好贵啊九块钱一次，裂开
华为,2021-02-14,3,还行吧，有点帮助，但是好贵啊九块钱一次，裂开
华为,2021-02-08,1,，，，义诊从一个月十五次变成五次。。。。想多问几遍问题都不行。。。
华为,2021-02-08,1,，，，义诊从一个月十五次变成五次。。。。想多问几遍问题都不行。。。
华为,2021-02-07,1,回复太慢了，推荐的也不理！！
华为,2021-02-07,1,回复太慢了，推荐的也不理！！
华为,2021-02-01,1,抢了单不回复，可真会呀
华为,2021-02-01,1,抢了单不回复，可真会呀
华为,2021-01-21,5,必须好评啊！！之前我哥过敏性皮肤病，知道林麟医师医术高，所以需要预约林医生，就是找不到渠道，预约不上，真是急坏人了，眼看这皮肤越来月严重。后来就在好大夫上，一下就预约上了。林医生还在线耐心回答我们的问题，都那么晚了，还认真地交代给我们注意事项，安排我哥的就医流程。太感谢好大夫在线了，给我们真是带来太多便利了，都说看病难，用好大夫问诊，确实不那么麻烦了，很容易预约到名医问诊啊。
华为,2021-01-21,5,必须好评啊！！之前我哥过敏性皮肤病，知道林麟医师医术高，所以需要预约林医生，就是找不到渠道，预约不上，真是急坏人了，眼看这皮肤越来月严重。后来就在好大夫上，一下就预约上了。林医生还在线耐心回答我们的问题，都那么晚了，还认真地交代给我们注意事项，安排我哥的就医流程。太感谢好大夫在线了，给我们真是带来太多便利了，都说看病难，用好大夫问诊，确实不那么麻烦了，很容易预约到名医问诊啊。
华为,2021-01-13,3,平台没有进步，无视客户的建议，已经在尝试其他平台
华为,2021-01-13,3,平台没有进步，无视客户的建议，已经在尝试其他平台
华为,2021-01-01,3,这里面找医生纯属看运气，有的医生，回你消息，就一个字，两个字，有的医生挺好的，就跟去医院看病一样，碰到的医生都不一样。
华为,2021-01-01,3,这里面找医生纯属看运气，有的医生，回你消息，就一个字，两个字，有的医生挺好的，就跟去医院看病一样，碰到的医生都不一样。
华为,2020-12-30,1,老是通不过验证，提示胸牌上没有医生“姓名”
华为,2020-12-30,1,老是通不过验证，提示胸牌上没有医生“姓名”
华为,2020-12-27,1,都是骗子，花了钱问的尽是废话，什么尽快来医院看一下，我要去医院了，有你们什么事，退款还退不了还不能给差评
华为,2020-12-27,1,都是骗子，花了钱问的尽是废话，什么尽快来医院看一下，我要去医院了，有你们什么事，退款还退不了还不能给差评
华为,2020-12-19,1,注册后使用者无法删除自已的患者信息   叫什么事 太差了联系了客服 也不给删  极差 信息泄露  太差 千万别用
华为,2020-12-19,1,注册后使用者无法删除自已的患者信息   叫什么事 太差了联系了客服 也不给删  极差 信息泄露  太差 千万别用
华为,2020-11-28,4,这个怎么结束啊，就是我已经问完医生问题了，可是，怎么结束问诊啊？
华为,2020-11-28,4,这个怎么结束啊，就是我已经问完医生问题了，可是，怎么结束问诊啊？
华为,2020-11-26,1,和微医差远了，约号总是提示外地，微医无障碍预约
华为,2020-11-26,1,和微医差远了，约号总是提示外地，微医无障碍预约
华为,2020-11-15,1,这个是骗子软件！预约的上海专家！是一个北京的固定号码打来的！
华为,2020-11-15,1,这个是骗子软件！预约的上海专家！是一个北京的固定号码打来的！
华为,2020-10-31,5,崔主任在电话的讲解得很全面，耐心细致，我心里有底多了。要不是疫情的原因，真想去北京找崔主任看病。
华为,2020-10-31,5,非常感谢张硕医生，回答耐心细致，解决了我们的疑虑，让患者放心有思路，感恩感谢！医生身体健康，工作顺利！
