Src,Time,Rank,Val
华为,2021-09-24,1,预约点进去不是第一时间进入界面，而是什么自诊自查界面卡人，等弄完点进去已经没号了，就不能智能一点吗，比如先预约再自诊自查，或者点进去正在处理自诊自查的人先保留一个名额？
华为,2021-09-02,1,实名认证的时候提示影像文件过大，根本过不去。就正常拍照片都不行，你们这app有进行过功能测试吗？
华为,2021-08-01,1,根本登录不了，总是显示已在其他设备登录！！！更改密码，重设账号都没用
华为,2021-07-29,1,刚注册的时候可以用，现在不充值就显示系统升级，你干脆显示不是会员无此服务，我还高看你一点，正是的，你要钱什明说呗，暗戳戳的
华为,2021-07-27,1,为什么总提示我有其他设备登录，导致我自己不能使用。
华为,2021-07-27,1,我登录一直显示有人在别的设备登录了，换了密码重新卸载下载还是这样。我想请问一下是我的问题还是微医的问题
华为,2021-07-20,3,上海市精神卫生中心现在怎么不能预约了？
华为,2021-06-24,2,为何软件无法预约啊？老是说系统升级
华为,2021-06-24,2,为何软件无法预约啊？老是说系统升级
华为,2021-03-24,1,烂软件，一直报错，根本预约不了，害得我断药
华为,2021-03-24,1,烂软件，一直报错，根本预约不了，害得我断药
华为,2021-03-13,1,挂上号的医生，在医院公众号里根本没有，我们外地的想去省会看下医生，本来就不容易，以为挂上号了，去医院根本没有查到这个医生，折腾人事小，万一是严重疾病。耽误人命事大
华为,2021-03-13,1,挂上号的医生，在医院公众号里根本没有，我们外地的想去省会看下医生，本来就不容易，以为挂上号了，去医院根本没有查到这个医生，折腾人事小，万一是严重疾病。耽误人命事大
华为,2021-03-13,1,挂上号的医生，在医院公众号里根本没有，我们外地的想去省会看下医生，本来就不容易，以为挂上号了，去医院根本没有查到这个医生，折腾人事小，万一是严重疾病。耽误人命事大
华为,2021-02-24,1,"慎用！慎用！慎用！
花钱问了上面的专家，结果连上传的病历和报告都没看，胡乱解答，怀疑专家都是假的，人家整体忙着坐诊，哪有时间给你线上答疑，能是助手替代就不错了。
后来在上面找了一个评价很高的专家，什么也不解释，直接上最贵的治疗，后来去了另一家专科医院，人家说这些治疗根本没意义！我跑去给差评，结果这个APP直接屏蔽了，原来哪些好评都是过滤后刷的，真黑啊。
这个APP跟医院医生狼狈为奸，组合比百度+莆田系还狠，看到的人小心吧。"
华为,2021-02-24,1,"慎用！慎用！慎用！
花钱问了上面的专家，结果连上传的病历和报告都没看，胡乱解答，怀疑专家都是假的，人家整体忙着坐诊，哪有时间给你线上答疑，能是助手替代就不错了。
后来在上面找了一个评价很高的专家，什么也不解释，直接上最贵的治疗，后来去了另一家专科医院，人家说这些治疗根本没意义！我跑去给差评，结果这个APP直接屏蔽了，原来哪些好评都是过滤后刷的，真黑啊。
这个APP跟医院医生狼狈为奸，组合比百度+莆田系还狠，看到的人小心吧。"
华为,2021-02-02,1,看到我评论的人千万不要再相信这个软件了！尤其是里面的图文问诊、和电话问诊，他们都是安排的骗子冒充你要治病的专家给你诊治开药，本人亲身经历！
华为,2021-02-02,1,看到我评论的人千万不要再相信这个软件了！尤其是里面的图文问诊、和电话问诊，他们都是安排的骗子冒充你要治病的专家给你诊治开药，本人亲身经历！
华为,2021-01-23,1,打开直接闪退，根本没法用了！
华为,2021-01-23,1,打开直接闪退，根本没法用了！
华为,2021-01-23,1,打开直接闪退，根本没法用了！
华为,2021-01-19,1,根本点不了预约挂号 一点就叫你完善身份证信息 填好后提交一直出现“用户证件已存在”
华为,2021-01-19,1,根本点不了预约挂号 一点就叫你完善身份证信息 填好后提交一直出现“用户证件已存在”
华为,2021-01-13,1,太差了，预约挂号总提示密码错误，重置了也还是错误，是不让人挂号吧
华为,2021-01-13,1,太差了，预约挂号总提示密码错误，重置了也还是错误，是不让人挂号吧
华为,2021-01-08,4,医院介绍太长了，能简单点么？还有，最重要的是医院和科室开放时间，这个很重要啊
华为,2021-01-08,4,医院介绍太长了，能简单点么？还有，最重要的是医院和科室开放时间，这个很重要啊
华为,2021-01-03,1,瑞金医院无法在线挂号
华为,2021-01-03,1,瑞金医院无法在线挂号
华为,2021-01-02,1,不是根据预约时间就诊的，这个预约就是摆设，和普通去医院拿号是一样的，还不如早点去医院拿号！
华为,2021-01-02,1,不是根据预约时间就诊的，这个预约就是摆设，和普通去医院拿号是一样的，还不如早点去医院拿号！
华为,2020-12-24,5,微医这两天打不开，请问什么原因？
华为,2020-12-24,5,微医这两天打不开，请问什么原因？
华为,2020-12-14,1,乱七八糟的页面，体验太差
华为,2020-12-08,5,没有给我提示，预约开始信息啊！不会是骗人的吧！
华为,2020-12-08,5,没有给我提示，预约开始信息啊！不会是骗人的吧！
华为,2020-11-27,1,连个医院都找不到，应该是没给你钱吧！
华为,2020-11-27,1,连个医院都找不到，应该是没给你钱吧！
华为,2020-11-13,1,"我通过微医平台向复旦大学附属华山医院皮肤科杜娟问诊，费用100元。按规定的时间是24小时内医生和病人可无限次交流。可是这位医生接诊后仅问了用药剂量后就消失了，我回复多次，直至24小时问诊结束医生没有再出现。与微医客服交涉，不断说医生忙，可以赠送病人追问包。一天后医生抛了一个语音单向追问包，就结束了。我根本没有说话的机会和权力。这个问诊完全是玩弄消费者。

医生百忙之中没空可以不要接诊，接诊后让问诊病员坐冷板凳，苦苦等待。问诊结束后没有任何解释和道歉，又抛了一个单向的追问包完成任务。为人之道欠缺不说，医者的职业道德何在？医者的仁心何在？空有虚名的光鲜介绍掩饰不了她的品行。

微医这种平台服务收费100元，不清楚与医生如何分成。不但不实行监管，却联合医生一起欺骗消费者来获取利益。更恶劣的是，事后微医竟然把我依据事实给医生的评价删除了。希望大家睁大眼睛不要上当受骗！"
华为,2020-11-13,1,"我通过微医平台向复旦大学附属华山医院皮肤科杜娟问诊，费用100元。按规定的时间是24小时内医生和病人可无限次交流。可是这位医生接诊后仅问了用药剂量后就消失了，我回复多次，直至24小时问诊结束医生没有再出现。与微医客服交涉，不断说医生忙，可以赠送病人追问包。一天后医生抛了一个语音单向追问包，就结束了。我根本没有说话的机会和权力。这个问诊完全是玩弄消费者。

医生百忙之中没空可以不要接诊，接诊后让问诊病员坐冷板凳，苦苦等待。问诊结束后没有任何解释和道歉，又抛了一个单向的追问包完成任务。为人之道欠缺不说，医者的职业道德何在？医者的仁心何在？空有虚名的光鲜介绍掩饰不了她的品行。

微医这种平台服务收费100元，不清楚与医生如何分成。不但不实行监管，却联合医生一起欺骗消费者来获取利益。更恶劣的是，事后微医竟然把我依据事实给医生的评价删除了。希望大家睁大眼睛不要上当受骗！"
华为,2020-11-06,2,为什么短信验证码迟迟发不过来，发过来的输入后又显示无效
华为,2020-11-06,2,为什么短信验证码迟迟发不过来，发过来的输入后又显示无效
华为,2020-11-05,1,医院很少 要找到医院找不到，
华为,2020-11-05,1,医院很少 要找到医院找不到，
华为,2020-11-03,5,用了一段时间，挂号呀，问诊呀，开药什么的都很方便。唯一不好的地方就是有时候医生接诊有点慢。不过也能理解了，毕竟医生都在上班。
华为,2020-11-03,5,用了一段时间，挂号呀，问诊呀，开药什么的都很方便。唯一不好的地方就是有时候医生接诊有点慢。不过也能理解了，毕竟医生都在上班。
华为,2020-10-30,5,值得拥有，很难得能碰到这么好这么厉害的医生，是天使，真的很幸运遇见胡医生，我的病基本好了呀，稳定多了，换了好多医生花费多，在他这里花钱最少反而好了，鞠躬感谢支持，张主任工作非常敬业，视病人如亲人啊，住到心外二科，在可怕的心脏病，张主任都能为病人想办法解决病痛，尽最大扱限的救冶病人，让病人恢复健康，我们除了感动，还是感动真有福气遇到了吕医生，每次回复特别及时，而且最主要的是专业，解释的特耐心，吃了药
华为,2020-10-30,5,值得拥有，很难得能碰到这么好这么厉害的医生，是天使，真的很幸运遇见胡医生，我的病基本好了呀，稳定多了，换了好多医生花费多，在他这里花钱最少反而好了，鞠躬感谢支持，张主任工作非常敬业，视病人如亲人啊，住到心外二科，在可怕的心脏病，张主任都能为病人想办法解决病痛，尽最大扱限的救冶病人，让病人恢复健康，我们除了感动，还是感动真有福气遇到了吕医生，每次回复特别及时，而且最主要的是专业，解释的特耐心，吃了药
华为,2020-10-27,5,体验学到了很多知识的
华为,2020-10-27,5,信用就是性命的
华为,2020-10-27,5,微医这个软件很有着很多经验丰富的医生，给我们很大的帮助的，谢谢您们，医生，不错咧！
华为,2020-10-27,5,方便又好用呢哦
华为,2020-10-27,5,信息及时啊，不错咧！
华为,2020-10-27,5,完美，做得很仔细呀，我真的会信的科普，页面也舒畅，请保持
华为,2020-10-27,5,眼部问题呢，医生给罗列长文回复，可现认真负责的态度
华为,2020-10-27,5,一些小问题或者对自己检查过的病症存疑哦，可以直接咨询其他医生，真不错。
华为,2020-10-27,5,我对这个新冠肺炎的患者量非常感兴趣，好奇，我觉得这能帮助我解决这个好奇心呀，谢谢
华为,2020-10-27,5,实用，专业，权威呀
华为,2020-10-27,5,很棒的服务的，给力。
华为,2020-10-27,5,很喜欢微医，有问题，解答方便快捷，详细，可以解除很多疑虑的，给出正确建议，良心推荐。
华为,2020-10-27,5,很赞，用的话不可以，解决了很多事，希望将来更好呢
华为,2020-10-27,5,谢谢吧，真不错！
华为,2020-10-27,5,自从2017年以来，一直在这里咨询黄教授，他非常认真仔细耐心，是一个非常好的年轻专家，高医德硬专业，谢谢啊，使用体验很好。
华为,2020-10-27,5,王医生很有责任感，由于我刚好陪我母亲在医院比较忙，没有及时回复，还专门给我回了电话，给了非常好的建议，谢谢王医生哦
华为,2020-10-27,5,有趣的，有料，推荐。
华为,2020-10-27,5,体验这个app对我这种不想去医院的人来说简直就是福音，而且里面有超多科普文章，简直不要太棒辣呀
华为,2020-10-27,5,非常改善了就医难的问题啊，好用！
华为,2020-10-27,5,朱主任很有亲和力呢，病情诊断很专业，真心实意为患者着想，完美。
华为,2020-10-27,5,五星推荐，人类的救星的
华为,2020-10-27,5,用着目前用这还良心，别变啊
华为,2020-10-27,5,很赞，谢谢陈医生对我的耐心解答，让我对自己的疾病有了新的希望吧
华为,2020-10-27,5,实用，good吧
华为,2020-10-27,5,推荐，我一直都在麻烦程瑶博士，不管是白天或者是晚上，只要我的病发了我都会不顾时间给他打电话吧，每次他的态度非常也很耐心，在此感谢程博士，感谢重庆医科大学培养的人才，那么在这里给程博士点赞，谢谢
华为,2020-10-27,5,值得拥有，很难得能碰到这么好这么厉害的医生，是天使，真的很幸运遇见胡医生，我的病基本好了呀，稳定多了，换了好多医生花费多，在他这里花钱最少反而好了，鞠躬感谢
华为,2020-10-27,5,支持，张主任工作非常敬业，视病人如亲人，住到心外二科，在可怕的心脏病，张主任都能为病人想办法解决病痛，尽最大扱限的救冶病人，让病人恢复健康，我们除了感动，还是感动哦
华为,2020-10-27,5,里面的资源很优质哦，真不错！
华为,2020-10-26,5,非常赵主任是一位有医德的好医生呢，对患者认真负责，也很有耐心
华为,2020-10-26,5,胡教授确实医朮高明服务周到百问百答，真是一位难取的好医生哦，谢谢希望能为更多的病患者服务，支持！
华为,2020-10-26,5,服务热情周到仔细呢，使用体验很好！
华为,2020-10-26,5,赵大夫对患者很负责任，问诊很耐心，细致，用药准，医术高明，医德高尚，是一位难得的微医哦，完美。
华为,2020-10-26,5,使用体验很常用app呀
华为,2020-10-26,5,希望可以预约医生啊
华为,2020-10-26,5,很赞，呀
华为,2020-10-26,5,解决很多问题呀，在线问诊和科普都很出色
