Src,Time,Rank,Val
华为,2021-09-27,1,说好的大多都是饦儿$ 1、升级后过去存几十万火苗一切为零不显示，造成无法提现；2、抢福袋条件先给主播扣除钻，扣除钻就立刻闪退出去；3、抢福袋运气好的话得几个钻，还不够抢福袋条件给主播提升亲密度扣除钻；4、抢福袋运气好的话得几个钻，还不够抢福袋条件助力主播心愿扣除钻；5、过去没升级前，按火苗任务提示看广告视频，有时不加火苗提升值；6、係統设置大量抢红包机器人，红包快开前几十秒，大量机器人涌入抢红包，正常人反而不好抢，说白了只要是老玩家都知道；7、係統经常提示升级，升级后有很多入坑问题；这里发不了图，平时有大量截图和屏录证明。以上说的是否正确，热烈欢迎大家多多测试和验证。
华为,2021-09-27,5,还不错，至上比抖音版好多了。新手发视频就用抖音火山版。
华为,2021-09-26,5,很早以前就知道火山app的大名，那时候就看到有人在里面做直播，也不懂，现在才知道抖音火山版是字节跳动旗下的一款不仅可以娱乐，更重要的可以赚到钱的，不要错过啰！没用过的，你就下载试试，赚钱扛扛的！
华为,2021-09-25,1,不满意动不动就永久封号
华为,2021-09-25,1,我的私信莫名其妙就被封了，是永封
华为,2021-09-23,1,说好的大多都是饦儿$1、升级后过去存几十万火苗一切为零不显示；2、抢福袋前刚给注剥刷完钻，就立刻闪退出去；3、抢福袋运气好的话得几个钻，还不够抢福袋条件给注剥提升亲密度；4、抢福袋运气好的话得几个钻，还不够抢福袋条件助力主播心愿；5、过去没升级前，按火苗任务提示看广告视频，有时不加火苗提升数值；6、係統经常提示升级，升级后有很多入坑问题；这里发不了图，平时有大量截图和屏录证明。以上说的是否正确，热烈欢迎大家多多测试和验证。
华为,2021-09-23,1,太卡了，不正能量，直播演剧本，
华为,2021-09-22,2,要输入验证码，都不知道
华为,2021-09-22,5,推荐视频不是很好
华为,2021-09-22,5,抖音火山版真能转钱吗
华为,2021-09-21,5,挺好的，也不卡顿广告也特别少。
华为,2021-09-20,5,这个软件非常好，一点都不卡。
华为,2021-09-19,1,极差，除了广告还有别的东西吗！竟是一些收费链接！
华为,2021-09-18,1,太差了，网卡一点，他能给我卡退出
华为,2021-09-18,1,由于我的抖币是打赏主播的，主播被封禁拿不到钱，由于你们平台事先没告诉我主播被封收不到我的礼物，所有我充值的抖币要求你们退回。因为那不是给你们平台的。你们没有告知我我送的礼物主播收不到。
华为,2021-09-18,1,网购太多。看不了直播
华为,2021-09-18,1,老卡，老要重进才能看
华为,2021-09-17,1,诱导消费，平台卡顿
华为,2021-09-17,1,差评，卡顿严重，广告太多。
华为,2021-09-17,4,抖音火山版确实不错，很喜欢，就是金币太少了。。
华为,2021-09-17,1,老是刷道PK剧本，建议取消PK，打赏
华为,2021-09-17,1,抖音消费不给发票，欺诈消费者吗？
华为,2021-09-15,5,抖音火山版不错，我们家都喜欢😊，就是发钱有点慢，看抖音火山版半年多了，一分钱没有领到。
华为,2021-09-14,1,太没有人性化，不点击安装就不能切换其他页面。
华为,2021-09-13,5,好用，和抖音短视频一样，但是赚钱
华为,2021-09-13,5,非常的好啊！只不过开头广告有点多。
华为,2021-09-11,5,希望能多一些短剧
华为,2021-09-11,1,我的这个抖音火山版不在屏幕上，每次打开的时候都要，用应用超市打开
华为,2021-09-11,2,的确很好看，但是不知道为什么我的相机中总是跑出火山里的图片几百个， 而且都相同
华为,2021-09-10,1,为啥我登录不了？？？
华为,2021-09-10,5,他是个交流社区，可以看别人的视视频，太棒了。
华为,2021-09-10,5,有抖音也有火山🔥，各种新鲜事物，人物，让我们一起看看吧，刷刷刷😍😍😍
华为,2021-09-10,2,还不错，就是千篇一律，有点浪费时间
华为,2021-09-10,5,超级喜欢玩抖音火山版了可是不上热门了
华为,2021-09-10,4,希望广告不要太多，是一款真正的听歌软件而不是广告软件，
华为,2021-09-09,5,抖音火山版，特别好用还能赚钱真好
华为,2021-09-09,5,视频精彩好看 还能边看边赚零花钱 不错
华为,2021-09-09,5,不错的APP，精彩节目
华为,2021-09-08,1,就很无语，有的作有播放量，有的就一个都没有，我他么就很困惑
华为,2021-09-07,5,这个我原来下了一次，结果呢，被我哥删了，我又下了，她特别好，只不过最后更新更新的有点像抖音了，所以我希望可以改一下改船，像原来一样的
华为,2021-09-07,5,移动话费不能充直，一直出现充值失败。
