Src,Time,Rank,Val
华为,2021-09-28,1,越更新越差，广告越来越多。要不有这小说不会有这个app.
华为,2021-09-27,1,本来就有广告了，腾讯收购之后到处都是腾讯的广告，看个小说翻下一章都不行，要退了重新进，腾讯真的吃相难看。
华为,2021-09-27,1,广告越来越多 从14年就拿这个看小说 真不知道以后换什么软件看
华为,2021-09-26,2,"以前我非常喜欢这个APP，看小说也免费，广告也少且可以接受；但是更新完之后基本上两章小说后就回有一个关于QQ浏览器的超大广告，差评！差评！
不要更新！不要更新！不要更新！！！"
华为,2021-09-26,3,为什么不更新一下图片。
华为,2021-09-26,1,应用会在后台持续消耗流量发送广告
华为,2021-09-25,5,很多功能还是很好的
华为,2021-09-23,5,搜索快，查找东西全。
华为,2021-09-22,5,小说无广告还免费
华为,2021-09-22,1,这广告弹幕的很恼火了🔥。没有之前的那么好用了，你们完全不用顾大众客户体验和反馈，只要有利益什么事都能做，这是非常不好的，完完全全的差评。见意各位用户不要下载了，这广告太烦了。我是要卸载了。
华为,2021-09-22,5,搜小说的时候会乱码，还有的转不出来
华为,2021-09-22,5,我觉得这是看小说最全的一个免费软件了，虽然其他软件也免费，但是其他软件的资源没有这个多，而且这个广告很少，只要找到了阅读模式就很方便，非常好的一个软件，推荐大家使用呀。
华为,2021-09-21,4,就是还是以前版本换搜豆好
华为,2021-09-21,1,书看不成，啥也看不成，一堆乱七八糟的书
华为,2021-09-20,5,会得到很多有用但是不与其他搜索应用重复的内容，真的很棒！
华为,2021-09-20,5,会得到很多有用但是不与其他搜索应用重复的内容，真的很棒！
华为,2021-09-20,5,很棒，小说里没有广告了，就是小说内容有时会乱码
华为,2021-09-20,5,好软件可以搜索到免费小说。
华为,2021-09-20,5,嗯一直在使用，有时候会有乱码或者重复的章节！总体来说好评
华为,2021-09-20,5,从有搜豆的时候，我就开始看这个小说了！你当时真的是非常的快乐，现在当然也还在继续更新，但是搜到积分没有了，我对那些翻牌子，感觉有些不适应。搜狗搜索的其他功能也都非常的不错(≧∇≦*)
华为,2021-09-20,5,旧版本怎么没办法时长换搜豆，积分换搜豆了
华为,2021-09-20,2,现在看小说的时候就经常跳出来广告，真烦
华为,2021-09-19,5,搜小说很好，最好再少点广告
华为,2021-09-18,2,新版本也太差了，小说底部有了广告，偷跑流量，重要的是打开软件有时候会卡死
华为,2021-09-17,1,很差特别差评差评差评差评，反馈几个月没人回复一下
华为,2021-09-17,5,特别特别好，用了好多年，换手机都会先下载！很奈斯
