Src,Time,Rank,Val
华为,2021-09-28,1,"我又要来吐槽了，这是什么破软件，因为上次退票被坑我长记性了，我就买了个安心退，花了3块钱，结果这个安心退是什么鬼，还要转到公众号去操作，这种不是应该买了就退票的时候全额退款就行了吗，这样还不止，我以为在公众号里可以把退票收的票额20%全部退给我，结果呢，根本不是，它退给你的会少一点，就是变相再收你钱，那这个安心退的意义在那里，这些零零散散的钱加起来，和不买安心退退款收的20%手续费都差不多了，那还买什么，还搞来搞去，APP和公众号换着来，搞笑哦！！！！！
另外，上次吐槽是因为提早四天退票都要收15%的手续费，现在更过分了，现在收20%的了，您可真优秀呢，再过一段时间是不是都要收100%了呢，不会以后退票还得倒贴你钱了呢，我们的钱都是大风刮来的吗，你就只会坑钱。。。。。
事不过三，已经两次了，再也不会用了，卸载去了，拉入黑名单并在黑名单排首位，呵呵！！！！！"
华为,2021-09-27,5,抢票功能真的很好用，每次都能抢到。这次国庆节回家的票，虽然耗时久了点，但还是抢到了，太好用啦！
华为,2021-09-27,5,良心软件，各项功能都很全，客服态度也超超超超级好，很耐心的打过很多次电话，因为自己行程原因没能住到那个酒店，下次一定去！
华为,2021-09-27,5,抢票成功，非常棒
华为,2021-09-27,1,无语子无语子老是莫名其妙抢票中断呵呵
华为,2021-09-27,1,抢不到票就算了，我抢好的票偏要给我改签到第二天，问题还不给我解决，退票了，再见吧您嘞。不推荐使用，抢不到票还事儿多
华为,2021-09-27,2,不更新打开机票界面就卡住 醉了
华为,2021-09-26,1,一切网络购票软件都是以赚钱为主，抢票，预订，都是为了收割而已，如果你没给它带来足够的利益，那么预订的直接退款，只有永恒的利益。
华为,2021-09-26,5,携程抢票从未让我失望，厉害
华为,2021-09-26,5,非常好 携程老用户了 服务周全
华为,2021-09-26,5,可以取消询问吗，直接抢上，然后不满意再取消，已经错过好几次了抢票了
华为,2021-09-25,5,抢票非常快，很好
华为,2021-09-25,2,为什么买不了连在一起的票 上大学父母想送一下 结果三人都隔老远 还是新用户VIP极速 极速还抢不到一起的吗 那是没指望了哈
华为,2021-09-25,1,抢票失败取消订单不退款失望
华为,2021-09-25,1,有病吧，搞出个抢票的玩意，非要赚这点钱心里才舒服
华为,2021-09-25,5,出远门用挺方便，可以抢票
华为,2021-09-25,5,很好用，很快，而且确实是没有怎么出额外的钱爱了爱了
华为,2021-09-25,5,感谢携程，当我已经做好国庆做汽车回去的准备的时候，他帮我抢到了票，感谢感谢
华为,2021-09-24,5,棒棒棒  抢票成功 太厉害了
华为,2021-09-24,5,等了几天 很快就有结果 抢票也快
华为,2021-09-24,5,国庆回家的票都抢到了！非常感谢！！
华为,2021-09-23,2,真无语，明明都是VIP抢票了，还买了助力包，还是抢不到😓
华为,2021-09-23,1,抢票系统极有问题，没有大量充值，就无法在抢票最前端。只能看到有票状态，变成候补。
华为,2021-09-23,2,我这里就是余票紧张，人家别的app那就是剩余四十多张；每次都要看是不是有自动勾选了其他服务项目；小的地方就没什么票，有的根本就没有；最重要的是：我在这里都取消订单了 ，去别的手机上买票竟然说我已经买了，我是买给空气了吗！
华为,2021-09-23,1,第一次使用要注意！！！抢票弄那个助力包很坑，一不小心点到费用就加进去，而且不能取消！！！这就有点过分了吧！
华为,2021-09-23,4,还不错，抢到票啦
华为,2021-09-23,1,携程抢票，从未成功!!!
华为,2021-09-23,1,点不开订单详情 说我已取消订单？？
