Src,Time,Rank,Val
华为,2021-09-28,2,连个发要都开不了
华为,2021-09-28,1,相互宝扣的钱是一期比一期多了。以前都不这样，现在变这样了
华为,2021-09-28,1,已经是最新版本，指纹不能用了？？
华为,2021-09-28,4,感觉这个支付宝好像除了淘宝能使用以外，没别的。
华为,2021-09-28,2,每月按时还，从没欠过你一分钱，在人家最需要钱的时候，你突然关了借呗额度，要人家拿命还吗？
华为,2021-09-28,1,真是越来越差   还款日期多缩减了   还是卸载吧
华为,2021-09-28,1,出一个鸿蒙版本吧！，太多的狗皮膏药了 能不能搞简洁一点，
华为,2021-09-27,4,基金小程序无法放到桌面，望改进！
华为,2021-09-27,3,这次更新后打开软件容易闪退，有时候死机，还不如前一个版本。
华为,2021-09-27,4,支付宝又降额度了
华为,2021-09-27,1,无语了啊我明明在支付宝充话费了，可是没有到账，拉死了。。。。。
华为,2021-09-27,2,请问支付宝今天在我帐号上专走了6.58元钱，我今天没有买过商品呀？这笔钱做什么用了？？？
华为,2021-09-27,1,支付宝越来越恶心了，到处是广告
华为,2021-09-27,3,为什么打开APP时，明明手势密码快输完了，又突然跳出来新的登录页面让我输手势密码？？
华为,2021-09-27,2,方便是方便，不过多少有点油麦了😓那个翻翻卡我每天都翻，翻了十多天连五块红包都抽不出来，每个都差最后一张，然后抽出来的全是空白
华为,2021-09-27,1,我用的是华为手机，支付宝反应太慢，其他功能正常。
华为,2021-09-27,3,为什么花呗关闭了就打不开了 很需要花呗
华为,2021-09-26,1,收款语音播报时间差太大，语音播报不全，查看收款记录太烦锁！让我很多次截住顾客说没付款，结果等半天钱到账了，让我很难堪！我一天收钱不到五分之一是支付宝的，这样下去到我这消费我就想取消支付宝消费了！！！
华为,2021-09-26,1,我吐了那个哈喽单车我扫码开锁没开小程序显示开了我故障上报了申诉故障车没开锁却收费失败了我没有骑浪费了我几分钟还扣钱真的无语😅
华为,2021-09-26,1,阿里越来越店大欺客了，阿里农场我们都支持，辛苦施肥，结果发过来一箱，只有9个果子，其中5个坏的出水，没有任何的诚信，真的假，要找个说法，只说退坏的果子。这是5个果子的事情么，不是，是被你们轻视，被骗了，我不需要说法了。因为你们从不关心老百姓怎么说，有钱赚就行啦。祝阿里继续忽悠，“发大财，有钱途”。
华为,2021-09-26,1,在？为什么调用摄像头？
华为,2021-09-26,5,打开应用快，页面设计合理，游览流畅。唯一缺点就是推荐理财的项目太多了！总体来说还不错的。
华为,2021-09-26,1,就是不给我开通花呗。客服一直就是那句话，等了四个月，客服还是让等，整得真的没心态，失望了
华为,2021-09-26,3,更新过之后，有聊天信息都不提示了，收不到信息了？
华为,2021-09-26,2,蚂蚁森林收能量怎么老是出现已经没有能量的情况
华为,2021-09-25,1,以前一直没注意，这个月看了一下，居然收了近一千块的利息。完全的高利贷，我自己算的利息就不到200块而已。
华为,2021-09-25,1,搞得跟大杂烩一样，能不能精简些，或者自助选择模块啊？
华为,2021-09-25,3,指纹支付怎么坏了
华为,2021-09-25,1,抢的湖北消费券不能用，打了几次客服都找不到原因，体验极差
华为,2021-09-25,3,真的是奇怪  成年还用不了花呗吗  支付宝也没少用
华为,2021-09-25,1,根本收不到信息好多次了，里面还有钱都登录不进去了我服了
华为,2021-09-25,4,现在总是出现闪退问题
华为,2021-09-25,1,我想买个东西，我支付宝里还有钱，支付宝就是不让我买（无语ing）
华为,2021-09-25,3,里面的饿了么总是卡，加载不出来，但是网络根没有问题
华为,2021-09-24,2,最新版本，就是不知道为什么最近老是闪退，一点应用就闪退，重下才能进，一进不去就重下！
华为,2021-09-24,1,功能太多，占用空间太大，建议出精简版。
华为,2021-09-24,1,里面的很多页面都打不开了！一点就闪退，怎么回事？？？
华为,2021-09-24,2,兼容不好，不打开支付宝经常没有推送消息
华为,2021-09-24,5,昨晚更新了怎么显示的是英文字
华为,2021-09-23,1,这个新版没有旧版好用，接收信息都没有通知声音，要打开才能看到信息，接收信息延时推送，太烂了，不好用！
华为,2021-09-23,1,聊天信息不能及时提醒，所有的提醒都打开了，仍然延迟或者直接不提醒，什么时候打开才会弹出来有未读消息💬
华为,2021-09-23,4,指纹支付异常老是出现，已经是最新版了
华为,2021-09-23,2,蚂蚁农场里消消乐的游戏太难了   而且一点让我通关的意思都没有   赶紧改进吧   真是受不了
华为,2021-09-23,1,无缘无故就给我把花呗关了，问客服就说什么系统评估的结果，那我芝麻分还七百多呢。
华为,2021-09-23,1,好几天了都打不开怎么回事？
华为,2021-09-23,4,建议增加可以讲余额宝里资金分类的功能
华为,2021-09-22,2,经常收不到消息推送
华为,2021-09-22,1,聊天信息接收提示太差，延时。或打开才弹声
华为,2021-09-22,1,越更新越差，最近实用小程序功能没有了，乱七八糟的一大堆，没有最近使用功能想找一下刚才用过的都找不到
华为,2021-09-22,3,支付宝这个软件吧，是过于忽悠的！！！不是吗，叫升级下载即不准安装！搞什么鬼啊！！！！三次下载了！又讲不准装！为何忽悠我
华为,2021-09-22,1,额度低的都不想看，反锁操作一大堆。
华为,2021-09-22,2,"希望能够完善一下步数
我走了一万多步，也让支付宝有权访问我的运动，但是就是不更新，就是显示我只走了十几步，就很烦躁"
华为,2021-09-22,5,我的支付宝不小心删掉了，请求重新恢复桌面。谢谢！
华为,2021-09-22,1,好医保相互保本人根本没有操作过，自动扣费一年多，还从来都没有提醒过，要不是我心血来潮点进去账单我都不知道要被盗多久，骗子小头盗贼！！！！！
华为,2021-09-21,1,怎么突然这么卡，网是好好的
华为,2021-09-21,5,打不开，又不能重新安装，咋回事儿？
华为,2021-09-21,2,为什么老闪退，一直进不去
华为,2021-09-21,5,今天怎么打不开了
华为,2021-09-21,1,安卓页面切换的优化做的差，特别卡
华为,2021-09-21,3,下载了新版，可惜我忘记密码了，想找回密码总是显示请求参数不合法，一键登录也登录不上去，无语啊，难道跟我的手机不兼容了吗？
华为,2021-09-21,1,差死了，登不上去，卡死，建议下架
华为,2021-09-21,1,余额50块，想转给亲戚，我一个12岁的未成年，你问绑定我的银行卡？未成年有银行卡吗？
华为,2021-09-21,1,登录说没注册  注册说登录过了  真无语
华为,2021-09-20,1,花呗无违规操作给冻结了，这就算了。今天交学费的时候发现支付宝任何功能界面都无法打开，我只是一个穷学生没有多余的学费给公司消遣。如果我的个人账号出现了什么问题请你们明确告诉我，而不是这样用我的学费消遣我，而不是所有客服用官腔同意回复问题无法解决。
华为,2021-09-20,1,长期进不去支付宝，什么情况，鸿蒙系统
华为,2021-09-20,1,辣椒，步数不准确！
华为,2021-09-20,2,单车扫码半天加载不出来
华为,2021-09-20,1,不满意  我不小心把花呗关闭之后就无法开通花呗了
华为,2021-09-20,1,退款太麻烦，不小心点了支付，退款还不如微信省事，要不现在都喜欢用微信支付，
华为,2021-09-20,4,为什么突然卡了？网也是好的
华为,2021-09-19,2,有没有什么电话客服，有些问题想咨询一下
华为,2021-09-19,2,怎一个慢字了得，打开健康码要等好几秒
华为,2021-09-19,5,就是我有点黑 额度不怎么给我涨 不需要可能给我加点 几百 需要时毛都没有  一般都有临时额度
华为,2021-09-19,1,今天刚更新，卡的连哈罗打车都出不来
华为,2021-09-19,3,什么时候能适配鸿蒙
华为,2021-09-19,1,朋友消息不显示，再次点开支付宝显示已经过去好久
华为,2021-09-19,2,太坑了到处都是陷阱少有不慎掉进去就出不来了千万不要因为想攒钱去碰什么小金袋有你后悔的时候对支付宝太失望了
华为,2021-09-18,2,"赶快出青少年模式啊！！！可以把口碑和一些娱乐功能屏蔽掉，保留一些生活刚需功能使用即可。
现在学生都要用支付宝扫健康码，打疫苗之类的，出个青少年模式，为学生可以安心学习着想！！！"
华为,2021-09-18,1,为什么支付宝不能查看余额，只能去银行，希望能改一下
华为,2021-09-18,3,借呗怎么停？一下子
华为,2021-09-18,3,卡包里的什么电子身份证一点用也没有，就是个摆设
华为,2021-09-18,1,一点都不满意新版一点都不好用
华为,2021-09-18,3,还不更新深色模式？？？
华为,2021-09-18,5,用支付宝以后，太省劲了。不管是消费还是存钱，都太给力了。
华为,2021-09-18,2,乘车码和健康那能不能合一起？技术不行吗？每次都让人先打开健康码，在打开乘车码
华为,2021-09-18,1,以前的支付宝用不了了，现在重新登录另外一个支付宝，我竟然打客服说和拼不了，让我删除另外一个，我要是能登录另外一个，我还有新的支付宝号码吗？这不是开玩笑吗？
华为,2021-09-18,1,"用记账本本来还觉得挺好用的，4月份开始好像备注还有显示出来，后来全变成收钱码收款，这个功能没了还要看这个记账本干嘛？？？买东西备注了到底有什么用？？？搜索也搜不到备注的内容？
还不如别更新，更新了反而不方便查看！！！
希望这个备注能显示出来，而不是全都是收钱码收款~~不然感觉这个记账本一点用也没有！！！！！！！！！！！！！？？？！！！！！！？！！？？！！？？？？？？！！！！！！"
华为,2021-09-17,3,支付宝APP已经提示新版本了，商城没有更新。但又提示优先华为商场纯净版？问题是进入商城，纯净版还在睡觉啊？然后进入APP又提示更新？？太无语了
华为,2021-09-17,1,为什么每次纯净版不能更新
华为,2021-09-17,4,更新的为啥不能在华为应用商店下载安装😂
华为,2021-09-17,4,为什华为市场没有检测到支付宝升级？
华为,2021-09-17,1,一个支付软件就要保证他的支付功能正常稳定运行就可以了！为什么整那么多没用的东西…………！！！
华为,2021-09-17,5,什么时候开发鸿蒙专用版本？
华为,2021-09-17,4,升级鸿蒙系统后支付宝老闪退，现在新版本更新不被信任提示。
华为,2021-09-17,2,支付宝新版一点不友好，进个人主页不能复制自己的账户了，如果别的APP转账要填支付宝账户，我们还要手动输入吗？复制粘贴一下不更好吗？还有，新版本的个人主页不如以前旧版的好看，建议改回以前的老版本个人主页
华为,2021-09-17,1,每天早上打开手机必有全屏弹窗😅真行啊，下个版本再不改进就把支付宝里的钱全部转出来，然后卸载只用微信了
华为,2021-09-17,3,更新完后，打开应用一段时间手机就自动重启，还说运行错误，能不能检查一下
华为,2021-09-17,3,请问啥时候有支付宝鸿蒙专版啊
华为,2021-09-16,1,为什么我登录不上？都是在登录中
华为,2021-09-16,1,"1.一个支付软件，竟然可以随意关闭用户支付功能
2.在我没有打过电话的情况下，客服竟然默认拉黑手机号
3.换号码拨打客服电话，竟然打一次就拉黑一个号码"
华为,2021-09-16,1,不要升级该版本，超级卡，频繁白屏无响应！！！！！！
华为,2021-09-16,5,"支付宝定投提示交易失败，事发不提示，事后不解释，咨询客服问了一大堆又是截图，然后转另一个客服，给到的答复，始终车轱辘话：找基金公司去，支付宝上发生的交易可以完全不管的，

支付宝，本人是不敢用了。"
华为,2021-09-16,3,为什么每次出新版本了应用商店都不还不更换
华为,2021-09-16,1,放在余额宝里的钱都不能提到银行卡里，只能支付，转账，好无语啊，真希望能改一改了
华为,2021-09-16,5,不错，里面的小程序我也很喜欢，不用额外下软件了
华为,2021-09-16,3,能不能搞个消息批量删除啊。。。天天推送乱七八糟的还要一个个手动删。。。太累了!!!拜托了!批量删除批量删除批量删除!!!拜托🙏🏻
华为,2021-09-16,2,用几年都不涨额度，临时额度都没有
华为,2021-09-16,2,没有的功能多，有点臃肿
华为,2021-09-15,1,支付宝怎么添加不到手机页面
华为,2021-09-15,3,建议你把隐藏用户取消，给对方转账被骗了都不知道对面的姓名
华为,2021-09-15,1,花呗用着好好的，18400的额度，一直信用良好，没逾期，凭什么说给我停就停了，欺负人？就应该像那些恶意套现然后不还得用户一样就对了，真的。
华为,2021-09-15,4,宝宝啊，能不能开发一个鸿蒙的小软件，能支付和收款就行，别的不奢求
华为,2021-09-15,1,鸿蒙版什么适配，或者符合绿色应用标准也行 每月更新的都是东西
华为,2021-09-15,1,功能实在是太繁多了，很多都用不上，导致整个APP臃肿不堪，用起来也很卡，差评
华为,2021-09-15,3,为啥老是出现输两次手势才能解码？
华为,2021-09-15,1,最新版本卡的要命
华为,2021-09-15,1,推送太多了！！！
华为,2021-09-15,3,把那些花里胡哨的广告推荐都清理了吧
华为,2021-09-15,1,"利用自己起先好口碑拉拢了庞大的用户 ，现在一个支付的APP里塞进去多少的广告程序！各种广告通知 私下“可能”窃听贩卖用户隐私！现在也就百分之几的功能是用户所需要的  其他的都是广告
1个多G了,卸载重装还是这样"
华为,2021-09-14,1,好卡，首页弄那么多东西，华而不实，能不能来个精简模式，俺就想扫个码
华为,2021-09-14,4,"支付宝大哥
请带头推出一款适配鸿蒙系统的支付宝吧
希望你们强强联合，以后必定更火
支付宝、微信就看你俩谁先发力了
个人更看好你有大局观！！！"
华为,2021-09-14,2,不会出深色模式？？？？？
华为,2021-09-14,1,举报骗子只是一个摆设 我的证据足得不能再足了，举报两次也没用 就跟讲笑话给后台听一样
华为,2021-09-14,2,前几天以前指纹支付还好好的用着，就两天没用支付宝。今天使用支付宝支付就提示什么异常，叫在设置从新打开指纹支付。我关了指纹支付又开，还是提示什么支付异常。这是什么bug？
华为,2021-09-14,3,可不可以开发一下，刷码乘车就可记录到健康码上面，不然坐公共交通还要扫健康码，不太方便。
华为,2021-09-14,1,这里面有个余额框框，里面数字太小了
华为,2021-09-14,1,就那个健康码，第一次扫描人脸，上面说让本人扫，我以为没扫好，再重新扫一次，结果只有一次机会就不能再扫脸了，然后就需要银行卡，我一个学生没有，然后就不能获得健康码了 ，真是太坑了
华为,2021-09-14,1,没用的功能太多，太臃肿，太卡了！
华为,2021-09-13,2,花呗额度太低，备用金也是，芝麻分高没有逾期过还不如别人分数低的额度高，花里胡哨的
