Src,Time,Rank,Val
华为,2021-09-28,1,最新版本淘宝怎么老是看一会儿就自动退出了
华为,2021-09-28,1,最近怎么老是闪退
华为,2021-09-28,3,你这更新我点成应用中心更新了，现在更不了了😢
华为,2021-09-28,1,就无语，注个册，结果说号码太多😅
华为,2021-09-28,1,为什么老是闪退🌚🌚🌚
华为,2021-09-28,3,像这种淘宝的购物平台，真的有点坑。在某平台上面购买了一个主板。没想到他这个主板是质量有问题啊，没用两个月就已经坏掉。卖家竟然说七天已过，无法退。只能保修。我就不乐意了，就主板要我寄来寄去，可能他寄回去的时候再寄回来的时候，还是这样的话，我那我真的
华为,2021-09-28,1,更新新版本99划算节后，页面总打不开崩。之前还好好的。
华为,2021-09-28,1,老是推相同的东西，同一样衣服推了五六次了，真麻烦
华为,2021-09-28,1,账号购买的平台服务 本人未操作的情况下 被平台更改 且拒绝查询更改的原因 对平台安全性存在巨大疑虑
华为,2021-09-28,1,这个版本总是闪退
华为,2021-09-28,1,为什么现在信息删除不能一键删除了，移除有什么用，不想要才会删除啊。
华为,2021-09-28,1,升级淘宝为啥点不进去了
华为,2021-09-28,1,能不能不要更新 更新成这样一点都不好用 体验感极差 越更新越烂 搞得都不想看了 无语 体验感极差
华为,2021-09-28,3,为什么不能用微信支付？
华为,2021-09-28,2,字体太小了，而且不清晰。
华为,2021-09-28,1,购物车应该在多点啊，阿里巴巴都两百个呢
华为,2021-09-27,1,个购物软件出什么游戏，真的害人
华为,2021-09-27,4,希望淘宝可以出一个查看消费账单de功能，可以自由限定时间范围那种
华为,2021-09-27,2,淘宝也开始明目张胆的坑消费者了，更新后连对卖家的3项总体评价得分都没有了，只能看到买家的评价。套路真深。
华为,2021-09-27,1,无语了 更新了淘宝订阅的店铺界面刷不出来 以前从来没有这样问题 更新了就这样了 好几天还这样
华为,2021-09-27,5,店铺卖家的二维码怎么弄噢
华为,2021-09-27,3,更新的用不习惯了，一点都不好用了
华为,2021-09-27,2,一直让我更新，点完允许更新就没结果了？一直让更新总得给个更新啥的说法吧。更新完也没见安装，点开也没见啥新花样。下次继续让更新……
