Src,Time,Rank,Val
华为,2021-07-30,1,哎，每次等车都等很久。路线安排不合理。除了可以叫车功能外，其他功能感觉都比较差劲，广告多，买菜推送多。滴滴司机较普通出租车司机对地点更不熟悉，驾驶技术要逊一点。价格比出租车更贵一点。
华为,2021-07-30,1,哎，每次等车都等很久。路线安排不合理。除了可以叫车功能外，其他功能感觉都比较差劲，广告多，买菜推送多。滴滴司机较普通出租车司机对地点更不熟悉，驾驶技术要逊一点。价格比出租车更贵一点。
华为,2021-07-30,1,哎，每次等车都等很久。路线安排不合理。除了可以叫车功能外，其他功能感觉都比较差劲，广告多，买菜推送多。滴滴司机较普通出租车司机对地点更不熟悉，驾驶技术要逊一点。价格比出租车更贵一点。
华为,2021-07-10,1,现在新版本的界面太乱了！多了杂七杂八的功能！又变成购物软件了！广告太多了！
华为,2021-07-04,2,费用高，系统比较臃肿，广告推送多，审核速度慢，泄露客户隐私。
华为,2021-07-04,1,每次打开都得让网络反应好久，扫个车半天打不开，转转转，美团一点问题都没，就你问题大
华为,2021-07-04,1,打车莫名多扣费20，我都不知道什么原因，而且打人工客服，就是个摆设，永远打不通，而且说好买券省钱，结果更贵了，还发现杀熟现象，都想直接举报了
华为,2021-07-04,1,很卡顿，因为弹窗太多
华为,2021-07-04,1,很卡顿，因为弹窗太多
华为,2021-07-04,1,app不干净 不纯粹 建议少点广告
华为,2021-07-03,1,一堆广告，急着打车，就非要弄些乱七八糟的业务
华为,2021-07-03,1,定位不准就别搞什么定位还车，每次还车都浪费好几分钟
华为,2021-07-02,3,我想知道为什么不能改头像，气死了
华为,2021-07-02,1,取消订单这几个字搞得那么小得用放大镜找半天，广告字倒是很大
华为,2021-07-02,1,为什么现在那么多广告啊，买菜的页面也有……
华为,2021-07-02,1,你们这个地图找单车功能太差了吧，很不好用。另外，外面好多单车的二维码被破坏，用户根本扫不了！！！
华为,2021-07-02,1,各种绕路的破导航！！！
华为,2021-07-02,5,滴滴出行叫快车这个功能真的非常不错，它经常会发优惠券，所以打车费很便宜，并且还可以不用专门在路边等车
华为,2021-07-02,1,"好好的青桔单车，原本是开锁只会滴的响一声，关锁自己手动扣上就行了。现在搞的很low，声音巨大，锁车还要手机上定位在制定区域了 才能锁。。。
恶心"
华为,2021-07-01,1,我排在前面，后面的比我先接单，什么意思？等了一个半小时。。。。。
华为,2021-07-01,2,关键时刻打不开，吊链子
华为,2021-07-01,1,"平台费收的太高了，但凡坐一次只要跟司机聊。都说收费高。
还有微信小程序不能开发票几个意思，强制要下载安装app呗？？？？"
华为,2021-07-01,2,我真的无语了，怎么越更新越不好用，你一个打车软件 打不到车就很绝，地方稍偏一点打不到我忍了，那人多的不行的地方也打不到车，约车本来是为了方便，这倒好，就那么二十多分钟，没人应答就给我取消了，我合着打个车还得看运气，好家伙，一打开看你评分，比同类型低这些，用了三年了，真的失望
华为,2021-07-01,3,"请把滴滴导航优化，选择的路线有问题，更快少等灯的路不走，走一些奇葩路线。
还有拿优惠券要先买菜吗？我准备去机场，哪有心情买菜？哭笑不得啊"
华为,2021-06-30,1,坐标深圳，九点半永远打不到车，打到车还拒载，已经被拒载过好多次，最后还是要去坐地铁回去，在做得更好的路上，滴滴还有十万八千里。
华为,2021-06-30,1,舍近求远的路线规划
华为,2021-06-30,3,定位不准确，而且快拐弯了还显示80米远，投诉就被扣分
华为,2021-06-30,1,我也是服了，之前从来没注册过这个软件，这几天莫名给我打电话说有未支付账单，就登录了一下，发现19年有个几百元的车费没付，无语死，谁去过内地？整得跟真的似的，客服都是摆设！差评！！！
华为,2021-06-30,1,明明有近的，非给我派远的，要是有这个时间我打个毛线滴滴，一星都不想给。。。雨天就打不到车，无语
华为,2021-06-28,1,现在越来越臃肿了，打车就做好打车，又有借款又有买菜
华为,2021-06-27,1,进去定位定不到，还不如微信或者支付宝小程序的快。
华为,2021-06-27,1,进去定位定不到，还不如微信或者支付宝小程序的快。
