Src,Time,Rank,Val
华为,2021-09-29,2,就这个软件看电视投屏卡死了
华为,2021-09-28,1,"就不懂了 为什么一个视频可以有n个广告
而且还那么长"
华为,2021-09-28,1,投屏老是闪退，好了几天又不行了
华为,2021-09-27,1,晚上想找个电影看，结果被吓到了。就是恐怖片你能不能单独放个专区，就是那种专门去找才能看到。我真是受不了那些恐怖片封面。
华为,2021-09-27,1,一个视频插播3条广告，呵呵，真优秀
华为,2021-09-27,1,无语，自动扣钱和我充了VIP，上面还显示我没充。
华为,2021-09-27,1,这个东西太棒啦，看广告真方便就是太短了，才100秒，建议加到10000秒就太棒了
华为,2021-09-27,1,弹幕延迟太严重！！！！！！！！
华为,2021-09-26,4,没有广告就很好了
华为,2021-09-26,1,"没有下载任何本地视频，想知道那多出来的500M是干嘛的？？？
缓存也显示只有区区几个MB？？而且这个多出来的数据，一旦删除，连登录信息也一并删除！"
华为,2021-09-26,1,几天前充的VIP就这么没了
华为,2021-09-26,2,冲了个vip，就是为了不看广告。还动不动来什么推荐？那我买Vip干嘛？
华为,2021-09-26,5,本地3D的视频怎么设置
华为,2021-09-25,1,超级难用，自动续费会员就是个摆设不说还经常性的出现软件网络故障
华为,2021-09-25,1,游戏卡，广告多，一进就卡，差评！！！烦死了
华为,2021-09-25,3,其他的还行，就是很卡，反应慢
华为,2021-09-25,4,其他游戏都玩不了，爱奇艺给了我很大乐趣，就是广告太多了，如果什么时候把广告完全删除。可以五分评哦😊🙆
华为,2021-09-25,5,我看的话VIP的话应该是没有广告的，还不错吧？
华为,2021-09-25,1,开会员还得付费才能看
华为,2021-09-24,1,缓存视频标题长显示不全，找东西很麻烦
华为,2021-09-24,1,这啥玩意啊，为了看赘婿充了个会员结果播放失败，反馈完后去看动漫了，也播放不了…试了几个都播放失败
华为,2021-09-24,1,没有比爱奇艺更恶心的了 开通VIP下的电影还没看 会员过期了看不了了 这就算了 我去免费电影里面下载老片子准备回家看 结果到家发现这些片子都变成VIP看不了了 真的太恶心了 马上卸载 永不再用
华为,2021-09-24,1,我自己下载的电影，没vip还不能看，要下载有啥用，摆设麽！
华为,2021-09-23,1,不能快进 无语了 还不能横屏看
华为,2021-09-23,3,挺好用的，就是VIP 1工具的太多了，那些穷的人只能看免费的，我觉得还可以的-_-||
华为,2021-09-23,1,想钱想疯了？切个清晰度重新看广告？我vip闹着玩的？
华为,2021-09-23,1,每次刚打卡软件就卡顿然后闪退
