Src,Time,Rank,Val
华为,2021-09-28,1,为什么通知信息那么多，还不可以删除
华为,2021-09-27,1,我手机型号老，内存小，但我不认为他已经老到不支持你运行了。老是闪退，老是闪退，想查些什么东西一直在闪退。大爷似的。
华为,2021-09-27,1,电信网太差了，打王者卡的要死。。差评，差差差
华为,2021-09-27,1,页面半天加载不出来，充值经常失败，无语了
华为,2021-09-27,1,我都搞不懂这网怎么越来越慢，真的是不想在用了，打个游戏卡半天，更别说浏览网页了
华为,2021-09-27,1,太卡了网速太慢了我不知道这网有什么用
华为,2021-09-26,1,购物app？根本解决不了任何问题，几乎所有能想到不花钱的事都要去营业厅营业厅，然而跑了大半个城市，花了200多车费，啥啥都没问到，每个营业厅都在互相踢皮球，本区的营业厅信息严重滞后。如果你家附近没有营业厅，建议别对这些东西报希望了。
华为,2021-09-26,1,不支持网上手机销号，你们就不能做好这个便民服务功能吗？非得让客户跑一趟你们营业厅，排个队才开心销号？
华为,2021-09-26,3,这真的是，一个营业厅搞得花里胡哨，一个页面已经满足不了你了，三个页面上下滑动，各种累赘功能，有这么多时间整这些，能不能把网速提上去，宽带不行，流量不行的。
华为,2021-09-25,1,办了张校园卡 比我另一张不是电信的限速的卡还慢 也是服了
华为,2021-09-25,1,为啥我在校区用不了专用流量，问客服也不给回复
华为,2021-09-25,1,闪退两天了，点进去就闪退
华为,2021-09-24,5,近期更新的频率太高，越来越频繁，无障碍也做的越来越差，根本就用不了啊。
华为,2021-09-24,2,最近更新后总是闪退
华为,2021-09-24,1,充个话费啥都用不了
华为,2021-09-23,1,这么卡的网，第一次遇到
华为,2021-09-23,1,这信号也太差了吧，打一局游戏从开始卡到结束，醉了
华为,2021-09-23,1,为什么会在后台打开支付宝之类的其他app！！
华为,2021-09-23,3,麻烦消息通知地方    能不能变成可删除的那种    全是消息通知 还不能删除  就不能变成QQ消息栏那种向左滑然后删除
华为,2021-09-22,1,登录半天登录不进去，烦死了，一直转呀转的！
华为,2021-09-21,1,就不能优化一下这破软件吗打开个页面等半年都加载不出来
华为,2021-09-20,1,这个app乱七八糟，升级后功能太多太乱很占内存，再不优化就删了不用了
华为,2021-09-20,1,好多业务都不能办理了，下载这个软件只能交话费，有什么用呢？我建议电信直接取消app吧。不能注销手机卡，不能让宽带停用，明明这些功能之前还能用。无语，真是无语。下载这个软件还不够浪费内存。
华为,2021-09-18,5,查话费，查流量，交费很方便。
华为,2021-09-18,1,退订业务根本办不了，假退订
华为,2021-09-17,3,怎么测网速功能？
华为,2021-09-17,1,每次一打开就软件初始化，进去后还卡得不行。
华为,2021-09-16,1,好多东西都打不开，设计软件有什么用呢？！
华为,2021-09-15,1,闪退，闪退，闪退，打不开！！！
华为,2021-09-15,1,之前还能登录宽带查看余额，现在宽带还没了一定要本机号码的宽带别的都不行我服了。
华为,2021-09-13,1,电子发票抬头都不能改，每次进去一堆广告，功能没做好全想着赚钱去了
华为,2021-09-13,1,我硬是没找到在哪查余额查流量
华为,2021-09-12,1,退订业务叫我在网页打开网站，一打开就是一片空白？强制消费？
华为,2021-09-11,1,不能通过软件改宽带套餐的WiFi密码
华为,2021-09-10,1,5G流量包订购了，不给退订，关键不给原因。只进不出，为了收入也不能玩这种套路吧。
华为,2021-09-10,1,明明今天的1元1G的钱已经扣了明明流量还剩800多，下午看实时费用显示截止今日已扣10元，晚上看就变12了，又扣了我2元，乱扣钱啊
华为,2021-09-10,1,现在这个积分都改成10000才能兑换了，一般没到10000前面的就清零了好嘛，变着法坑钱
华为,2021-09-09,1,每次进去都卡到无语，每次进去都显示要再登陆手机号，每次进去都卡到爆！怎么回事！
华为,2021-09-09,1,什么破软件，升级问题更多
华为,2021-09-09,2,话费充值老找不到
华为,2021-09-09,1,查话费和流量根本不知道点哪里，全是没用的功能
华为,2021-09-08,1,大家不要下载这个 ，交了话费都没进来 ，已经两天了。
华为,2021-09-08,1,明明做了退订业务的功能却不支持退订，一退订就显示提交失败，什么意思？要不是没时间去营业厅我何必在软件上浪费时间。就电信这态度，过几天直接把号码废了。
华为,2021-09-07,5,用了5g之后回不了4g了，太快了，爽到起飞！！！
华为,2021-09-06,2,系统自己检测不到，每次都要点开软件，
华为,2021-09-05,4,为什么会一直闪退，打不开？
华为,2021-09-05,1,什么破软件，连个费用清单都没地方查
华为,2021-09-05,1,收钱收的真快，未登录时办理订单登录之后还得从未登录订单里查，然后我问她咋么退，他又让我从我的订单里退，根本找不到50块打水漂了，差评，什么东西，再也不用了
华为,2021-09-05,5,挺好的，积分可以兑换东西
华为,2021-09-05,2,最近老闪退，不解决一下吗
华为,2021-09-04,2,想找个好点的号码都没得，动不动页面就跑丢了，是来搞笑的吗
华为,2021-09-03,1,鸿蒙系统应用系统检测无升级，打开软件APP要升级，到底怎么弄？
华为,2021-09-03,1,半天都登不上 真的优秀
华为,2021-09-02,5,还行？就是话费餐太贵了
华为,2021-09-02,1,我退个流量包都不行
华为,2021-09-02,1,19的话费充了40还显示异常，打开数据旁边就多一个感叹号，点进去看又是充值页面，还要我充多少？？？？
华为,2021-09-02,2,后悔升级9.0了，版面一塌糊涂，无用功能一大堆，首页的什么宠物还有地图也不能关。卸载了
华为,2021-09-02,3,任何电信卡都不可以在手机上销号，希望可以在手机上销户
华为,2021-09-02,5,鸿蒙纯净模式下升级的问题
华为,2021-09-02,1,更新后手势密码直接成了虚设，怎么回事？
华为,2021-09-01,1,为什么开发票邮箱接收不到，已经发了好几个邮箱都收不到
华为,2021-09-01,1,更新之后，再打开软件，就是登录不上，牛啊牛啊
华为,2021-09-01,3,想查看余额，喊我登录，点登录又说我已登录，循环往复。所以然后，，，，，？
华为,2021-09-01,1,每次打个客服电话都是人工坐席前忙，人工客服通个电话，慢死了，能不能改进一下这种客服问题
华为,2021-08-31,5,活动很多，福利很足，优惠力度非常大
华为,2021-08-31,2,查询个流量都不让查？
华为,2021-08-31,1,人工客服呢，整个机器人有什么作用，机器人说的，我可以查的，我要人工客服
华为,2021-08-30,1,为什么打开了5G网络没有5G了，之前还有的，最近就没了，而且网好卡
华为,2021-08-29,3,为啥华为荣耀30pro用了这个软件一直闪退？
华为,2021-08-29,1,电信乱收费，19元的套餐，我充了50元，3天就给我扣没了，又充了50元，3天又扣没了，一查使用的流量才超出1.8G，我不会再用电信卡了。
华为,2021-08-28,1,为什么老是登录失败
华为,2021-08-27,1,企业发票设置不了，把信息输进去后会弹出来“悲催啦，页面溜走了”试过十余次都不行。反馈给客服，也回答不到点上，无语
华为,2021-08-27,2,推送的消息只能点开看，不能删是吧，那我只好把你删了
华为,2021-08-26,1,闪退打不开，华为mate20pro机型。
华为,2021-08-26,1,订购流量包的时候一直提示订购失败
华为,2021-08-26,1,为什么华为畅享10更新了营业厅，在软件首页页面滑动会很卡呢？
华为,2021-08-25,1,首页上面的一行图标老是闪耀是什么意思？其内容是否只给开发者自己看而不让用户看，升级后体验越来越差，用户须要的是查询流量话费及相关业务，不喜欢你弹出太多杂七杂八的东西，这样的话根本沒几个用户会看的，用户只会感到…烦…烦…烦，能愿关注微信公众号而直接卸载电信营业厅APP
华为,2021-08-25,5,交话费很方便，还可以自己改套餐买手机。
华为,2021-08-25,3,为什么不能查询话费和流量余额？
华为,2021-08-24,3,隔壁移动营业厅签到送流量，为什么这个签到什么都不给
华为,2021-08-24,2,一直订购不了流量包。
华为,2021-08-22,2,更新后首页最上边图标动画有问题，一直闪烁，接着退出去就不能登录账号
华为,2021-08-20,1,一直闪退，体验感极差
华为,2021-08-19,1,选个手机卡号，网页一会儿一退一会儿一退，一会儿不让进了，我真无语啊，这是啥意思呀？
华为,2021-08-19,1,点手机号登录老是登不上
华为,2021-08-18,1,提示有未读信息，角标有数字，里面怎么都消除不了~
华为,2021-08-17,1,频道闪退，不好用
华为,2021-08-16,1,不更新就不给进是吗？一点取消升级，马上闪退。
华为,2021-08-16,2,这个界面设计的太不人性化，不如老版本。
华为,2021-08-16,1,没客服！没客服！用了一年多电信营业厅，找了三次客服，一次没找到！给我个网页链接让我自己看，结果还打不开！！！
华为,2021-08-16,1,最近网络总是卡，为什么？
华为,2021-08-14,2,新版本，有严重的bug。首页右上角—【切换号码】，点了没反应。麻烦尽快修复。
华为,2021-08-13,5,什么时候出鸿蒙版
华为,2021-08-13,1,更新之后，话费余额都找不到了，还一直闪退，什么东西啊，老人们用更费劲
华为,2021-08-13,1,连个退订按钮都没有，还要我下多一个app或者发短信，那要你干嘛，占内存？
华为,2021-08-13,5,电信营业厅的活动有很多，查话费，查流量也很方便，是一个很好用的APP。
华为,2021-08-13,5,app功能挺好，但是首页最上段的4个大图标中的3个在一直闪动，而不是缓慢转动，建议改进。我的手机系统是鸿蒙，手机是华为P40。
华为,2021-08-13,3,还行，就是有时候会闪退
华为,2021-08-12,1,每次动不动就退出账号，用个流量就卡死，买流量套餐后等好长时间才显示
华为,2021-08-12,5,界面做得简洁、大方，需要办的业务一目了然，点赞，必须的。
华为,2021-08-11,5,功能齐全，而且也不臃肿，最重要的是，费用很便宜
华为,2021-08-10,1,凭什么电话卡注销不能异地注销？
华为,2021-08-09,2,为什么不能签到，进去加载不了页面？还是套路？
华为,2021-08-09,1,为什么我打印不了我的缴费单
华为,2021-08-08,3,很烦，退订流量包一直显示不成功，其他还好
华为,2021-08-07,1,套路多还限流网络差
华为,2021-08-07,1,闪退问题很严重啊，查话费都很难，体验感太差了
华为,2021-08-07,5,非常喜欢新版的界面，很有格调，所有功能一目了然，对用户非常友好，真的贴心！作为六年的老用户，对电信已经有依赖感了，会一直用下去的，希望中国电信越来越好！
华为,2021-08-07,5,功能齐全，操作方便，同时信号也不错！
华为,2021-08-06,1,我弄了好几次都没有给我发验证码
华为,2021-08-06,4,查网龄在哪查？好像不见了
华为,2021-08-05,1,什么电信，我高速流量都卡的要命
华为,2021-08-05,5,非常成功的软件，便捷操作，一键充值话费和流量，还有各种营销活动感觉特别亲民，好评！！
华为,2021-08-05,5,非常方便，升级之后功能更多了，页面看起来也更清晰，而已充话费非常优惠。
华为,2021-08-05,1,差 一直说网络不好 充不了
华为,2021-08-04,5,功能齐全，可以方便的查话费查流量，好！
华为,2021-08-04,5,有了这个以后充话费和流量都更方便了
华为,2021-08-03,5,功能比以前更全面，也更方便了。
华为,2021-08-03,5,非常不错，很方便查话费流量，最主要更换不同地区很好
华为,2021-08-03,5,功能齐全，各种方便快捷，各种流量包可供选择，而且里面有各种优惠活动，基本不需要去实体店了，真的很好用。
华为,2021-08-02,1,咋用啊？？几个小时登录不上去   验证码呢？获取次数多了又让输图形验证码才能获取   还他吗一直post错误？
华为,2021-08-02,5,好用方便，免去了线下跑营业的折腾，希望能有更多活动，改善一下客服的智能度，有时候问题解决的不够快或者解决不了。。。
华为,2021-08-02,5,很好用，方便，功能越来越强大，有很多优惠活动。
华为,2021-08-02,5,软件用起来很不错，顺滑流畅，里面也有很多优惠！
华为,2021-08-02,5,讲真，这个9.0版本是目前我用过最好用的营业厅app（包括联通，移动）。界面简单明了，能一眼就看到目前的优惠活动。同时颜色布局也很喜欢，整体用起来很模块化，方便灵活。赞！
华为,2021-08-02,3,新版本怎么不在华为应用市场发布呢？希望开发鸿蒙专属应用。
华为,2021-08-01,5,使用非常方便，功能齐全，足不出户就可以办理很多业务！
华为,2021-08-01,5,挺好的，方便实用，一直用，很喜欢。
华为,2021-08-01,5,非常方便个人查询业务话费，使用体验非常好，操作性挺不错的。
华为,2021-08-01,5,新版本体验很不错，用起来很方便，功能一目了然，很人性化，加油
华为,2021-08-01,5,优惠还是挺多的，APP也很好用，每月查话费也很清楚，每个月充话费也有优惠就是那个金豆的活动有待改进 优化了之后设计更方便 更加便捷
华为,2021-08-01,5,使用效果不错，流畅
华为,2021-08-01,5,体验超级棒，话费流量分钟数都用图表化显示出来，一目了然非常清晰。
华为,2021-08-01,5,界面设计清楚，功能很多，办理业务方便，还有很多活动可以参加，体验到了方便快捷，感谢为用户提供这样好的服务！
华为,2021-08-01,5,非常人性，好用，真不错。很棒，活动也比较多。
华为,2021-08-01,5,"整体排版不错，符合现代的审美要求，比较方便查找，不错的app,希望越做越好，多做一些促销活动"
华为,2021-08-01,5,超级好用，很方便
华为,2021-08-01,5,非常好   特别方便随时随地享受服务
华为,2021-08-01,5,很方便，随时随地享受优质服务，功能越来越强大，很久没有去过营业厅办理业务了。已经用了N年。会继续支持。
华为,2021-08-01,5,应用不错，查询话费流量什么的很方便，不过以前经常有充值送话费的活动，最近没有了，希望能再来点福利
华为,2021-08-01,5,全新界面，全新浏览体验，不一样的视觉感受，期待下一次更新！
华为,2021-08-01,5,实实在在的方便，随时随地享受快捷服务，功能越来越强大了，没必要去营业厅办理，还能看到很多优惠活动，点赞
华为,2021-08-01,5,网络非常好，客服服务也不错值得信赖
华为,2021-08-01,5,充话费很快乐，用起来很顺手，贴心软件！
华为,2021-08-01,5,升级新版本后，界面也很漂亮，各项信息更明了，一目了然，永远支持你
华为,2021-08-01,5,流量 话费余额一目了然 界面清晰好看  真是太棒了
华为,2021-08-01,5,9.0版本很好用，界面布局清晰，功能查找方便，便于操作和解决问题，很赞
华为,2021-08-01,5,用了很多年了，电信营业厅非常给力，活动丰富，优惠多。
华为,2021-08-01,5,缴费方便，话费余额流量余额实时查询，简单便捷。
华为,2021-08-01,5,查询方便快捷，余额账单明细，优惠活动也很多，很不错，非常满意！
华为,2021-08-01,5,真是太方便了，板块很新颖，服务周到，功能强大，方便快捷，办理业务不需要去营业厅办理，手机营业厅操作十分方便快捷。
华为,2021-08-01,5,非常好用，每次查话费查流量特别方便。积分还可以兑换一些非常好用的东西
华为,2021-08-01,5,很棒，很好用的电信营业厅，相比其他的移动流量，电信很稳定，很实用！
华为,2021-08-01,5,很不错，还能领话费，福利很多
华为,2021-08-01,5,电信还是挺好的，手机音乐听上各项功能齐全，操作也比较简单，方便数据方面的查看也很直观，个人还是很喜欢用的。
华为,2021-08-01,5,很好用，功能强大，分类明确，日常生活必备软件！
华为,2021-08-01,5,使用方便，简洁明了，是最常用的APP之一。
华为,2021-08-01,5,"升级9.0了，查话费，查流量，查宽带，app越来越方便强大了,省跑营业厅。"
华为,2021-08-01,5,非常棒的应用，活动超多，办理业务方便，赞一个！
华为,2021-08-01,5,方便快捷，办理业务不需要去营业厅办理，手机营业厅操作方便快捷。
华为,2021-08-01,5,实实在在的方便，随时随地都能查询流量使用情况，查询话费余额，等等便捷功能。再也不用去实体营业厅办理了，线上更方便，省时。必须赞一个！
华为,2021-08-01,5,非常方便快捷，功能齐全，界面布局合理，体验不错。
华为,2021-08-01,5,非常好，使用方便点击软件一查就能显示话费，省去了打电话的时间。而且偶尔会有活动可以领话费
华为,2021-08-01,5,这款APP很方便，里面和简洁，没有广告，可以支持实时查询，不定时会有福利，充值也很方便
华为,2021-08-01,5,新版使用更加方便、顺畅
华为,2021-08-01,5,电信营业厅最新版本，使用更加方便，查话费，充值，流量，更加好用。可以来试试。
华为,2021-08-01,5,非常好用  啥都可以查 可以交费可以办业务 很棒
华为,2021-08-01,5,挺不错的，非常的满意，服务很热情，希望多出些便宜的流量活动。
华为,2021-08-01,5,新版本越来越好用，充话费方便直观，活动也多了，经常好很多优惠活动，太好用啦
华为,2021-08-01,5,及时全面的查询，优惠多多的应用，这个app非常好用，必须点赞！
华为,2021-08-01,5,用了很多年，查询方便，一直也在优化，值得推荐！
华为,2021-08-01,5,升级后功能全面，基本能覆盖想要办理的业务，还有打卡金豆等，每天都会进去看看！
华为,2021-08-01,5,对这个软件十分满意，有了手机号后就下载了，查话费，流量，通话分钟一眼上面就能看到，而且上面的优惠活动和抽奖都棒棒哒，用着非常方便ꉂ(ˊᗜˋ*)
华为,2021-08-01,5,电信app使用非常方便，交话费办业务都很快捷，已经使用很多年了。省去了去实体店交话费的时间。超级好用。会继续支持使用的！
华为,2021-08-01,5,电信掌上营业厅真的太方便了，查话费，缴纳话费，更改套餐，都能轻松搞定！电信用户的刚需，而且还能攒积分兑换小礼品，真的赞！
华为,2021-08-01,5,电信用户随时可以查流量查话费，效果不错！
华为,2021-08-01,5,很好用的app，查询流量话费非常方便…充话费还有优惠…不错不错…
华为,2021-08-01,5,中国电信营业厅办业务十分便捷，能够使我及时得到自己需要的相关信息，还有很多的优惠福利发放，赞一个
华为,2021-08-01,5,非常好，使用方便，尤其是设计有独特的视觉享受。
华为,2021-08-01,5,话费充值，宽带业务办理等等都很方便快捷！比当年一趟趟跑营业厅好多了！
华为,2021-08-01,5,非常好，使用方便，尤其是设计有独特的视觉享受。
华为,2021-08-01,5,太棒了，随时监测流量，充话费也方便，老用户了，实名点赞，值得推荐。🤟❤️
华为,2021-08-01,5,不错，用着很方便，很好用，设计很好！不用跑营业厅了，自己手机上就可以办理业务了！
华为,2021-08-01,5,不错，各种业务查询也方便多了
华为,2021-08-01,5,这个软件挺好用，贴别方便使用，客服也非常给力！
华为,2021-08-01,5,"实实在在的方便,随时随地享受便捷服务,功能越来越强大了,基本没啥服务要去营业厅办理了,实在是太好用了。希望越早越好！"
华为,2021-08-01,5,不错，电信的活动很多，app使用流畅，功能齐全。
华为,2021-08-01,5,很方便，板块很清晰明了，功能很强大，查东西再也不用打电话了，nice🉑
华为,2021-08-01,5,太棒了，电信营业厅9.0版真的非常方便，省了很多时间，还有很多优惠，点赞点赞点赞！！！
华为,2021-08-01,5,非常方便好用，可以直接登录不用验证码，查话费查流量特别快
华为,2021-08-01,5,新版本优化还行，比之前省事，界面美观，操作便捷，满意
华为,2021-08-01,5,使用特别便利，板块布局清晰明了，功能完善，办理查询业务方便快捷，赞赞赞
华为,2021-08-01,5,"很好啊,这个9.0版很贴心，界面很养眼，希望里面优惠活动再多一些！"
华为,2021-08-01,5,APP非常好用，业务很全面，使用起来很方便，五星好评
华为,2021-08-01,5,9.0版本板块新颖，服务周到，功能强大，办理业务不需要去营业厅了，手机操作方便快捷！
华为,2021-08-01,5,太方便了，什么信息一查便知道，随时掌握流量详情，还可以自助办理一些业务。
华为,2021-08-01,5,很好很强大，服务便捷，充值优惠，套餐给力，客服回应快，问题解决能力迅速！
华为,2021-08-01,5,很好，使用流畅，功能简洁，不用出门都能办理业务了
华为,2021-08-01,3,就上次更新过后，每次进去都闪退，每进去一次闪退，进去一次闪退一次！其他的都还好！
华为,2021-08-01,5,"这个软件真好用,还能用积分换东西,非常好用."
华为,2021-08-01,5,不断改进和升级，用起来也越来越方便。
华为,2021-08-01,5,还不错啊，活动很多 优惠，电信用起来不错，支持支持
华为,2021-08-01,5,查话费、查流量、交话费都可以在APP里自己操作，方便实用。
华为,2021-08-01,5,电信的网挺好用的，就是比较贵。
华为,2021-08-01,5,软件很方便，交话费办业务改套餐都可以，随时随地都能办，再也不用去营业厅排队了，赞！～
华为,2021-08-01,5,升级到9.0版本，界面比以前更加详细了，一目了然！
华为,2021-08-01,5,实实在在好用，界面设计新意，模块版面突出
华为,2021-08-01,5,新版本界面清晰，查流量话费方便快捷，操作方便。很棒！
华为,2021-08-01,5,这么多年一直用电信营业厅APP，办理业务方便快捷。
华为,2021-08-01,5,非常不错的软件，反馈很方便，话费查询充值还有业务办理都很方便
华为,2021-08-01,5,很好用，很实用，查询业务电话都方便。
华为,2021-08-01,5,一直用的电信哦，手机营业厅真的很方便的，充话费也有优惠，办理业务什么的完全没有问题，可下！
华为,2021-08-01,5,最方便的是查询自己还有多少语音时间，多少流量可用，而且有免密登录功能！
华为,2021-08-01,5,好用，优惠多多，随时可以看话费余额，办理业务也比较便！
华为,2021-08-01,5,这次更新的功能越来越多越好，加油，中国电信
华为,2021-08-01,5,app很便捷，办理业务不用再去营业厅了。我用这个已经3年，页面不断升级，功能不断完善，操作便捷，愿越来越好！
华为,2021-08-01,5,非常好用，免去了线下营业厅的麻烦操作，直接足不出户就把相关业务办理了，希望继续保持！！！
华为,2021-08-01,1,这个9-0版本的不怎么样！颜色  字体等中老年人看不清楚，字又太小！还不如原来版本的好呢！希望尽快改版升级！
华为,2021-08-01,2,越更越不好用，签个到就签不了能退回原版吗
华为,2021-08-01,1,电信系统崩塌了吗？怎么不显示话费余额和流量余额啊？
华为,2021-08-01,5,界面新颖，访问速度很快，功能强大。
华为,2021-08-01,5,升级页面更美了。。哈哈哈
华为,2021-08-01,1,不好用，总是数据显示不出来
华为,2021-08-01,5,非常好，页面简单流畅
华为,2021-08-01,5,这个应用非常棒！随时查询消费明细，还有很多优惠！
华为,2021-08-01,5,除了有的时候会卡以外没有太大问题，福利比较多
华为,2021-08-01,1,为什么更新了以后查不到剩余流量和话费了？
华为,2021-08-01,5,更新后的电信营业厅，显示更完美，不卡顿，很好很流畅哦！
华为,2021-08-01,5,不错。。更新后信息显示全面。
华为,2021-08-01,1,卡的要死，怎么用，我想问问。
华为,2021-08-01,2,页面打开很慢很慢，烦死了！
华为,2021-08-01,5,界面更加友好，功能更加丰富！
华为,2021-07-31,5,好用，优惠很多，很方便，不错
华为,2021-07-31,5,升级之后页面焕然一新，比之前好的很多，会自动推荐需要的流量包等等，还会推荐很多福利活动，很满意。
华为,2021-07-31,5,这款软件很好用，办理业务也很方便，界面清晰好用
华为,2021-07-31,5,这次9.0版本非常好用。界面简单明了，能一眼就看到目前的优惠活动。同时颜色布局也很喜欢，整体用起来感觉非常好。
华为,2021-07-31,1,根本无法登陆，真不知道给五星的是怎么想的
华为,2021-07-31,5,实在太方便了，板块很新颖，服务周到，功能强大，方便快捷，办理业务不需要去营业厅办理，手机营业厅操作方便快捷。
华为,2021-07-31,5,实在太方便了，板块很新颖，服务周到，功能强大，方便快捷，办理业务不需要去营业厅办理，手机营业厅操作方便快捷。
华为,2021-07-31,5,这款软件很方便，交话费很快还可以很快的订流量包啥的，客服也很积极，还可以查看实时话费流量。
华为,2021-07-31,5,有很多抽奖活动，很好！App使用流畅，界面简洁，功能强大。
华为,2021-07-31,5,好用，方便，福利多，查流量查话费，轻轻松松。
华为,2021-07-31,5,界面清晰，内容丰富，很容易找到想要的内容
华为,2021-07-31,5,这次9.0版本非常好用。界面简单明了，能一眼就看到目前的优惠活动。同时颜色布局也很喜欢，整体用起来感觉非常好。
华为,2021-07-31,5,办理业务，查询套餐余额非常方便，还有各种活动，赞一个
华为,2021-07-31,5,查话费流量，办理套餐，升级套餐很方便，经常有充值活动，值得拥有！
华为,2021-07-31,5,可以的，还不错，挺好的，特别方便，随时随地享受服务
华为,2021-07-31,5,该有的功能都有，界面也很简洁，很好用的
华为,2021-07-31,5,很好用 查流量话费查询办理业务很方便
华为,2021-07-31,5,"非常好用,可以查流量和余额,办业务也方便。"
华为,2021-07-31,5,用起来很方便，优惠活动多，功能越来越多，基本不怎么需要去营业厅办理服务，
华为,2021-07-31,5,使用体验很好，现在的各种功能，用着方便，快捷，查询结果清楚，有问题找在线客服方便，活动优惠也不少！
华为,2021-07-31,5,这次更新实在是太棒了，画面简洁明了，办起业务来很方便，感觉以后都不用去营业厅了呢👍👍👍
华为,2021-07-31,5,自从有了这个电信营业厅，查询话费查询余额还有办理业务都方便多了，不用像以前那个还要打客服电话问。推荐大家使用，真的很方便！
华为,2021-07-31,5,挺方便的实时可以查看话费 许多功能还可以不用在营业厅办理了
华为,2021-07-31,5,这次电信营业厅升级后，体验特别好，功能更强大了！！
华为,2021-07-31,5,中国电信营业厅服务很好，里边办业务非常的方便，能够使我及时得到自己需要的相关信息，还有很多的优惠活动，得到真正的实惠
