Src,Time,Rank,Val
华为,2021-09-27,1,就无语，一星都不想给，想搜的搜不到，不想搜的出一堆，一点都不好用！！！
华为,2021-09-27,1,强制扣费，广告太多
华为,2021-09-27,2,怎么回事，为什么问一问提问不了问题了，变界面了，根本就收不到回答，只能用钱买才能一对一回答，烦死了
华为,2021-09-27,1,莫名其妙，啥也没干被封号两年。
华为,2021-09-27,1,网络大神你有百度的吗，更新让人很头疼，天天更新，不是更新路上就在更新。
华为,2021-09-27,1,输入链接 正在搜索请稍候，请检查网络。懂的都懂
华为,2021-09-26,1,啥玩意儿，没用，啥都搜不了，馿唇不对马嘴，差评！
华为,2021-09-26,1,我搜东西一直给我显示黑屏
华为,2021-09-26,3,确实，就是小说不行，其他都好
华为,2021-09-26,1,语音打字完全不对
华为,2021-09-26,1,网不好，太卡了，搜不出来
华为,2021-09-26,1,小说畅读模式太恶心了
华为,2021-09-26,1,所答非所问，回答的东西总是驴唇不对马嘴
华为,2021-09-26,1,为什么明明有网还显示网络加载失败？换了流量也不行？
华为,2021-09-26,2,不太好，今天我一进去，随便点一个资讯就黑屏，点一个视频只播放音乐，无论怎么重启都一样，出bug了？
华为,2021-09-26,2,"只能说用的时间长了吧。
本来想用这个看看新闻之类的，总是弹出视频，还关不掉。
看听模式总是会莫名其妙打开，经常吓人一跳。
最离谱的是夜间模式也做不好，看来是时候该换软件了。"
华为,2021-09-26,5,非常的好用，跟老师讲的答案几乎一样。
华为,2021-09-26,1,改个名字还得下个app，真恶心，而且还一堆广告
华为,2021-09-25,1,小说畅读模式能不要一直出来吗，那个叉是摆设吗，明明点了叉也进入畅读模式，恶心玩意，
华为,2021-09-25,5,你们网不好哦！怎么可能查不到资料😂
华为,2021-09-25,1,不好用，有些东西搜不到，有时候还自动退出了，简直有问题，太差了！！！！
华为,2021-09-25,2,想搜的东西几乎都搜不到
华为,2021-09-25,4,除了下载有点慢之外，其他都挺不错的
华为,2021-09-25,1,现在关注都点不开，犯病了吧
华为,2021-09-25,1,搜个书都搜不到，就这还叫百度吗？搜到哪都有广告，真的就离谱，为什么没有人能修复一下呢？
华为,2021-09-25,1,太卡而且有的还搜不到！不好用！
华为,2021-09-25,1,看小说总是闪退是怎么回事，有时候甚至打不开小说界面
华为,2021-09-25,1,真的是越来越差了，广告无缘无故弹出来，开着流量搜也不行，一直在那个画面，还一直显示您的网络在开小差。无语了，一颗星都不想给。
华为,2021-09-25,1,新版本一点都不好用，看小说都连接不上，不在网页，百度网盘下载小说也要数据线才能打开，以前旧的好用多了，不能回到旧版本？无语
华为,2021-09-25,1,"这个应用现在有个很明显的缺点，喧宾夺主。
下百度当个搜索引擎用就好了，百度首页推荐的文章通通别信！通通别信！通通别信！
搜索某个信息或关键词时首先跳出来的绝对是广告，有时候广告甚至能铺满一整页！
而且百度百科的词条有时也会被有心之人给恶意修改，用的话当个搜索引擎用着还凑合，其他功能别碰就行"
华为,2021-09-25,2,搜东西还是能搜到的，但是有些点进去跟内容完全无关，还是会有广告（之前反馈过），查一些资料，有些点进去，不知道碰到哪就让下载东西。希望解决一下😊
华为,2021-09-25,1,臃肿，响应慢，推送内容质量低
华为,2021-09-24,1,首页推荐就不能给个关闭选项吗？就不能开个青少年模式吗？
华为,2021-09-24,1,服了，点了半天点不开，加载完还是那个界面。无语
华为,2021-09-24,1,有其他浏览器打不开，说需要用百度，结果还是不行
华为,2021-09-24,5,好评，经常会使用。
华为,2021-09-24,5,说进不去的人只能证明手机配置不好。
华为,2021-09-24,1,如果下载可以快一点的话，那就不错
华为,2021-09-24,4,可能是用这个用习惯了，用起来还挺顺手，就是一到晚上就有点卡顿，一直加载不起挺烦的其他的都还好吧
华为,2021-09-23,1,你自己想搜的东西根本搜不到全都是无关紧要的
华为,2021-09-23,3,下载视频一直失败什么原因？
华为,2021-09-23,1,我去搜跳长绳，他给我来个跳绳，作文完全不一样。跳长绳，他是两个人旁边甩。而跳绳他是一个人在那边跳。这两者都会给我弄错，真服了。
华为,2021-09-23,1,卡死了资料查不准
华为,2021-09-23,1,卡死了资料查不准
华为,2021-09-23,3,有一点点不好用，就是有一些卡，可是总是出广告。
华为,2021-09-23,4,建议适配鸿蒙系统
华为,2021-09-23,1,解压的时候能在慢点吗
华为,2021-09-23,5,这个软件本身没有问题，想想你们查询时有没有少写关键词。还有说广告多的，哪个软件没广告啊？他们不赚钱，等着饿死啊！理智点吧！！！
华为,2021-09-23,1,怎麼老是卡？？？卸載在下也是一樣
华为,2021-09-23,3,为什么没有防火墙？
华为,2021-09-22,1,乱七八糟广告一大堆
华为,2021-09-22,1,我没有升级就看不了我的历史记录和搜索关键词的提示了
华为,2021-09-22,1,一星都不想给。首先，搜索显示的网页点进去过一会加载出十几个甚至几十个快应用，需要点很多次才能退出来；再者，不小心点到PDD广告，直接给我手机点中毒了，卡在一个网页后退不出来，给我心态搞崩了，重启了才退得出。百度越来越差，广告越来越多。无语了。评论后就删除，再见！
华为,2021-09-22,3,bug一大堆，而且搜索历史也不能设置，我的搜索历史莫名其妙没了根本点不了，以前都好好的现在越来越不行，卸载也卸不掉
华为,2021-09-22,1,好卡，经常闪退。一颗星也不想给。
华为,2021-09-22,2,策划客服官方，李总看看这里吧，您左划返回能不能整个右滑进入啊，真的太鸡肋了这个功能，看着看着就滑没了，离谱
华为,2021-09-21,1,搜个东西，铺天盖地的广告，根本就找不到答案，现在的拍照搜索还不如没有你拍的再清楚，他也能给你弄出另一个东西
华为,2021-09-21,1,查锁屏怎么解锁？就给我出一个其他手机的？手机根本不匹配好吧(；一_一)…
华为,2021-09-21,1,我不想看那个广告总是放
华为,2021-09-21,5,（我不是官方请来的）软件很好！还能搜题，各种信息一搜就有，非常好用
华为,2021-09-21,3,作为搜索引擎还是比较不错的。个人的建议：在举报的项目里加入一条“科普信息不准确”或者“内容存在误导性”。希望能尽快更新
华为,2021-09-21,3,挺好的，就广告多。
华为,2021-09-21,1,差评，完全跟以前的百度不一样了，全是广告
华为,2021-09-21,1,(◉㉨◉)  层层深入的设置门槛，自我满足的权限允许，你到底是什么
华为,2021-09-21,1,迷了，连着WIFI看小说，说网络未连接，笑死人了
华为,2021-09-21,1,根本搜不到想搜到的东西。
华为,2021-09-21,1,真好用，广告超多
华为,2021-09-21,1,总是弹出广告，烦死了，百度变了，再也不是以前的那个百度了。
华为,2021-09-21,1,动不动就弹出广告？太烦啦
华为,2021-09-21,1,老是弹出广告，然后就是搜题搜不出，然后这个搜题老师说没有看清重拍重拍，很烦，差评太差了
华为,2021-09-21,2,抱歉很差好吧，卡死了。时不时都会弹出广告。
华为,2021-09-21,1,好多东西都搜不到，一颗星都不想给
华为,2021-09-21,1,一点也不满意，老是弹出广告
华为,2021-09-21,2,看个小说都说我网不行？
华为,2021-09-21,2,里面广告太多了，还有一些不良信息，有时还卡顿，闪退，进都进不去，还有里面的资料有些是错的，加载有时候也加载不出来。
华为,2021-09-21,1,一颗星都不想给，我百度账号无缘无故实名，百度闪付也多出来了一张百度闪付卡也无法注销，他给的热线电话是骚扰电话，想注销害怕个人信息泄露，我也不敢注销，建议不要注册百度账号。
华为,2021-09-21,1,每次点进小说都看不了！
华为,2021-09-20,1,为什么复制什么都要VIP。。
华为,2021-09-20,1,不登陆什么也没有，恶意收集用户隐私信息
华为,2021-09-20,1,以前有问必答，现在全是广告。这还是以前那个百度吗？
华为,2021-09-20,1,网页打不开要插件，插件还安装不了
华为,2021-09-20,1,什么时候能移除来自“用户信息不存在”的用户和“百家号”的关注啊；能增加一个“不准关注”的设置吗？或者“关注同意申请”？
华为,2021-09-20,1,好多广告，回答的问题也常常错误，答非所问
华为,2021-09-19,2,越更新越难用，现在的搜索功能更新成啥样了，越整越不方便，多此一举，拜托
华为,2021-09-19,1,"加载等了无数小时，第二天一看，没了
卸了再见"
华为,2021-09-19,2,我要搜索Valve Hammer Editor的主页和迷你世界的房间存档有什么区别？，他就搜索出那些别人玩迷你世界的视频。差评！！！
