Src,Time,Rank,Val
华为,2021-09-28,1,这个百度默认语音怎么变成这个样子了，难听死了
华为,2021-09-28,1,上次差点把我导了桥桥洞下的沟里，到了跟前啦还告诉我右转，右转就掉沟啦，我直接直行啦，乡村道理一点也不行！
华为,2021-09-27,3,请问有深色模式吗
华为,2021-09-27,1,跟着导航走喜提第一张罚单
华为,2021-09-27,1,太差了，有近路不导，非要导远路，
华为,2021-09-27,3,本来用着不错的，昨天发现，打车只有首汽选项，计价出租车不能选，啥情况？？？果断解绑卸载了
华为,2021-09-27,1,更新了15.9.0.1096版，老是说什么USRAUE。这个是什么意思？
华为,2021-09-27,2,本来我一直很信赖的导航，这次我用了两次导航都不准，地址为何不对？郁闷！
华为,2021-09-27,1,道路拥堵情况不准确。
华为,2021-09-27,1,每次都是信号弱，不管是空旷还 城区，我还能说啥呢，到底你们的问题还是我的问题，幸亏不是上高速，不然出事第一个起诉你们平台
华为,2021-09-27,2,喝喝，两星都要给多了，明明有更省钱的方案就是不推给我
华为,2021-09-26,5,第一次用导航的软件，感觉还不错
华为,2021-09-26,3,请抓紧更新高德地图最新更新功能。
华为,2021-09-26,2,"1.一打开就降亮度，搞不懂为啥，手机也没没发热。
2.被限网速，用其他app我5g网速都能跑满，但是这每次缩放个地图都得加载半天，网速基本不超过1m/s，经常性几十k每秒。"
华为,2021-09-26,4,汽车版比这款还大，在好多车机上无法正常运行。
华为,2021-09-26,1,打个车等了20多分钟，还没来。预计等待时间一直在变长。还不让取消，取消还扣钱
华为,2021-09-25,2,卫星图层没有以前清楚了，而且是好几年以前的了
华为,2021-09-25,1,不满意，为什么要开通免密支付？
华为,2021-09-25,1,信息更新太迟，不全面
华为,2021-09-25,1,五分钟的路花三十分钟
华为,2021-09-25,1,不止一次乱导了，总是按照路线眼看要走到目的地，突然自己的位置就飘远了，怎么走都走不到目的地去，今天早上要不是碰见好心阿姨带我，我连考试都错过，在平地也能出这种问题真是想不到
华为,2021-09-25,1,延迟的不是一点半点，没法掉头了才来一句偏离路线，指路指的一言难尽呐
华为,2021-09-25,3,希望百度地图导航更准确一些，躲避拥堵选择最近路线，打车驾车更方便，节省时间！导航数据路线更新快一点，尽快开发百度打车服务
华为,2021-09-24,1,步行导航为什么都是按机动车道路，而不按照步行的实际路线导行？
华为,2021-09-24,1,地图，搞得太，长了，乱，导航，每次都到不了目的地，建议修改
华为,2021-09-24,3,不太精准，会带错路
华为,2021-09-23,4,导航道路没有途径服务区的点击显示，很少用的打车的点击标识倒是有
华为,2021-09-23,1,雷达模式导航为什么不累计导航公里数了？
华为,2021-09-23,2,测速不准 车子明明跑了80km  地图却显示30多km什么意思啊
华为,2021-09-23,4,导航切后台后桌面小窗怎么没了？我记得上一个版本有的？
华为,2021-09-23,1,十六公里的路导出来二十六公里，足足多了十公里，指针更新慢方向不准，绕路，导出来的都是烂路烂路
华为,2021-09-23,1,不满意，太差了，乱指路
华为,2021-09-23,2,手机版百度地图不能连接到车上，太遗憾了，百度地图中的车机连接也行不通！
华为,2021-09-23,3,无车族，每次都要多点一下，而且也白耗算力。能不能加个出行方式设置，或者智能一点做区分。
华为,2021-09-23,2,卫星地图图层用的至少5年以前的图。很多东西找不到。
