Src,Time,Rank,Val
华为,2021-09-27,1,为什么下载的没有乘车码的
华为,2021-09-27,3,华为鸿蒙智慧助手里的常驻服务，不支持腾讯地图快捷服务，希望尽快改进
华为,2021-09-27,1,一公里的路程导了十公里，人都崩溃了
华为,2021-09-27,3,滑动地图的时候非常卡顿，帧率估计只有30帧，这手机里其他软件都是90帧拉满，丝般流畅，就你们腾讯地图卡卡的，希望能适配优化一下。
华为,2021-09-27,1,不是说好的北斗定位吗？咋个最后还是GPS
华为,2021-09-27,2,为什么用腾讯地图发送到汽车功能。提示没有支持的车型。我的车有搭载“腾讯车联”系统，为什么不行。搞不懂。微信小程序里面就可以发送位置到车。这个问题能解决能解决一下吗？不然就要卸载腾讯地图了。
华为,2021-09-27,1,越更新越差打开了输入地址的时候很难显示出来，要等半天一直都提示正在加载，不像高德一样立马就能出来
华为,2021-09-26,1,更新后找不到乘车码了！
华为,2021-09-26,1,为什么实时公交不显示了，以前一直显示的顺27路公交车等小公交，现在居然说未开通实时公交，更新以后就这样了，望抓紧解决！
华为,2021-09-26,2,不是说有街景地图吗？我怎么找不到，是不是骗人的？
华为,2021-09-26,1,加一个GPS北斗卫星🛰️定位
华为,2021-09-26,3,总是绕远路，有些路还不通的，别再带我绕远路了!
华为,2021-09-26,2,差劲，明明选择的是不走高速，导航还是夹带不少高速路
华为,2021-09-25,5,挺好用的，公交实时暴
华为,2021-09-24,4,mate40  最近怎么老是闪退 卡顿呀
华为,2021-09-24,2,没看到路口放大图和实景图
华为,2021-09-23,2,我是看广告来的，先用用再评定，希望广告不要太多，能比高德好用并有清晰的街景地图
华为,2021-09-23,1,我很无语，它让我绕着一个地方绕了三圈，我很生气，给我的体验感太差了，我想以后都不会用这个了
华为,2021-09-22,4,华为智慧助手停车功能不支持使用腾讯地图导航找车，赶紧联系处理呀，太欺负人了😂
华为,2021-09-21,1,"卡死了,一点也不好用！"
华为,2021-09-21,1,有没有货车导航功能
华为,2021-09-21,2,页面响应慢，卡顿严重
华为,2021-09-21,3,什么时候恢复街景模式
华为,2021-09-21,1,我导航11路车，到地方一看9路，气死我了。我找了半天很浪费时间的。
华为,2021-09-21,1,虚假宣传，没有看到街景，不能用就不要还在广告里宣传。
华为,2021-09-20,1,地图太老了，两三年没有更新是吧
华为,2021-09-20,5,现在有了腾讯地图真的太方便了，让老年人去哪儿都能找到，真的太棒了，谢谢网络平台，网络时代太好了。谢谢平台
华为,2021-09-20,1,我导个航2公里的路，硬生生让我走了10公里还去不了前面是一堵墙？！
华为,2021-09-20,1,就那个步行，实景导航，想让我穿墙吗？那个导航给我导到墙里面去了，拜托，我没有闪现，不能穿墙😅
华为,2021-09-20,1,"路没修好就让我走，大晚上的旁边也没路灯，旁边都是荒废的荒郊野岭，一个人也没有，走到没路了还让我左拐，旁边都封的死死的下都下不去。还有一个疯子，是真的疯子，跟丧尸一样。况且我们俩还是两个小姑娘。用个你们的地图差点没给我交代在那！！我们也不是在郊区啊村里啥的，就在市区里，繁华的市区让你找到这么一条路让我们走也是挺不容易的

也不止一次的分明直走让我右拐，右拐了说我偏离航线让我掉头！！！差评差评。我们信任你们才用你们的地图，你们就这么"
华为,2021-09-20,1,我奔着街景来的，没想到没有了太失望了
华为,2021-09-20,2,居然没有摩托车导航
华为,2021-09-20,1,不行货车没有，短的东西太多，不能用
华为,2021-09-20,3,说有实景导航，下载了却没有，无语了。
华为,2021-09-20,4,希望以后有骑行路书，可以组队俱乐部，像行者一样就好了。
华为,2021-09-19,5,怎么没有足迹呀？有多好啊，可以记录下来自己走过的路
华为,2021-09-19,1,街景地图根本没用，放大后就显示该地区没卫星图片
华为,2021-09-19,2,太坑了，我把往小路带，还是那种破破烂烂的小路，然后翻车了😭😭😭。
华为,2021-09-19,5,新版腾讯地图超级好用。
华为,2021-09-19,3,一个不存在了的点在地图上显示来来回回让我绕了三圈😭地图更新一下吧
华为,2021-09-19,4,切换出行时间去哪了？更新完找不到了，捉急
华为,2021-09-19,1,就是，不知道路别瞎导航啊。为了一个地方给我转三圈。到的路线。根本没法小车进入
华为,2021-09-19,3,请保留旧版本的街景地图，可以帮助更多人看到旧时光
华为,2021-09-19,4,街景什么时候上线？
华为,2021-09-19,3,街景什么时候才能上线啊！
华为,2021-09-19,4,有很多旅游大巴车和大货车，需要限高路线提示，交通事故我都见过好几次，如果有这个功能就好了，唉
华为,2021-09-19,4,挺实用的，就是广告多了点。希望减广告量
华为,2021-09-19,5,咋看不到街景地图
华为,2021-09-19,3,高速导航怎么只提示下一个服务区，高德导航都有同时显示二到三个服务区，这样长途驾驶才能更好，提前选择到那个服务区休息或加油。
华为,2021-09-18,2,最新版没有街景地图了，不爽！如果近期不上线街景，这个地图也就没有什么实际意义了……
华为,2021-09-17,1,街景怎么没有了，下载你们地图就是为了有街景，没有街景就不用了
华为,2021-09-17,5,超级超级好 只要有了腾讯地图哪怕是开车去偏僻的地方玩也不害怕迷路 每一条路都有的  亲身体验过 超级超级好
华为,2021-09-16,5,要是有摩托车导航功能就好了！其他导航地图都有专用的摩托车导航功能，你们就开发不出来吗？
华为,2021-09-16,5,什么时候可以支持暗黑模式
华为,2021-09-16,1,限速不提醒，我被罚超速了。
华为,2021-09-16,1,地图是五年前的简直无语
华为,2021-09-15,1,街景怎么没有了差评
华为,2021-09-14,5,希望能恢复街景地图
华为,2021-09-14,3,为什么总显示卫星信号弱，导航不同步
华为,2021-09-14,1,我真的服了这什么破导航，直行道给我弄个右转还偏离路线
华为,2021-09-13,1,"我搜索对了，但是导航的路线显示是错的。
相差20公里，害我走了20公里路。"
华为,2021-09-13,4,都没有街景了   真可惜
华为,2021-09-12,1,起点和终点距离太近就不能导航。。。
华为,2021-09-12,3,什么时候可以增加Hicar支持呢？
华为,2021-09-12,5,街景赶紧恢复过来
华为,2021-09-11,1,"乘车码经常打不开，急着赶路，死活扫不了码。
参加个活动，还得微信和地图来回跳。"
华为,2021-09-11,1,定位不准。语音包还总是显示选择错误
华为,2021-09-10,1,我人在上海，谁要搜寻下别的城市的地点缺只能搜寻上海的
华为,2021-09-09,3,除了定位不准之外，导航功能还可以。
华为,2021-09-08,1,活动做不起就不要做，什么一分钱乘车，还有什么优惠券  根本就扫不上，还不够费劲的了
华为,2021-09-08,2,没有街景功能了就没有优势了
华为,2021-09-08,2,什么时候支持华为hicar智行
华为,2021-09-06,1,定位错误，差了2公里
华为,2021-09-06,1,之前用的好好的，现在闪退，进不去
华为,2021-09-06,2,明明新增地点并显示已上线，但是地图上就是没有……？？？
华为,2021-09-05,5,给你个五星吧，虽然你的水平离五星差的远。全国所有的地图都没有显示指定点海拔显示的，类似Google地球海拔显示功能，腾讯能不能做一下。
华为,2021-09-05,1,我在成都，定位一直在老家，啥玩意啊，
华为,2021-09-05,5,必须恢复街景功能，而且街景千万别更新，就要老街景。
华为,2021-09-04,2,在乡镇不好用，导航带的是最难走的路
华为,2021-09-04,2,3D视角麻烦优化下平滑旋转吧，原地转个圈界面一卡一卡的
华为,2021-09-04,1,那我和位置跟要去的位置完全不符合。导航位置完全错
华为,2021-09-04,1,我是冲着北斗来的，居然只能导航到乡镇根本收不到村道，既然打着北斗的名号，可千万不要玷污了。
华为,2021-09-03,1,什么时候更新卫星门图
华为,2021-09-03,1,本来是向右拐，导航让我向左拐 本来是往前走，导航让我往后退
华为,2021-09-03,1,动不动就黑屏，服了
华为,2021-09-03,1,该优化一下地图及使用方法了吧
华为,2021-09-02,5,恢复街景地图请保留旧版街景，都是回忆啊
华为,2021-09-02,1,商铺搬迁了，在APP里面反映后，说是同步至工作人员了，第二天起来居然显示我留的电话号码打不通，无法取得联系，关键是根本没有人联系我，位置也还是原来那个，哪怕你改了之后不通知我也行啊，位置不改，又不联系我，然后反馈页面直接显示无法取得联系
华为,2021-09-02,4,为什么最新版本没有AR导航选项？
华为,2021-09-02,1,有时候还黑屏退不出去，服了
华为,2021-09-02,5,悄悄的问一声，腾讯地图中的“打车“中为什么没有“预约“项？
华为,2021-09-01,5,路线截图功能很棒
华为,2021-09-01,4,建议增加专门针对摩托车的导航系统
华为,2021-08-31,3,街景地图怎么没有了
华为,2021-08-31,2,我想问问开发者三天两头更新是啥意思？
华为,2021-08-31,3,为什么看不了街景
华为,2021-08-30,3,卫星地图放大了就根本看不清楚，和宣传的差距太大了。
华为,2021-08-30,1,突然桌面上没有腾讯地图的图标了
华为,2021-08-29,2,山区都没有卫星图，广告这么好听，都骗人
华为,2021-08-29,3,自驾车怎么不显示具体收费呢
华为,2021-08-29,2,出行时加载不出来，老白屏，它老说是网络的问题，但我用别的地图平台也没说是网络的问题
华为,2021-08-29,1,搜不出地点我是真服，许多都没有在地图上
华为,2021-08-29,3,什么时候恢复街景？
华为,2021-08-29,1,能不能别打假广告？卫星地图根本看不清楚，放大就没有。
华为,2021-08-28,5,有实景导航非常好
华为,2021-08-28,1,不满意，根本看不清
华为,2021-08-27,4,为什么卫星图片不如网上的视频清晰呀？也不像视频中那种可以随便调换位置的，360度无死角看的那种
华为,2021-08-27,4,强烈要求增加“测距”功能，和世界地图
华为,2021-08-27,3,有时这导航导的糊里糊涂，真是摸不着头脑
华为,2021-08-27,2,放大后显示此区域无卫星图，放小后又看到了，但是看不清。
华为,2021-08-26,1,等待恢复街景，恢复街景！！！
华为,2021-08-25,4,希望以后更多语音包
华为,2021-08-25,1,卫星地图是几年前的，没有更新
华为,2021-08-25,3,街景什么时候上线
华为,2021-08-25,1,什么是面向河边，直行100米！？
华为,2021-08-25,3,定位太差，相差太大，每次打开都提示新版，
华为,2021-08-24,4,货车导航应该彻底加以改进，哪个地方限行，限高都应语音提前提醒！总体来说导航还是不错的，但是还要精益求精。
华为,2021-08-23,4,说实话，没有广告上的那么神，但是，记录的还挺精确的，居然连我们家的电都可以显示出来，这在别的地图确实做不到，可以看得出，官方还是很用心的，给个四星吧
华为,2021-08-22,1,咋没货车导航？？？
华为,2021-08-22,1,店面位置错误反馈多次没用，新增店面位置一直不增加，一直很无语。反馈问题显示已处理，十几天了一直都没修改。跟百度地图高德地图服务差太多了，百度地图高德地图基本上24小时能处理。真的一颗星都不想给。
华为,2021-08-22,2,太烂了，还是十年前的老地图，并且不清晰。马上卸载算了
华为,2021-08-22,3,街景怎么没有了？以后还会有吗
华为,2021-08-22,5,有些地方信号好，也更新不了 希望改进
华为,2021-08-22,1,卫星地图是几年前的了
华为,2021-08-22,3,建议把语音包弄多一点，增加乐趣，另外提升语音包的音质和清晰度，隔壁某德导航语音包都很多，很有乐趣，腾讯地图也要加油啊，支持
华为,2021-08-21,1,没有抖音上介绍的AR驾车导航的功能！没星
华为,2021-08-21,4,还可以吧！就是没有景区VR。
华为,2021-08-21,1,现在实时公交都没有，以前还有公交到站时间，现在啥也没有了。升级一次差一次，啥都没有以前好。定位也不准，升级一次内存又大一次，而且没有用。
华为,2021-08-20,4,把街景地图上线了，速度
华为,2021-08-20,2,"微信地址无论怎么纠错
，导航总是导到小区后面的小路上，不导到大门口。"
华为,2021-08-20,1,不好用，定位不准确，相差很远就导完了
