Src,Time,Rank,Val
华为,2021-09-28,1,华为账号不能登录下来干嘛
华为,2021-09-28,5,支持，这是腾讯迈入鸿蒙的第一步
华为,2021-09-25,3,为什么现在这些软件都要植入广告，做纯净的软件不行嘛，看到那些乱糟糟的广告真闹心
华为,2021-09-21,2,新闻质量越来越差，推销广告越来越多
华为,2021-09-21,5,mate20Pro为啥还没有鸿蒙版的
华为,2021-09-16,5,腾讯新闻率先推出鸿蒙版，就冲这个也要支持一下。
华为,2021-09-13,1,系统更新后莫名其妙被安装
华为,2021-09-10,1,无法屏蔽那你出这个屏蔽减少推荐这个功能干嘛？
华为,2021-09-10,2,一直闪退，不知道你们这是什么情况
华为,2021-09-08,3,点体育赛程里的赛事点不进去啊
华为,2021-09-07,1,不给说真话！说真话的评论都给屏蔽了！！！！！
华为,2021-08-31,5,希望增加华为鸿蒙平行视界的支持
华为,2021-08-31,1,我的帐号怎么还自动退出啊
华为,2021-08-31,1,一天到晚要求登录账号，刚发评论登录完看下个新闻又让登录，回复下网友也是让登录，一直重复在登录账号，一晚上登录十三次
华为,2021-08-31,1,我的评论，我的赞，我萌宠的豆豆，金币全被清零了，啥意思啊？
华为,2021-08-30,1,总是在加载中？？
华为,2021-08-27,1,两天内更新三次，太烦人了吧……
华为,2021-08-27,3,已经开了流量，却加载失败。
华为,2021-08-26,2,我的为什么总是闪退
华为,2021-08-26,1,这个没有鸿蒙特性，怎么进到鸿蒙推荐应用列表的？
华为,2021-08-26,1,这个没有鸿蒙特性，怎么进到鸿蒙推荐应用列表的？
华为,2021-08-23,3,新闻内容还可以，而且还能领取金币赚点钱，但是每次点东西都能弹出这个新闻广告来也太烦人了，广告植入怎么这么多？？
华为,2021-08-22,2,图片模式流量消耗也很快
华为,2021-08-20,2,为什么自动更新后自动给我下载了这个？
华为,2021-08-17,2,开屏广告什么时候能取消
华为,2021-08-17,4,为什么我的腾讯新闻有2.26G这么大！
华为,2021-08-16,2,1.适配鸿蒙系统的热点榜卡片打开来看某条新闻后会出现闪退。2.看完新闻后回退不能返回热点榜，只能回到首页。
华为,2021-08-14,4,希望体育赛事加一点
华为,2021-08-10,5,最好不要推荐明星类新闻，看到这些明星类新闻就烦，不想看明星类的东西，为什么还要推荐，
华为,2021-08-07,3,标题党，假新闻广告占95%以上，优点就是参与人特别多，信息源源不断，真假自辨。
华为,2021-08-02,3,删掉了，删掉，这么久都不出鸿蒙版，腾讯系这么久都不支持鸿蒙系统，什么时候出鸿蒙装版就下载了用了
华为,2021-07-31,1,广告太多了，开机广告，锁屏重开又有广告
华为,2021-07-30,5,好家伙，含Harmony OS服务
华为,2021-07-30,5,好家伙，含Harmony OS服务
华为,2021-07-28,1,优化的小双框的新闻看着太难受了，能不能改回之前的界面
华为,2021-07-23,2,软件倒是没有闪退，就是账号怎么自动掉线！奇了怪了
华为,2021-07-23,1,开软件竟然还有广告。恶心了。
华为,2021-07-14,3,为什么小号字体变得那么大了，和我以前选择的小号字体相比变大了，很不舒服，我很不习惯！
华为,2021-07-09,4,更新出bug了？日间模式和系统的夜间模式冲突了，文章内容是白的，其他都是黑的
华为,2021-07-08,1,取消了视频的倍速功能？！
华为,2021-07-04,2,夜间模式为何无法跟随系统外观了
华为,2021-07-02,1,新闻不让评论，那我看报纸岂不是更方便？
华为,2021-07-01,4,广告有点多，同时啥时候出鸿蒙版～
华为,2021-06-24,1,大多是合作的自媒体发表的过期、抄袭的文章，腾讯新闻越来越次了！！！
华为,2021-06-24,1,大多是合作的自媒体发表的过期、抄袭的文章，腾讯新闻越来越次了！！！
华为,2021-06-17,1,"广告太多，动不动就是广告，还容易误碰就弹到京东上去
差评"
华为,2021-06-17,1,"广告太多，动不动就是广告，还容易误碰就弹到京东上去
差评"
华为,2021-06-17,1,越做越差，自媒体写的错别字多不说，欧洲杯的赛制都能搞错。果断换了
华为,2021-06-17,1,越做越差，自媒体写的错别字多不说，欧洲杯的赛制都能搞错。果断换了
华为,2021-05-18,1,为什么不能设置文字模式了，强制浏览图片？
华为,2021-05-18,1,为什么不能设置文字模式了，强制浏览图片？
华为,2021-05-10,3,游戏中心又白屏了，虽然游戏礼包还可以正常领取，但是别的功能都用不了，这是要放弃游戏模块了吗？
华为,2021-05-10,3,游戏中心又白屏了，虽然游戏礼包还可以正常领取，但是别的功能都用不了，这是要放弃游戏模块了吗？
华为,2021-05-04,5,更新软件后最小化看不到画面了黑屏只有声音没有画面. 更新前一直可以的。
华为,2021-05-04,5,更新软件后最小化看不到画面了黑屏只有声音没有画面. 更新前一直可以的。
华为,2021-04-08,1,我的零钱为什么提现不出来？
华为,2021-04-08,1,我的零钱为什么提现不出来？
华为,2021-04-07,1,太无语了，明明刚刚账号绑定成功，总是显示账号失效，非的下载软件，以后我下载一次评一次，浪费手机内存。这就卸载。
