Src,Time,Rank,Val
华为,2021-09-27,1,营销工具，不可作为参考，水的很
华为,2021-09-27,4,手机上打开时间久了就卡了，点什么都没有反应，也不知道怎么回事
华为,2021-09-26,1,天下苦贝壳久已，一不小心就会授权中介骚扰。
华为,2021-09-25,1,安装了，又卸载，又安装，我其他软件都没问题就你一直显示网络有问题，我在家连接的wifi，怎么就有问题？能不能把用打广告的钱多用来把app做好？真是无语！
华为,2021-09-20,1,浏览软件就会有骚扰电话
华为,2021-09-19,5,这款软件用着很不错。
华为,2021-09-19,1,太无语了，非逼着自己去上传身份证啥的，每一步操作都那么复杂，有个支付密码，出现的键盘也不好使
华为,2021-09-19,1,登录过就打电话骚扰，绝了
华为,2021-09-19,1,我的首页根本就没有租房，全是新房什么的。
华为,2021-09-18,1,开启免打扰依旧骚扰
华为,2021-09-18,1,这个贝壳和链家一样只发布贵的房子，根本不发布便宜的房子，故意造成房价高的假象，还搞垄断，本来卖便宜房子的那些中介全都变成贝壳链家的了。房价都是被这些人炒高的。还不如自己去各大论坛发帖求购得到的房源真实
华为,2021-09-16,5,和父母住一起，想找个便宜的两室一厅，之前找到的要不很贵要不很远，在贝壳这边和销售小哥聊了一下，给我们找了一个宋家庄附近的房子，新小区新装修，年租也不贵，很满意
华为,2021-09-16,5,这个月换了工作，想着在北四环这边找个房子就来贝壳看了看，房源确实很全，在望花路这边找了个主卧带阳台，价格也比较公道，主要是销售小哥人真的很热情，看房车费活动也给报了，总体使用感受满分
华为,2021-09-15,1,很多虚标价，一千三看房一千八，一千五一千四看房一千九，挂的价根本不准，还强制要求买宽带，充电费五百傻了，最最最重要的是，找不到投诉在哪
华为,2021-09-15,5,"贝壳找房非常注重用户体验，全新版本对体验反馈模块做出升级优化，如您在使用过程中遇到问题或者不满意的地方，可直接在 APP站内提出投诉和反馈，这样处理会更及时高效，填写路径为“我的-设置-去评分""
贝壳找房的房源真实可靠，VR实景看房、地图找房让您足不出户快速找房看房!"
华为,2021-09-14,1,"谁用谁上当，租个房子1200还要服务费一千，和房东签合同之前都没说要服务费合同签完就说把服务费接一下，这就是上面发布房源的中介，还任何相关证明都没有，就说平台上标明了服务费一千，这谁顶得住，我是来找自己心仪的房子不是来花钱买教训。
找客服说他们那边查不到这个人，过了两天又说有这个人，我不知道这个客服搞出来是有什么用得。每次投诉就说记录后面给我反馈，每次都是不一样的说法，最后也跟这种黑中介一样的说法说平台标明服务费。
麻烦顶我上去谢谢！"
华为,2021-09-12,1,天天有人打电话骚扰我
华为,2021-09-11,1,假房源，中介态度差
华为,2021-09-11,1,我短租三个月，中介费收我一个月租，你们觉得合理吗
华为,2021-09-11,4,还可以，就是更新房源太慢，有的卖掉了还显示卖
华为,2021-09-09,1,不能登录是什么鬼
华为,2021-09-06,1,一点也不好，不精准，都精确不到县，一搜就是市，而且明明有很多房子都在卖，搜出来的只有两个人，信息还不完整，一点也不好用卸了卸了
华为,2021-09-05,1,千万别下载，看过之后就不停的打电话，骚扰，只能卸载。
华为,2021-09-03,1,信息泄露严重，推销房子的电话一个接一个
华为,2021-08-30,1,注册之后，一直发信息和打电话
华为,2021-08-26,1,提示证书验证失败，怎么回事
华为,2021-08-24,3,全景地图怎么没有了
华为,2021-08-23,2,泄露手机号码，中介天天打电话，怎么投诉带看的中介？app上没有可投诉的地方
华为,2021-08-21,1,真的无语，我就游览了下，就一直有贝壳的给我电话！！！，严重泄露个人隐私
华为,2021-08-19,3,咋没有上传房屋照片的入口以及租金交付方式等这些基本功能？
华为,2021-08-16,1,十之八九假房源，专业性不够，很多都是假图假房子
华为,2021-08-12,5,经纪人服务还不错，蛮礼貌的，而且中介费给我打了折
华为,2021-08-10,3,积分兑换一直不发货，客服联系不上
华为,2021-08-08,1,无语子，这个软件，看了房子就打电话给我。
华为,2021-08-06,2,楼盘的视频自动播放还没地方关闭
华为,2021-08-04,1,泄露客户信息！！！只要你浏览过，每天都会有人打电话！！！
华为,2021-08-01,1,一星，进去找不到租房子的页面
华为,2021-07-31,1,房源还可以 但是这退款也没个进度显示 十多天了也没退出来 太没效率
华为,2021-07-30,5,把之前的售罄的楼盘和已经不在卖的新楼盘，下架掉
华为,2021-07-27,3,就是感觉58更实在，更多几百的租房……
华为,2021-07-27,2,贝壳不是不收中介费吗？  为什么我找每一个都是中介呢？
华为,2021-07-20,1,房源太少了吧！！我搜索上班的地方 说一个房源也没有🙄
华为,2021-07-20,5,非常满意，今年刚从学校出来，要租房子，就在上面找房子，都是真实的房源，nice。
华为,2021-07-18,4,还不错  就是希望小区信息可以收集的更加清楚
华为,2021-07-15,1,没有租房 只有买房信息？
华为,2021-07-09,1,不好使点进去看说本地没开通服务，一个地级市没开通服务。。
华为,2021-07-04,1,麻烦你检索弄好点，想找房根本找不到！
华为,2021-07-02,2,两月前非常好用，为啥现在这么难用，VR总是点不动，或者变成灰色，啥也没有，再点就返回了，卸载重装也不行
华为,2021-07-01,5,"贝壳找房非常注重用户体验，全新版本对体验反馈模块做出升级优化，如您在使用过程中遇到问题或者不满意的地方，可直接在 APP站内提出投诉和反馈，这样外理会更及时高效，填写路径为“我的-设置-去评分""
贝壳找房的房源真实可靠，VR实景看房、地图找房让您足不出户快速找房看房!"
华为,2021-06-30,1,客服上来就骂人。素质太差。平台有责任。
华为,2021-06-28,5,目前看下来只有这个软件有真房源，但是大公司的中介费确实有点贵
华为,2021-06-27,2,贝壳退定金，为什么平台显示退了，我的信用卡账户还没有到账呢，也是服
华为,2021-06-26,1,贝壳交易流程进度太慢，一拖再拖，拖起来没完，打电话催就糊弄，不说正事。体验太差了。
华为,2021-06-26,1,你们的广告太多了
华为,2021-06-24,1,想找二手房根本不出来
华为,2021-06-24,1,想找二手房根本不出来
华为,2021-06-21,1,消息推送和推荐设置都关闭以后，还有很多推送，这个是不合规的吧
华为,2021-06-21,1,消息推送和推荐设置都关闭以后，还有很多推送，这个是不合规的吧
华为,2021-06-17,1,什么破软件，找人工客服等了二十分钟，没人理
华为,2021-06-17,1,什么破软件，找人工客服等了二十分钟，没人理
