Src,Time,Rank,Val
华为,2021-09-28,1,"如果列车时刻表没有意义，请不要放出来恶心人，写的正点到达全是晚点离谱，晚点2个多小时，坐这么多年火车没几次正常到的，不应该对这种现象进行优化吗？
听之任之就是最佳处理方式，建议追责。如有晚点必有缘由，有相关处罚给到相关人员。"
华为,2021-09-28,1,为什么退款后钱一直不到账耽误我买其他票学生又没有多余的钱买其他的票真的很烦躁
华为,2021-09-28,4,十月一在微信小程序上买的，想退票不给退，下载了以后，在里面一会就退了！👌👌
华为,2021-09-27,5,怎样把图标放于桌面
华为,2021-09-27,2,谁能告诉我为什么每次买票都显示无法查询该车次。。
华为,2021-09-27,1,我无语了自己给我的账号注销了非要我注册新账号，注册完新账号我老账号里面的候补订单都没了，钱也不给我退什么玩意客服也不理人我真是笑了呵呵呵呵呵呵呵什么破软件赶紧下架吧
华为,2021-09-27,2,之前的安卓系统用得没那么多问题，换了鸿蒙后就出现了订票bug。都是买了票后就刷不出来，退回去再买就说有订单未处理，去未处理订单查看又显示没订单。我猜这应该是鸿蒙系统的问题，希望能好好处理下
华为,2021-09-27,1,差评，铁路12306注册要不就是格式错误要不就是校验失败！！！
华为,2021-09-27,2,深夜买票，钱出去了票没到手，买的时候明明看到转车还有心仪位置，准备付钱了告诉我位置没有了随机安排了个位置，而且付完钱票根本没到手，准备重新买票，哦，系统维护，我只想知道，维护结束后能不能把票给我，或者钱退我，如果不能，那不好意思，你这个软件是真的拉胯，必须投诉
华为,2021-09-26,1,真的注册慢死了，给个验证码啥的都不行
华为,2021-09-26,1,我候补票退了，不知钱去哪里了，呵呵我是服了，是延迟还是吃了啊？
华为,2021-09-26,1,候补抢票退票之后迟迟不退钱！候补抢票抢得到抢不到也不清楚，还弄什么兑换，也没有加速，什么提醒都没有。人家都是退票钱秒到账，你这个迟迟不到账，简直是无语住了😓
华为,2021-09-26,1,候补订单为什么还不给我退呢？
华为,2021-09-26,3,"1.搜索不够智能。
我搜索从铜仁到徐州的票，显示无直达。结果输入铜仁南到徐州，就有票。应该定位地区，把该地区所有的火车站全部显示出来。
2.退票很蠢。
一次只能退一个人的票，不能同时勾选多人。一般来说，同一个订单的多位用户行程一般一样，如果退票，一起退也很正常。"
华为,2021-09-26,5,今天咋支付页面点进去是空白的？
华为,2021-09-26,1,我注册短信发了五六遍，注册不了，着急买票
华为,2021-09-25,1,你们就不能多出点票吗？邓州到南阳那么多学生就放15张票，让我们这些邓州的学生就算是单身100年的手速也抢不到呀。每次到出票的时候我就选个乘车人，然后就提示我没票了，真无语了。最最重要的是，我的手机上竟然没有后部按钮，而别人的都有，我真的怀疑我买的是一个假手机。或者你这个系统真的是有bug。
华为,2021-09-25,1,我不理解！！为啥用电脑网页版抢票一直要卡在抢票的那个点重新扫码登录 生气生气生气因为扫码没抢到票气si了的那种😭😭😭
华为,2021-09-25,1,我真是无语了！注册个号怎么这么慢！10分钟以内回复呢？！我等了半个多小时了！还让不让人注册了？我还要买票回家呢！能不能优化一下！！！
华为,2021-09-25,1,好不容易注册成功了！一离开APP就自动退出登录，我再登录就一直显示用户名或者密码错误🙃然后我就重新验证身份再登录，好家伙我一离开这又登不上去了，还给我来了个20分钟的锁定。无语死了！🙃🙃🙃🙃一颗星都不想给😡
华为,2021-09-25,1,电话号码被占用，申请找回，验证码环节直接把正确号码和身份证认为错误，这就是官方软件么，怕是有什么交易在里面吧。
华为,2021-09-24,4,怎么回事呢，自从更新了之后，怎么用起来就跟老人机一样呢，按了半天没反应
华为,2021-09-24,1,啥意思？老是访问异常
华为,2021-09-23,1,我注册不了，真是无语了，我抢火车票都抢不了。你说这软件有什么用。我还想这抢10.1的火车票呢？
华为,2021-09-23,2,"人脸识别不好用
反应慢
几天不登陆还得重新登录"
华为,2021-09-23,2,候补只能选择一个路段的，那需要转车的咋办，希望能改善一下。还有就是每次抢票都系统繁忙
华为,2021-09-23,1,为什么一到出票时间就卡住？这个软件太差了抢票转圈圈
华为,2021-09-23,5,可以人脸识别后重新注册，太好了
华为,2021-09-23,3,经常刷新不出来，显示访问环境异常，在别的安卓机上没有这个问题，需要优化
华为,2021-09-23,1,要能选没星就选没星了，太差了，客服打完就给我挂了，还未接通就给挂了
华为,2021-09-23,1,一直注册不了，说什么身份证已注册，密码也找不回，别人能用，就我用不了，打电话客服打不通，去车站问被车站人员怼，说我没注册
华为,2021-09-23,1,老是提示访问环境异常。（43003）请尽快处理一下，请重视！！！
华为,2021-09-22,1,注册账号，密码找回这一块做的太不人性化了
华为,2021-09-22,1,人脸识别不了，账号被注册，手机号找不回来，一直显示网络繁忙
华为,2021-09-22,1,为什么就是注册不了？
华为,2021-09-22,1,孩子在外地，家里人都弄不明白。还非要本人自己弄。现在网络是发达！！但是也要考虑年龄大的啊！！！
华为,2021-09-22,1,第一次注册，说我已经注册了，我的电话号码被别人用了，不说帮我找回来，让我换一个电话号码，然后我去换密码，我的证件号居然和我的电话号码对不上，搞得我还去问我妈我的证件号，最后我输的没错。用了这么久的手机，我第一次在登录注册这个地方被一个软件气到。
华为,2021-09-21,1,注册一直注册不了
华为,2021-09-21,1,我买完后刷身份证显示不通过
华为,2021-09-21,1,"这个软件做什么鬼,去注册就说注册过了,打电话给客服又不接,体验超级的差"
华为,2021-09-20,1,服了，本人电子车票用不了，人脸识别不了，真搞笑
华为,2021-09-20,2,没之前版本不好用，有些车站查询不了，还有查询不到每个到站时间
华为,2021-09-20,1,晚点也不提前通知，赶到车站才知晓晚点
华为,2021-09-20,1,为什么不能显示具体的座位信息
华为,2021-09-20,1,一直系统繁忙!差评!!!
华为,2021-09-19,1,选成了学生票，觉得麻烦想改，结果一直讲系统忙稍后再试 啥子玩意儿哦
华为,2021-09-19,1,去注册说用户名已存在 去找回密码说没有查询到对应用户的信息 用手机号码 电子邮件说找回密码失败 买个票这么难嘛
华为,2021-09-19,1,佩服一直注册不了，别人可以，我就是不行，要我重新发短信拿验证码，这个验证码一直一样，就给我卡在最后一步
华为,2021-09-18,1,自己的密码不能手机号找找回，说是手机号不对，人脸识别说是个人信息不对，是啊我的个人信息被别人注册了，帐号改了，手机号改了，密码改了，弄了半天我是外来者，又注销不了，
华为,2021-09-18,1,不属实显示正晚点信息，完全属于虚假信息。晚点情况能够理解，但虚假信息实在可恶，无参考价值。
