Src,Time,Rank,Val
华为,2021-09-27,1,地址都能录取错，中介就知道让房主降价，呵呵。
华为,2021-09-26,1,为什么能精准打电话过来，后台窃取个人隐私可耻吧
华为,2021-09-19,2,链家还不如小公司，看房麻烦，套路还多，花了好多冤枉钱，在也不进链家买卖了😭太坑了
华为,2021-09-13,1,一登录浏览房源信息就会有人给你打电话 容易泄露隐私
华为,2021-09-07,1,关注小区—新上房源—点击观看后红色提示不消失，更新几版都不改，我怎么知道又上新没有，还有小区成交记录也没有了，你们就这么整吧
华为,2021-09-03,1,老是弹一些乱七八糟的，以前那样单纯卖房子多好。越来越花里胡哨的
华为,2021-08-31,1,为什么我换个城市就没用租房了？只有卖方的选项，租房的按钮呢？凭什么换个城市就没了，体验极差
华为,2021-08-05,2,广告太多，关了也没用
华为,2021-07-26,5,真实房源，贴心服务，就是中介费有点高。
华为,2021-07-12,2,基本城市都搜不到什么破软件
华为,2021-07-10,5,该app房源很全，价格比较公道，操作便捷。
华为,2021-07-04,2,有时候打开直接白屏。需要退出才能打开？
华为,2021-06-30,3,点击保存二维码并扫描没有反应
华为,2021-06-27,2,这个软件是真的很让人心烦，VR画质那些倒是挺不错，但是点开新房，查看楼盘，想点进去看看房子那些就打不开了是怎么回事？
华为,2021-06-27,2,这个软件是真的很让人心烦，VR画质那些倒是挺不错，但是点开新房，查看楼盘，想点进去看看房子那些就打不开了是怎么回事？
华为,2021-06-03,1,根本搜不到我想去的城市，城市选择不全
华为,2021-06-02,1,那个免打扰模式为什么不能设置，点都点不了，e
华为,2021-05-08,4,为啥没有历史成交信息。
华为,2021-05-07,4,vr功能非常实用
华为,2021-05-07,4,vr功能非常实用
华为,2021-04-27,1,"小区在广东，开发商和物业公司，各类收费全都是错的。

广东呐，小区详情里面居然有取暖费。这不搞笑呢吗？！！"
华为,2021-04-26,1,嗯，还没登录就是中介电话，倒卖信息一把好手
华为,2021-04-21,1,刚刚注册登录，立马就有人打电话来问是不是要买房。不想被骚扰的，慎用。
华为,2021-04-10,5,房源真实，还有3D全景看房，很方便。链家的门店经纪人也很热情，专业度真是行业第1
华为,2021-04-07,3,为什么看不到历史成交记录了？
华为,2021-04-06,1,得了，还不如58跟安居客
华为,2021-04-06,1,得了，还不如58跟安居客
华为,2021-04-05,5,好用，方便，信息全
华为,2021-04-05,5,好用，方便，信息全
华为,2021-04-03,5,今年通过链家平台置换了一套三居室的，其他平台信息太少，还是这里房源多
华为,2021-03-31,1,"体验感太差不如贝壳，比起58同城安居客
那是差老远了"
华为,2021-03-29,1,隐私泄露，疯狂打电话
华为,2021-03-28,1,奉劝大家不要在链家租房，我是深有体会，我在上海普陀长征租的房子，每个月5600的房租，结果管家的服务是一塌糊涂。
华为,2021-03-28,1,奉劝大家不要在链家租房，我是深有体会，我在上海普陀长征租的房子，每个月5600的房租，结果管家的服务是一塌糊涂。
华为,2021-03-27,5,本人有购房需求，大部分房源都有全景，可以清晰的看出房源详细情况，价格也接地气
华为,2021-03-25,5,房源很多，经纪人根据预算推荐的项目也很靠谱，有几套在考虑中了，棒棒的！！
华为,2021-03-25,5,房源很多，经纪人根据预算推荐的项目也很靠谱，有几套在考虑中了，棒棒的！！
华为,2021-03-25,1,呵呵，这里刚下载登录，隔天好多中介电话就打来了
华为,2021-03-25,1,呵呵，这里刚下载登录，隔天好多中介电话就打来了
华为,2021-03-24,5,房源多，租金更划算，太适合上班一族找房啦
华为,2021-03-23,5,买房卖房就用链家
华为,2021-03-23,5,买房卖房就用链家
华为,2021-03-22,1,恶心死了，怎么定位都找不到，就是要授权授权，挂信息，自己搜小区都搜不到，要你何用，装饭？
华为,2021-03-19,5,用了很多年了，比较实用，这几年租房买房都是通过链家搞定的
华为,2021-03-18,5,挺好的，很方便，服务很好，看了好几套房终于选到满意的了
华为,2021-03-18,5,过完年回来上班，看房看了一个多月，终于找到个自己喜欢的房子
华为,2021-03-18,5,很多房源供你选择，很不错，手机就可以操作
华为,2021-03-17,1,电话骚扰不断，哄抬房价
华为,2021-03-17,1,电话骚扰不断，哄抬房价
华为,2021-03-17,1,为什么我刚浏览完一个楼盘立马就有售楼顾问打给我？他是如何获取我浏览了哪里的楼盘且知道我的电话呢？App里找不到隐私方面的设置。
华为,2021-03-17,1,为什么我刚浏览完一个楼盘立马就有售楼顾问打给我？他是如何获取我浏览了哪里的楼盘且知道我的电话呢？App里找不到隐私方面的设置。
华为,2021-03-16,2,在咨询链家对客户个人隐私信息管理有什么管控措施或者制度处罚等时，告知需要自己跟进关注，如有情况自己去报警。如果是这样管理客户隐私，请问如果有投诉发生，造成中介人员不满，客户如何维护自身利益？（PS：不敢投诉了）
华为,2021-03-16,1,发布的房源直接分配给经纪人，无法在链家网上展示。要想在链家网上把房子租出去是不可能的。
华为,2021-03-15,1,哦，才聊了两个托管，骚扰电话就打来了是吧
华为,2021-03-15,5,随便看看挺方便的
华为,2021-03-15,5,随便看看挺方便的
华为,2021-03-14,1,在线问永远无应答
华为,2021-03-14,1,在线问永远无应答
华为,2021-03-11,1,我的城市怎么没有房源信息，发现很多三四线的城市都没有房源。
华为,2021-03-11,1,我的城市怎么没有房源信息，发现很多三四线的城市都没有房源。
华为,2021-03-11,1,我对链接的邹瑞玲很不满，服务态度很差，心胸狭窄，业务没做成就要骂客户
华为,2021-03-10,5,房源真的非常多，网站的租金要比其他网站上便宜，在房产业知名度也高，感觉租房很放心；
华为,2021-03-10,5,房源真实可靠，价格也是实实在在不标虚价，不像**客全是虚低价，诱骗客户
华为,2021-03-09,5,房源很多，相信能找到适合自己的。
华为,2021-03-08,5,真的挺好用的，还有推荐，有指导，让我们心里有谱。强烈推荐！！！
华为,2021-03-07,1,用户信息全部泄露，登录后浏览房子信息，中介电话狂轰乱炸，工信部看来你是没放在眼里啊？！
华为,2021-03-07,1,用户信息全部泄露，登录后浏览房子信息，中介电话狂轰乱炸，工信部看来你是没放在眼里啊？！
华为,2021-03-06,1,说实话对小区门口链家太失望了，之前住市区对链家影响很好，觉得可信，买房卖房都是找的链家，但是搬到松江后感觉同润小区门口链家做的太差了，各方面都感觉是加盟店，完全颠覆了我对链家的认识，要是未来选择再换房估计会考虑傍边的太平洋房产，或者还是找之前市区链家的经纪人， 不知道这样的点评能否让链家总部的人关注一下。这个差评只针对链家同润店，当然此点评也有具体发生在自己身上的事情。
华为,2021-03-06,1,说实话对小区门口链家太失望了，之前住市区对链家影响很好，觉得可信，买房卖房都是找的链家，但是搬到松江后感觉同润小区门口链家做的太差了，各方面都感觉是加盟店，完全颠覆了我对链家的认识，要是未来选择再换房估计会考虑傍边的太平洋房产，或者还是找之前市区链家的经纪人， 不知道这样的点评能否让链家总部的人关注一下。这个差评只针对链家同润店，当然此点评也有具体发生在自己身上的事情。
华为,2021-03-05,5,买房找房可以，找新房方便
华为,2021-03-04,4,真实房源这块，比其他平台靠谱，但是APP更新太频繁了，很烦这个。
华为,2021-03-04,1,搬家输地址的真的有病，非得地图选，门牌号都选不了
华为,2021-03-01,3,很多地区都搜索不到
华为,2021-02-26,1,软件做的不行，卡的很
华为,2021-02-26,1,软件做的不行，卡的很
华为,2021-02-26,5,软件不错，欢迎大家前来使用，谢谢
华为,2021-02-26,5,软件不错，欢迎大家前来使用，谢谢
华为,2021-02-25,5,感觉还可以，不知道价格是否有虚报！
华为,2021-02-25,5,感觉还可以，不知道价格是否有虚报！
华为,2021-02-24,2,租房的假房源还是偏多，各个中介为了竞争想尽办法上传假房源
华为,2021-02-24,5,很多房源信息，客服很耐心，找中介的好帮手了，可以下载！
华为,2021-02-22,4,数据比较全，及时更新，使用方便
华为,2021-02-22,4,数据比较全，及时更新，使用方便
华为,2021-02-21,2,不明码标价，服务费，租的长短，2100的房子打电话涨到3000。能不能标好价格，视频房子就标视频房的价格，什么房子标什么价格，不算服务费涨幅300我都能接受，不差钱但是生气
华为,2021-02-21,2,不明码标价，服务费，租的长短，2100的房子打电话涨到3000。能不能标好价格，视频房子就标视频房的价格，什么房子标什么价格，不算服务费涨幅300我都能接受，不差钱但是生气
华为,2021-02-21,1,什么软件，乱七八糟
华为,2021-02-20,5,真房源，房价房东定，新房要学习，我真的想不出济南链家有什么黑点，有黑点跟我说我去看一下
华为,2021-02-20,5,真房源，房价房东定，新房要学习，我真的想不出济南链家有什么黑点，有黑点跟我说我去看一下
华为,2021-02-19,3,怎么调整成没有历史房价升价降价变化！两月前有，怎么没了？？？太不方便了！
华为,2021-02-19,5,很好很良心，良心企业
华为,2021-02-19,5,很好很良心，良心企业
华为,2021-02-18,5,二手房源真的很多，终于在年底买到了自己心仪的房子，开春就装修
华为,2021-02-17,1,升级后，查成交没有了，可恶！房天下有。
华为,2021-02-15,4,为什么去掉了最重要的信息，历史成交？
华为,2021-02-15,4,为什么去掉了最重要的信息，历史成交？
华为,2021-02-10,5,挺好的，买房之前先和职置业顾问聊了很多，感觉很专业，看房子也很方便
华为,2021-02-08,1,全北京都没有合租房信息？？？那还咋用你？！
华为,2021-02-08,1,全北京都没有合租房信息？？？那还咋用你？！
华为,2021-02-07,5,挺好的，就是今天才刚下载看了看房源，就陆陆续续有中介电话打进来了……
华为,2021-02-07,5,相比某个客，房源更加真实，体验感更好(✪▽✪)！
华为,2021-02-07,2,我不明白为什么平台随随便便就把我的电话给了中介，，，，我只是看了一下房产信息，电话就打过来了。难道客户信息不属于隐私么？？？？？
华为,2021-02-05,1,房源少！业务员也不负责！
华为,2021-02-02,1,为什么把历史成交记录不显示了？说好的公开透明，现在玩这种把戏？
华为,2021-02-02,4,我们小县城的楼房没有信息
华为,2021-01-30,1,一个劲打电话骚扰，服了
华为,2021-01-30,1,"打开看一下，立马有人打电话过来了
我真是服了"
华为,2021-01-30,1,超级难用的APP，只要把你的房子房在这个平台里，莫名其妙一天有十几二十个中介给你打电话不停骚扰你，只要你敢把中介电话拉黑，平台就下架你的房产，真的是，恶心，一分也不想给
华为,2021-01-29,1,升级后，查成交没有了，可恶！
华为,2021-01-27,1,炒高房价的幕后推手，一家独大，市场垄断，希望政府相关部门出台政策遏制链家地产炒高二手房房价，哄抬市场，人为制造价格预期暴涨
华为,2021-01-26,1,已订阅搜索如何取消订阅？找遍app也没有这个选项，服气
华为,2021-01-25,5,非常棒，其他的假信息充斥，不好，才来这个。
华为,2021-01-25,5,"我租房子都是从链家找的，总体来说还是很好的，房源也很真实，就是有时候房东人不怎么样，不过这个也不能怪链家，不过还是希望有黑历史的房东你们备注一下，不要为了中介费坑房客呀。
给个差评，因为我爸爸大半夜看链家不理我(´△｀)"
华为,2021-01-23,5,相比较来说，链家还是比较靠谱的，没有那么多虚假房源，还有vr看房，方便
华为,2021-01-23,1,很卡新房板块都打不开
华为,2021-01-23,1,房源都是假的，价格也不准都没更新
华为,2021-01-22,1,昨天看完房中介说 平台规定 中介费收一个月房租（不管房租多少）  唬人呢？ 一次性买卖也不是这么做的🔨
华为,2021-01-22,1,为啥有的小区看不了，为啥成交数量外面是6，进去看是七个
华为,2021-01-22,1,为什么没有了每日成交量？
华为,2021-01-21,2,这个app使用体验太差。。收藏的房源看不到，懂不懂就网络错误。产品经理和工程师都干啥去了，朋友们把产品做好一点好吗
华为,2021-01-20,1,手机号一秒泄露，带看民工素质低，联合暴发户业主挖坑套路，群魔乱舞的，必须找中介就尽量写详细合同。
华为,2021-01-16,5,最好用的找房app
华为,2021-01-16,1,真想给这个app打负分，昨天下载，就浏览了不到一个小时南方某城房产，今天一堆打电话的，各种口音，说是贝壳找房的……事后才整明白链家和贝壳的关系。这么散播用户信息是得多没商业操守～～
华为,2021-01-16,5,第一次买房，如果其他中介，都是低价虚假房源。去了就没有了。链家还是比较靠谱的。
华为,2021-01-15,1,打开看看行情，就会有链家中介打电话过来骚扰，相当不尊重客户隐私，客户的电话号码随意泄露，这样的中介谁放心委托其买卖房屋。
