Src,Time,Rank,Val
华为,2021-09-29,1,发布商品别人拍不了，一直在审核中！！！都不知道什么时候才能过，还能不能好好让我们卖闲置了？而且好多都是淘宝的广告。
华为,2021-09-29,1,闲鱼规则只能约束君子，约束不了小人，更多倾向买家，别人想要坑你太简单了。
华为,2021-09-29,5,手机挺好的，方方面面都可以，手机不卡，网速也很好。
华为,2021-09-29,1,这个最新发布的筛选可以改进一下吗，新发布的商品没显示出来，倒是把半年前的给我放到前面，导致有人新发布了我想要的东西结果没买到
华为,2021-09-29,1,闲鱼租房模块，显示房东承诺无中介费，全是骗人的，加了微信之后全是黑心中介，我就想问这个app想坑多少人？
华为,2021-09-28,1,骗子太多了，第一次买东西以没开通保障服务为理由差点被骗钱还好没信，反而给我闲鱼淘宝账号永久限制登陆了，支付宝也有影响😭
华为,2021-09-28,1,别人一举报一个准，不管是不是恶意对，动不动就封号，还封我支付宝！拜托你们调查清楚好不好！
华为,2021-09-28,1,这东西无语，随随便便就违规
华为,2021-09-28,1,不是一个二手平台，全是淘宝上的全新商品广告。还没有办法屏蔽 要不你就去做一手的算了。
华为,2021-09-28,1,"无法使用，出bug了
卡在通话权限和设备信息动不了"
华为,2021-09-28,1,闲鱼，不知道你们公司能否看到留言。给你们提点意见。发现你们流量上去了以后飘了，别忘了是客户和消费者把你们支撑起来的，除了平台客户请问你们有啥？自从你们膨胀以后动不动扣分，动不动处罚，申诉都找不到路口。请你们好好管理购买流程和证据链，售后等环节。你们并不是处罚监管部门，善待客户，没有客户你们啥也不是，有的是新平台能超越你们
华为,2021-09-28,1,你告诉告诉我，为啥支付宝绑定不上，咋的你们倒闭了啊？快管管吧
华为,2021-09-27,1,什么玩意儿动不动就被限制？
华为,2021-09-27,1,我真的吐了，我就卖个钥匙扣都能违规，我三十多个钥匙扣，难道我要开三十多个链接吗，还说我误导别，？？
华为,2021-09-26,2,一般般 能不能好好管管上面的骗子 😓
华为,2021-09-26,1,真的服了，莫名其妙就把我封了，好几次了，社区里面都是账号被乱封的人，连申诉都找不到
华为,2021-09-26,3,"我不明白，为什么在商家没有发货（上面显示没有发货）的情况下不能直接退款，还需要卖家同意？然后卖家又说自己发货了只是自己没填单号了（我让他把单号发我也没有看见单号（想确认一下是不是真的发货了），还一个劲怪我……我不想要了怎么了惹）

拜托，可不可以设置像pdd一样没有发货的前提下直接可以退款？"
华为,2021-09-26,1,买到假货了  举报不成功 我也是服了！！！
华为,2021-09-26,1,有毒吧一直绑定不上，绑定之后告诉我没绑定，周而复始
华为,2021-09-25,1,没用的推送一条不落，买家的消息一条不发。
华为,2021-09-25,1,买东西一定不要用这个软件买，买个手机壳，四天不发货，催发货，无缘无故就给我取消订单了，压根没有人工客服，比淘宝还菜
华为,2021-09-25,1,"假货横行霸道，假货太多了。
能查看附近的东西吗？"
华为,2021-09-25,1,无语，上架一次口罩，一个没卖被永久封号了！解封都解封不了！
华为,2021-09-25,2,未满16岁不能发贴，不能收，不能出
华为,2021-09-25,3,无语了每次点主页都卡半天，重新维护一下吧
华为,2021-09-25,1,简直太差了，就不能筛选一下嘛，快递都不发货，客服完全不理人
华为,2021-09-25,1,不登陆就不能搜索？直接差评🤬
华为,2021-09-25,1,处罚条例模糊不清，我十块钱的手工簪说我是价格引流商品，恶意抬价，申诉还说我乱发申诉场景，人30块钱的明信片卖我150就啥事都没有呗？我活该倒霉呗
华为,2021-09-25,1,卖家以销售原装华为充电器名义售假，我买家举报欺诈后对卖家账号限制交易与支付功能。但是卖家申诉后平台又判定我的为恶意举报，将卖家账号解封。这种平台实属对买家不安全，已卸载！
华为,2021-09-24,1,"这个版本界面太难看，速卖攻略占据了屏幕一大部分，还不能去除。
原来的界面简洁直接，现在版本简单的事情变复杂了"
华为,2021-09-23,1,能不能不要在搜索结果里面穿插淘宝的商品，我来闲鱼是来买闲置物品的 你给我跳转到淘宝有什么意义
华为,2021-09-23,4,建议出个出售商品搜索功能，要不然商品多了，有时找个出售的商品找半天
华为,2021-09-23,2,闲鱼的客服管理，安全系统还是很多漏洞！我刚刚差点被骗了，一个代拍汉服的，叫我直接点已经收货，这不是想空手套白狼吗？一个二手交易app就应该只能二手交易，把这点做好再做其他的吧，差点被骗
华为,2021-09-23,1,真的无语，发布了一个商品，要下架，当天就下架了，两天之后又来了个处罚，我都下架过了，发布页面什么都没有，处罚空气吗？
华为,2021-09-22,2,真的很无语，点主页卡半天是几个意思，气得我直接过来
华为,2021-09-22,1,闲鱼里面骗子是真的多，大家千万谨慎呀，这都没有人管，真的是服了，客服就是个摆设
华为,2021-09-22,1,"阿里崽 那么多发手机卡, 我一发就封"
华为,2021-09-22,1,真的很恶心，我的学习资料上架一周卖的特别好，给我整一个侵权强制下架，我真笑了我自己辛辛苦苦整理的学习笔记我侵权？上架的商品给我屏蔽掉，我这边什么都不显示没有通知结果别人看不到，屏蔽商品不给我个理由？真是个恶心的平台
华为,2021-09-21,2,本来想换新手机，2000多拼了一部，显示要拍卖，结果遇到一个像托一样的人一直抬价，2000多给我抬到了2800，运费40块，买了之后商家一直不肯发货，一会说屏幕不行，一会说要换零件，拖到后面等不了了退款，钱是退回来的，运费却被商家吞了，一直向官方举报也没用，最后就这么不了了之了
华为,2021-09-20,1,再也不是原来的闲鱼了，以前打开闲鱼都是个人的闲置物品，现在在看根淘宝有什么区别，唯一的区别是假货比淘宝多
华为,2021-09-20,4,什么时候支持华为的分屏，玩炉石的同时分屏逛逛闲鱼不很香嘛
华为,2021-09-20,4,希望加强力度管理整改，好多不是卖产品的不是私自诈骗就是帮别的APP打广告
华为,2021-09-19,2,为什么不能关闭掉自己的定位，发布宝贝就显示在哪好烦
华为,2021-09-19,3,虽说什么都有，我买的乐高一年了。还没来。希望快一点！！！！！😬😬
华为,2021-09-19,1,发啥禁啥，别人就是不禁，卖的比我贵的多
华为,2021-09-19,1,无语，有个客户要我微信私聊，结果我把我微信号给他，客服怀疑我用微信私下交易，把我所有权限都给搞没了？我打电话给客服，他说给其他客服打电话？我哪儿知道其他客服是啥电话？这个平台以后，除了买东西，再也不会再来了
华为,2021-09-19,1,无缘无故冻结我的账号，我刚注册还不到10秒钟账号就被冻结了
华为,2021-09-18,1,新版太难用了吧！都不能智能调到某宝...无语
华为,2021-09-18,3,没有人工客服吗？
