Src,Time,Rank,Val
华为,2021-09-28,1,每次点餐，都没有骑士接单，然后我要自己叫闪送取，配送费饿了么照拿…非常恶心的平台
华为,2021-09-28,3,我下这个app只是因为需要，和其他乱七八糟的东西都没关系哦
华为,2021-09-27,1,再见了，饿了么。点个外卖招呼不打就送外卖柜。永远不会再用！会员不要了送给你们。
华为,2021-09-27,1,商家信息都不会像话吗！每一个都没有回消息饿了么的商家就这样
华为,2021-09-27,1,最近很多界面无法正常打开，我的吃货豆也领取不了
华为,2021-09-27,1,为什么下单的时候选的地址会变？！骑手订单上的地址和我下单的时候不一样！怎么app还自己改地址我不能理解！
华为,2021-09-27,1,饭堂就离我五十多米我点个外卖说我超出范围？😅
华为,2021-09-27,1,走走道十几分钟就到了的地方你告诉我超出配送范围😊
华为,2021-09-27,1,经常没有骑手配送
华为,2021-09-27,1,余额支付出异常一直有问题也不解决
华为,2021-09-26,1,恶心，配送超时超半个小时，客服轻飘飘让我取消订单，我不用吃饭吗？还找不到给骑手打差评的入口
华为,2021-09-26,1,黑心平台！！！送餐超时晚了一个小时，还没送到！！让我饿了三个小时都没吃上！关键客服消极怠工，根本不给处理问题！就会车轱辘话转圈说，解决不了问题！
华为,2021-09-26,1,什么鬼，定位能差那么远
华为,2021-09-26,1,为什么红包没有到账？？
华为,2021-09-26,2,广告多藏得深我就忍了 但是频繁跳应用内更新我忍不了
华为,2021-09-25,1,送货太慢了，申请退款不能通过！差评吃！差评！
华为,2021-09-25,1,我评论你说我违规，我找了不下10遍人工客服，每次都是一模一样的话，客服不作为趁早倒闭吧，客户提出问题一直忽悠不解决，这就是你们的工作态度，怪不得人家都去美团了，就这体验你再优惠也没用。
华为,2021-09-25,1,其它无关紧要的通知关不掉，时不时弹出来很烦
华为,2021-09-25,1,从点餐选红包到付款结束，不是在转圈就是提示失败，整整花了我10分钟，你这饿了么有多大的数据传输？美团外卖能秒付款，红包也能自动使用，饿了么干不过美团是必然的。倒闭吧饿了么。
华为,2021-09-25,1,以前可以直接输入地址不用开定位，现在不开定位不让点外卖是吧。
华为,2021-09-25,3,点外卖用红包之后就卡住了，不是一次两次，合着就是恶心人呗
华为,2021-09-25,1,真的特别无语，界面转个不停，显示都不带显示的
华为,2021-09-25,1,这饿了么是越来越过分了 今天不给你差评都不行了 从中午点餐点第一次超时一个小时我退了 重新点了一家说半个小时送到 结果又超时半个小时了还没到 我点的午餐 要当晚饭吃 真绝了 我还感冒了 等着吃了饭吃药呢这倒好 药也不用吃了
华为,2021-09-25,1,体验贼差，客服根本不解决问题
华为,2021-09-25,1,秒退，卡死，不反应！真是太棒了！
华为,2021-09-25,1,鸿蒙系统用饿了么为什么卡.，而且提示无响应，只能用美团点餐了
