Src,Time,Rank,Val
华为,2021-09-28,1,打开高德地图只是想看看 到公司5公里路 有没有用时最短不会堵车的公交路线，以及公交实时到站情况，结果我都坐上车了，这导航路线都还没有加载出来，无语。而且其实有的时候看公交路线时间 是在比较着急的情况下，生怕错过这一班公交车，结果软件加载不出来，信息没法及时给到用户，体验感受会很差
华为,2021-09-28,3,打车时选好的路线，出发时就没有了，就默认一条路线，花时间还费钱，还说是最优路线
华为,2021-09-28,1,就离谱，最近的距离不走，带着我绕远，绕到工厂里
华为,2021-09-28,3,高德地图的添加途径点的功能是被取消了吗？如果没有的话请问在哪里可以找到呀？我下了最新版本，里面也没有。
华为,2021-09-28,1,我是不想说 我今天打的车 那个师傅到目地了 他去接别人 我取消订单了 钱扣了我的 也不退给我 那个师傅还确认到达目的地 直接服了
华为,2021-09-28,5,为什么华为p40p没有车道级导航选项，是不是鸿蒙系统不支持啊？？？我是最新版本的系统和高德导航，求解
华为,2021-09-28,1,"缺德地图名不虚传 高铁站就要到了 左转让我直行 多跑了十来公里 要不是在一个监控底下实线掉头估计还要继续往前开很长一段路
另外直到我写完还没看到和我一起掉头的那个妹子的红色汽车 希望你早点排除高德的干扰到宿迁站来"
华为,2021-09-28,4,高德地图最近怎么了，一直有闪退的情况，每次都要清除缓存才能使用
华为,2021-09-28,1,导航中间都能有广告，恰烂饭上瘾？
华为,2021-09-28,4,为什么不能提供路书制作啊
华为,2021-09-28,1,破打车系统，没有人工客服，司机态度恶劣，电话语气恶劣，当面开走了，还找不到这个订单，没办法投诉，3字经的破高德！
华为,2021-09-28,1,新版本慢得打不开，越来越臃肿，现在连最基本的功能体验都这么差，还有初心么？
华为,2021-09-28,2,设定好的路线，有时候强行更改路线，就算走错了你可以提示在某个路口掉头，而不是更改 已经选择的路线。
华为,2021-09-28,5,想了解高德都最新版本了安卓v11.1了，为啥没车道导航功能？是手机不行吗？求解答
华为,2021-09-27,3,荣耀x10鸿蒙系统不支持车道级导航吗
华为,2021-09-27,1,货车导航不见了，什么鬼
华为,2021-09-27,5,.个人感觉升级之后还不错. 挺好的
华为,2021-09-27,1,最近早上上班路程时间通知清除时，就会自动打开高德地图，跟点了通知的状态一样，是怎么回事？
华为,2021-09-27,5,什么时候支持车道级导航
华为,2021-09-27,2,为什么高德到路口才提前变道，经常走错路
华为,2021-09-27,1,服务意识差  软件花里胡哨 打开页面全是广告
华为,2021-09-27,1,我打车的原因都是地图乱导航，定位永远是不准的，箭头永远是不动的
华为,2021-09-27,3,怎么回事？？我想看看从家到车站到打车费用，试了好几次它就显示地图上这两个点
华为,2021-09-27,3,用了很久高德，刚开始还很好。现在广告多，居然还出现定位不准的情况，打车也比之前贵很多。
华为,2021-09-27,3,功能不错但是一个字卡
华为,2021-09-27,4,为什么我的没有车道导航功能？
华为,2021-09-27,3,每次升级后，驾驶习惯大变，胡乱导航，希望修复。
华为,2021-09-27,5,华为Hicar 功能太少，，，，g换百度地图吧又不舍得，毕竟这么多年的情义在。
华为,2021-09-27,1,没有车道级导航，差评
华为,2021-09-27,3,地图，打车这些，你能不能分开，我们开车用的就是导航而已，搞一些乱七八糟的，弄的整个软件都不流畅，几千块的手机还不能畅运行，功能让用户去选择，需要什么加载什么不好吗，搞的好跟支付宝一样，全是广告，没用的功能一大堆用了很多年很多功能都没用过一次，拿来何用，
华为,2021-09-27,3,车道级功能什么时候开呀？
华为,2021-09-26,3,这是导航软件，不是打车软件，现在更新的全部是打车相关的，花里胡哨的东西少一点，把地图做好才是重点
华为,2021-09-26,3,车道级导航现在支持哪些手机。
华为,2021-09-26,1,"不知道是什么原因，点击其他应用的时
候，高德总是自动启动，也没有设置自启动啊？"
华为,2021-09-26,1,离线导航没有数据流量根本没办法导航，坑爹早知道版本不要更新的
华为,2021-09-26,1,导航太差了，目的地在东，给我往西导
华为,2021-09-26,1,地图上莫名出现小猪佩奇……
华为,2021-09-26,1,新版本，高德已经沦为广告公司了，满屏商家标识！
华为,2021-09-26,1,打车前预计路线是最近的，上车后导航绕路，浪费时间浪费钱
华为,2021-09-26,4,高德导航不如以前了
华为,2021-09-26,3,如果地点能加上账本或者点评功能更好。。可以让还没去过的人了解目的地大概是怎样的。
